Source:_EU_EnVis_Scenarios_InputData_v1.3.0.csv	Unnamed:_1	Unnamed:_2
Coal	1	38.5
CoalCCS	1	61.065
Lignite	1	44.5
LigniteCCS	1	68.0175
GasOCGT	1	20.25725028
GasCCGT	1	25.39545454
GasCCS	1	64.4
Nuclear	1	117.5
Wave	1	36.45
Geo	1	50.6
Bio	1	43.8
BioCCS	1	67.77
Hydrorun-of-the-river	1	8.55
Hydroregulated	1	25.5
Windonshore	1	14.0
Windoffshorefloating	1	49.0
Windoffshoregrounded	1	30.0
Solar	1	9.292307692
Oil	1	9.17052632
Waste	1	52.3
Coal	2	36.0
CoalCCS	2	59.31
Lignite	2	42.0
LigniteCCS	2	66.2175
GasOCGT	2	19.77873255
GasCCGT	2	24.19090909
GasCCS	2	55.2
Nuclear	2	115.0
Wave	2	33.3
Geo	2	50.6
Bio	2	40.1
BioCCS	2	62.19
Hydrorun-of-the-river	2	8.2
Hydroregulated	2	25.5
Windonshore	2	14.0
Windoffshorefloating	2	43.0
Windoffshoregrounded	2	27.0
Solar	2	8.484615385
Oil	2	8.983372722
Waste	2	44.5
Coal	3	34.0
CoalCCS	3	58.41
Lignite	3	40.5
LigniteCCS	3	65.32875
GasOCGT	3	19.61922665
GasCCGT	3	23.46818182
GasCCS	3	52.9
Nuclear	3	111.5
Wave	3	30.65
Geo	3	49.45
Bio	3	39.65
BioCCS	3	59.445
Hydrorun-of-the-river	3	8.2
Hydroregulated	3	25.5
Windonshore	3	13.0
Windoffshorefloating	3	41.5
Windoffshoregrounded	3	26.5
Solar	3	7.856410256
Oil	3	8.983372722
Waste	3	44.5
Coal	4	32.0
CoalCCS	4	57.51
Lignite	4	39.0
LigniteCCS	4	64.44
GasOCGT	4	19.45972074
GasCCGT	4	22.74545454
GasCCS	4	50.6
Nuclear	4	108.0
Wave	4	28.0
Geo	4	48.3
Bio	4	39.2
BioCCS	4	56.7
Hydrorun-of-the-river	4	8.2
Hydroregulated	4	25.5
Windonshore	4	12.0
Windoffshorefloating	4	40.0
Windoffshoregrounded	4	26.0
Solar	4	7.228205128
Oil	4	8.983372722
Waste	4	41.8
Coal	5	31.5
CoalCCS	5	56.61
Lignite	5	39.0
LigniteCCS	5	63.55125
GasOCGT	5	19.30021483
GasCCGT	5	22.02272727
GasCCS	5	48.3
Nuclear	5	106.5
Wave	5	25.75
Geo	5	47.15
Bio	5	38.8
BioCCS	5	55.98
Hydrorun-of-the-river	5	8.15
Hydroregulated	5	25.5
Windonshore	5	12.0
Windoffshorefloating	5	39.5
Windoffshoregrounded	5	26.0
Solar	5	6.914102564
Oil	5	8.983372722
Waste	5	41.8
Coal	6	31.0
CoalCCS	6	55.71
Lignite	6	39.0
LigniteCCS	6	62.6625
GasOCGT	6	19.14070892
GasCCGT	6	21.3
GasCCS	6	46.0
Nuclear	6	105.0
Wave	6	23.5
Geo	6	46.0
Bio	6	38.4
BioCCS	6	55.26
Hydrorun-of-the-river	6	8.1
Hydroregulated	6	25.5
Windonshore	6	12.0
Windoffshorefloating	6	39.0
Windoffshoregrounded	6	26.0
Solar	6	6.6
Oil	6	8.983372722
Waste	6	39.2
Coal	7	31.0
CoalCCS	7	55.71
Lignite	7	39.0
LigniteCCS	7	62.6625
GasOCGT	7	19.14070892
GasCCGT	7	21.3
GasCCS	7	46.0
Nuclear	7	105.0
Wave	7	23.5
Geo	7	46.0
Bio	7	38.4
BioCCS	7	55.26
Hydrorun-of-the-river	7	8.1
Hydroregulated	7	25.5
Windonshore	7	12.0
Windoffshorefloating	7	39.0
Windoffshoregrounded	7	26.0
Solar	7	6.6
Oil	7	8.983372722
Waste	7	39.2
