Source:_Assumed	Unnamed:_1	Unnamed:_2	Unnamed:_3
EU	CCS	1	8119.826
EU	CCS	2	22240.626
EU	CCS	3	24633.326
EU	CCS	4	28114.726
EU	CCS	5	30648.326
EU	CCS	6	35269.827
EU	CCS	7	37229.975
France	CCS	1	2133.2
France	CCS	2	9423.0
France	CCS	3	9423.0
France	CCS	4	9423.0
France	CCS	5	9423.0
France	CCS	6	7289.8
France	CCS	7	7766.6
Italy	CCS	1	1112.8
Italy	CCS	2	3204.3
Italy	CCS	3	4225.1
Italy	CCS	4	4225.1
Italy	CCS	5	4225.1
Italy	CCS	6	6563.8
Italy	CCS	7	6384.3
Portugal	CCS	1	226.4
Portugal	CCS	2	399.0
Portugal	CCS	3	399.0
Portugal	CCS	4	399.0
Portugal	CCS	5	399.0
Portugal	CCS	6	662.0
Portugal	CCS	7	849.9
