Source:_EU_EnVis_Scenarios_InputData_v1.3.0.csv	Unnamed:_1	Unnamed:_2
Bio	2	0.1605317098112106
Bio	3	0.2492456362757867
Bio	4	0.3002798979215593
Bio	5	0.429883837975318
Bio	6	0.6130102202261956
Bio	7	0.6130102202261956
Coal	2	0.2079342724883436
Coal	3	0.4750188103317282
Coal	4	0.592922198700288
Coal	5	0.6188066515456361
Coal	6	0.738343298674576
Coal	7	0.738343298674576
GasCCGT	2	0.162254911979745
GasCCGT	3	0.2334072240300512
GasCCGT	4	0.2703388650793683
GasCCGT	5	0.6351635859984702
GasCCGT	6	1.0
GasCCGT	7	1.0
GasOCGT	2	0.1441309829474173
GasOCGT	3	0.2220849450132217
GasOCGT	4	0.217155811267059
GasOCGT	5	0.6088097893597252
GasOCGT	6	1.0
GasOCGT	7	1.0
Geo	7	1.0
Lignite	2	0.3812771571720656
Lignite	3	0.4573316620569475
Lignite	4	0.5460505762884882
Lignite	5	0.5657094814099521
Lignite	6	0.537892962194841
Lignite	7	0.537892962194841
Nuclear	2	0.1521566410449171
Nuclear	3	0.3049131872554895
Nuclear	4	0.3730961689802381
Nuclear	5	0.4446121405698633
Nuclear	6	0.5715156938693557
Nuclear	7	0.7072369653345502
Oil	2	0.2117054333995001
Oil	3	0.4499477103712942
Oil	4	0.719463401674791
Oil	5	0.747507206282141
Oil	6	0.779495890749464
Oil	7	1.0
Solar	2	0.03663247115004813
Solar	3	0.2276781472591721
Solar	4	0.4277
Solar	5	0.6277
Solar	6	0.8277
Solar	7	1.0
Waste	5	1.0
Waste	6	1.0
Waste	7	1.0
Windoffshorefloating	7	1.0
Windoffshoregrounded	7	1.0
Windonshore	2	0.1995068371064335
Windonshore	3	0.4862507322250372
Windonshore	4	0.6863
Windonshore	5	0.8863
Windonshore	6	1.0
Windonshore	7	1.0
