Source:_data/IAMC/Spain/Spain_IAMC.xlsx_+_reference	Unnamed:_1	Unnamed:_2
France	1	520616333.33375
France	2	590840277.77825
France	3	620845138.889386
France	4	619856972.222718
France	5	650479944.444965
France	6	656462500.000525
France	7	684781305.556103
Portugal	1	55313111.111155
Portugal	2	59912222.22227
Portugal	3	65914166.666719
Portugal	4	65268500.000052
Portugal	5	71415666.666724
Portugal	6	77268583.333395
Portugal	7	85329833.333402
EU	1	2850210275.557836
EU	2	3245852434.447041
EU	3	3578851906.66953
EU	4	3599801661.669546
EU	5	3819641586.114167
EU	6	4091305138.336606
EU	7	4439852685.836885
ES111	1	7526014.32847
ES111	2	9492021.577267
ES111	3	11527972.569759
ES111	4	11431358.599103
ES111	5	12705778.585361
ES111	6	14332740.048741
ES111	7	16235653.229788
ES112	1	7747247.534138
ES112	2	9771047.137166
ES112	3	11866846.53613
ES112	4	11767392.520597
ES112	5	13079275.100815
ES112	6	14754062.396612
ES112	7	16712913.231346
ES113	1	1832158.136096
ES113	2	2310769.525777
ES113	3	2806408.254695
ES113	4	2782888.226076
ES113	5	3093137.29613
ES113	6	3489210.244194
ES113	7	3952461.802691
ES114	1	4772162.118796
ES114	2	6018785.485231
ES114	3	7309759.402904
ES114	4	7248497.556888
ES114	5	8056593.119349
ES114	6	9088231.317925
ES114	7	10294847.436579
ES120	1	13432589.133927
ES120	2	16941560.344295
ES120	3	20575368.623864
ES120	4	20402929.970976
ES120	5	22677541.646204
ES120	6	25581376.786623
ES120	7	28977736.373907
ES130	1	4697447.333884
ES130	2	5924553.090821
ES130	3	7195315.029902
ES130	4	7135012.322644
ES130	5	7930456.033673
ES130	6	8945942.512296
ES130	7	10133667.390138
ES211	1	3422998.610003
ES211	2	4317182.408515
ES211	3	5243178.176417
ES211	4	5199235.994961
ES211	5	5778870.533394
ES211	6	6518848.772155
ES211	7	7384335.986156
ES212	1	7931464.266106
ES212	2	10003386.476213
ES212	3	12149020.518312
ES212	4	12047201.650792
ES212	5	13390278.628838
ES212	6	15104889.596334
ES212	7	17110318.663866
ES213	1	8737741.021577
ES213	2	11020285.464995
ES213	3	13384034.951588
ES213	4	13271865.63888
ES213	5	14751473.743068
ES213	6	16640384.300323
ES213	7	18849676.209273
ES220	1	7101344.870905
ES220	2	8956416.477611
ES220	3	10877485.121242
ES220	4	10786322.774875
ES220	5	11988831.225936
ES220	6	13523988.340828
ES220	7	15319526.080756
ES230	1	2845345.672491
ES230	2	3588630.228341
ES230	3	4358358.28001
ES230	4	4321831.623096
ES230	5	4803649.120987
ES230	6	5418751.29288
ES230	7	6138181.996637
ES241	1	1764305.288702
ES241	2	2225191.600539
ES241	3	2702474.654599
ES241	4	2679825.675744
ES241	5	2978584.862699
ES241	6	3359989.493234
ES241	7	3806084.81577
ES242	1	891429.994707
ES242	2	1124296.656249
ES242	3	1365447.908857
ES242	4	1354004.322971
ES242	5	1504954.899468
ES242	6	1697662.777155
ES242	7	1923056.167717
ES243	1	10492178.770626
ES243	2	13233031.846163
ES243	3	16071395.002163
ES243	4	15936703.383516
ES243	5	17713399.751751
ES243	6	19981581.790964
ES243	7	22634474.066892
ES300	1	43157985.357543
ES300	2	54432068.604426
ES300	3	66107244.771742
ES300	4	65553211.235675
ES300	5	72861382.16198
ES300	6	82191204.820993
ES300	7	93103474.665288
ES412	1	3600089.786573
ES412	2	4540534.796085
ES412	3	5514437.589002
ES412	4	5468222.028704
ES412	5	6077844.356817
ES412	6	6856105.876371
ES412	7	7766369.663926
ES413	1	3561175.592216
ES413	2	4491455.116406
ES413	3	5454830.771164
ES413	4	5409114.765433
ES413	5	6012147.546294
ES413	6	6781996.658984
ES413	7	7682421.196951
ES414	1	2058969.977406
ES414	2	2596831.018319
ES414	3	3153827.296303
ES414	4	3127395.607989
ES414	5	3476051.932012
ES414	6	3921156.692818
ES414	7	4441756.433715
ES415	1	1876269.229914
ES415	2	2366403.681658
ES415	3	2873975.423367
ES415	4	2849889.125838
ES415	5	3167607.761738
ES415	6	3573216.573888
ES415	7	4047621.390696
ES416	1	2136836.69144
ES416	2	2695038.71465
ES416	3	3273099.636787
ES416	4	3245668.347343
ES416	5	3607510.255701
ES416	6	4069448.11534
ES416	7	4609736.045766
ES417	1	939294.271172
ES417	2	1184664.431961
ES417	3	1438764.015109
ES417	4	1426705.979449
ES417	5	1585761.668146
ES417	6	1788816.766804
ES417	7	2026312.38819
ES418	1	4608002.96988
ES418	2	5811743.335745
ES418	3	7058308.623887
ES418	4	6999154.143935
ES418	5	7779451.765657
ES418	6	8775602.30802
ES418	7	9940711.648367
ES419	1	942111.155039
ES419	2	1188217.165357
ES419	3	1443078.777019
ES419	4	1430984.580075
ES419	5	1590517.266681
ES419	6	1794181.314685
ES419	7	2032389.170356
ES421	1	1690498.107701
ES421	2	2132103.901786
ES421	3	2589420.503902
ES421	4	2567719.012589
ES421	5	2853980.037503
ES421	6	3219429.152414
ES421	7	3646862.717018
ES422	1	4510947.538685
ES422	2	5689334.288023
ES422	3	6909643.96558
ES422	4	6851735.418757
ES422	5	7615598.128733
ES422	6	8590767.386783
ES422	7	9731336.771284
ES423	1	1546713.427823
ES423	2	1950758.607409
ES423	3	2369178.318167
ES423	4	2349322.639025
ES423	5	2611235.840276
ES423	6	2945601.818353
ES423	7	3336680.182099
ES424	1	832620.093336
ES424	2	1050123.949634
ES424	3	1275365.841478
ES424	4	1264677.218025
ES424	5	1405669.20151
ES424	6	1585663.650945
ES424	7	1796187.266933
ES425	1	3926963.842818
ES425	2	4952797.576822
ES425	3	6015126.929959
ES425	4	5964715.177746
ES425	5	6629688.826237
ES425	6	7478613.444435
ES425	7	8471525.619705
ES431	1	3374416.332416
ES431	2	4255909.069534
ES431	3	5168762.271935
ES431	4	5125443.757474
ES431	5	5696851.600762
ES431	6	6426327.402246
ES431	7	7279530.842612
ES432	1	1624411.310445
ES432	2	2048753.368801
ES432	3	2488192.051133
ES432	4	2467338.938206
ES432	5	2742409.134672
ES432	6	3093571.713884
ES432	7	3504295.579024
ES511	1	40828233.137059
ES511	2	51493719.382467
ES511	3	62538646.770211
ES511	4	62014521.044951
ES511	5	68928182.651552
ES511	6	77754363.287507
ES511	7	88077567.523441
ES512	1	4701190.037574
ES512	2	5929273.494295
ES512	3	7201047.91634
ES512	4	7140697.162739
ES512	5	7936774.645666
ES512	6	8953070.215848
ES512	7	10141741.416654
ES513	1	4229058.154451
ES513	2	5333807.444628
ES513	3	6477859.896706
ES513	4	6423570.058472
ES513	5	7139698.941551
ES513	6	8053929.813747
ES513	7	9123224.948501
ES514	1	8277900.336511
ES514	2	10440321.421047
ES514	3	12679673.974776
ES514	4	12573407.791203
ES514	5	13975148.629404
ES514	6	15764651.579757
ES514	7	17857675.187506
ES521	1	6636227.183426
ES521	2	8369796.929358
ES521	3	10165041.0959
ES521	4	10079849.621318
ES521	5	11203597.22354
ES521	6	12638205.957784
ES521	7	14316141.134175
ES522	1	5874705.032252
ES522	2	7409343.710027
ES522	3	8998579.528482
ES522	4	8923163.96922
ES522	5	9917958.980193
ES522	6	11187943.101806
ES522	7	12673331.403334
ES523	1	13246928.138134
ES523	2	16707399.458969
ES523	3	20290982.390545
ES523	4	20120927.130143
ES523	5	22364099.842677
ES523	6	25227799.092806
ES523	7	28577215.272772
ES532	1	4515995.913259
ES532	2	5695701.440448
ES532	3	6917376.813415
ES532	4	6859403.458914
ES532	5	7624121.036975
ES532	6	8600381.644379
ES532	7	9742227.483868
ES611	1	3940257.658389
ES611	2	4969564.112034
ES611	3	6035489.732176
ES611	4	5984907.322793
ES611	5	6652132.083695
ES611	6	7503930.537192
ES611	7	8500203.983882
ES612	1	4597887.312055
ES612	2	5798985.182738
ES612	3	7042813.964851
ES612	4	6983789.342992
ES612	5	7762374.026638
ES612	6	8756337.782643
ES612	7	9918889.432057
ES613	1	2606972.285995
ES613	2	3287986.988862
ES613	3	3993229.841376
ES613	4	3959763.26359
ES613	5	4401215.729648
ES613	6	4964786.732877
ES613	7	5623945.97828
ES614	1	4430815.934217
ES614	2	5588270.047983
ES614	3	6786902.379135
ES614	4	6730022.5086
ES614	5	7480316.108313
ES614	6	8438162.647221
ES614	7	9558471.176546
ES615	1	3423431.643186
ES615	2	4317728.562181
ES615	3	5243841.475002
ES615	4	5199893.734554
ES615	5	5779601.600796
ES615	6	6519673.451963
ES615	7	7385270.156129
ES616	1	2678369.498136
ES616	2	3378035.166905
ES616	3	4102592.522232
ES616	4	4068209.394483
ES616	5	4521751.929753
ES616	6	5100757.465481
ES616	7	5777969.120851
ES617	1	5560853.555289
ES617	2	7013505.373641
ES617	3	8517837.52355
ES617	4	8446450.980984
ES617	5	9388099.854108
ES617	6	10590236.076959
ES617	7	11996268.681521
ES618	1	7976453.09798
ES618	2	10060127.660092
ES618	3	12217932.162266
ES618	4	12115535.758019
ES618	5	13466230.933958
ES618	6	15190567.513518
ES618	7	17207371.770816
ES620	1	6470266.095268
ES620	2	8160482.123268
ES620	3	9910830.196419
ES620	4	9827769.220001
ES620	5	10923413.749539
ES620	6	12322145.287292
ES620	7	13958118.074507
