Source:_data/IAMC/Spain/Spain_IAMC.xlsx_+_reference	Unnamed:_1
France	77040000.0
Italy	44940000.0
Portugal	16050000.0
EU	440636700.0
ES111	956170.213
ES112	956170.213
ES113	956170.213
ES114	956170.213
ES120	956170.213
ES130	956170.213
ES211	956170.213
ES212	956170.213
ES213	956170.213
ES220	956170.213
ES230	956170.213
ES241	956170.213
ES242	956170.213
ES243	956170.213
ES300	956170.213
ES412	956170.213
ES413	956170.213
ES414	956170.213
ES415	956170.213
ES416	956170.213
ES417	956170.213
ES418	956170.213
ES419	956170.213
ES421	956170.213
ES422	956170.213
ES423	956170.213
ES424	956170.213
ES425	956170.213
ES431	956170.213
ES432	956170.213
ES511	956170.213
ES512	956170.213
ES513	956170.213
ES514	956170.213
ES521	956170.213
ES522	956170.213
ES523	956170.213
ES532	956170.213
ES611	956170.213
ES612	956170.213
ES613	956170.213
ES614	956170.213
ES615	956170.213
ES616	956170.213
ES617	956170.213
ES618	956170.213
ES620	956170.213
