Source:_data/IAMC/Spain/Spain_IAMC.xlsx_+_reference	Unnamed:_1	Unnamed:_2
ES111	ES112	HVAC_OverheadLine
ES111	ES114	HVAC_OverheadLine
ES112	ES111	HVAC_OverheadLine
ES112	ES113	HVAC_OverheadLine
ES112	ES114	HVAC_OverheadLine
ES112	ES120	HVAC_OverheadLine
ES112	ES413	HVAC_OverheadLine
ES113	ES112	HVAC_OverheadLine
ES113	ES114	HVAC_OverheadLine
ES113	ES413	HVAC_OverheadLine
ES113	ES419	HVAC_OverheadLine
ES113	Portugal	HVAC_OverheadLine
ES114	ES111	HVAC_OverheadLine
ES114	ES112	HVAC_OverheadLine
ES114	ES113	HVAC_OverheadLine
ES114	Portugal	HVAC_OverheadLine
ES120	ES112	HVAC_OverheadLine
ES120	ES130	HVAC_OverheadLine
ES120	ES413	HVAC_OverheadLine
ES130	ES120	HVAC_OverheadLine
ES130	ES213	HVAC_OverheadLine
ES130	ES412	HVAC_OverheadLine
ES130	ES413	HVAC_OverheadLine
ES130	ES414	HVAC_OverheadLine
ES211	ES212	HVAC_OverheadLine
ES211	ES213	HVAC_OverheadLine
ES211	ES220	HVAC_OverheadLine
ES211	ES230	HVAC_OverheadLine
ES211	ES412	HVAC_OverheadLine
ES211	ES414	HVAC_OverheadLine
ES212	ES211	HVAC_OverheadLine
ES212	ES213	HVAC_OverheadLine
ES212	ES220	HVAC_OverheadLine
ES212	France	HVAC_OverheadLine
ES213	ES130	HVAC_OverheadLine
ES213	ES211	HVAC_OverheadLine
ES213	ES212	HVAC_OverheadLine
ES213	ES412	HVAC_OverheadLine
ES220	ES211	HVAC_OverheadLine
ES220	ES212	HVAC_OverheadLine
ES220	ES230	HVAC_OverheadLine
ES220	ES241	HVAC_OverheadLine
ES220	ES243	HVAC_OverheadLine
ES220	France	HVAC_OverheadLine
ES230	ES211	HVAC_OverheadLine
ES230	ES220	HVAC_OverheadLine
ES230	ES243	HVAC_OverheadLine
ES230	ES412	HVAC_OverheadLine
ES230	ES417	HVAC_OverheadLine
ES241	ES220	HVAC_OverheadLine
ES241	ES243	HVAC_OverheadLine
ES241	ES513	HVAC_OverheadLine
ES241	France	HVAC_OverheadLine
ES242	ES243	HVAC_OverheadLine
ES242	ES423	HVAC_OverheadLine
ES242	ES424	HVAC_OverheadLine
ES242	ES514	HVAC_OverheadLine
ES242	ES522	HVAC_OverheadLine
ES242	ES523	HVAC_OverheadLine
ES243	ES220	HVAC_OverheadLine
ES243	ES230	HVAC_OverheadLine
ES243	ES241	HVAC_OverheadLine
ES243	ES242	HVAC_OverheadLine
ES243	ES417	HVAC_OverheadLine
ES243	ES424	HVAC_OverheadLine
ES243	ES513	HVAC_OverheadLine
ES243	ES514	HVAC_OverheadLine
ES300	ES414	HVAC_OverheadLine
ES300	ES416	HVAC_OverheadLine
ES300	ES418	HVAC_OverheadLine
ES300	ES423	HVAC_OverheadLine
ES300	ES424	HVAC_OverheadLine
ES300	ES425	HVAC_OverheadLine
ES300	ES432	HVAC_OverheadLine
ES412	ES130	HVAC_OverheadLine
ES412	ES211	HVAC_OverheadLine
ES412	ES213	HVAC_OverheadLine
ES412	ES230	HVAC_OverheadLine
ES412	ES414	HVAC_OverheadLine
ES412	ES416	HVAC_OverheadLine
ES412	ES417	HVAC_OverheadLine
ES412	ES418	HVAC_OverheadLine
ES413	ES112	HVAC_OverheadLine
ES413	ES113	HVAC_OverheadLine
ES413	ES120	HVAC_OverheadLine
ES413	ES130	HVAC_OverheadLine
ES413	ES414	HVAC_OverheadLine
ES413	ES418	HVAC_OverheadLine
ES413	ES419	HVAC_OverheadLine
ES414	ES130	HVAC_OverheadLine
ES414	ES211	HVAC_OverheadLine
ES414	ES300	HVAC_OverheadLine
ES414	ES412	HVAC_OverheadLine
ES414	ES413	HVAC_OverheadLine
ES414	ES415	HVAC_OverheadLine
ES414	ES418	HVAC_OverheadLine
ES415	ES414	HVAC_OverheadLine
ES415	ES418	HVAC_OverheadLine
ES415	ES419	HVAC_OverheadLine
ES415	ES432	HVAC_OverheadLine
ES415	Portugal	HVAC_OverheadLine
ES416	ES300	HVAC_OverheadLine
ES416	ES412	HVAC_OverheadLine
ES416	ES417	HVAC_OverheadLine
ES416	ES418	HVAC_OverheadLine
ES416	ES424	HVAC_OverheadLine
ES417	ES230	HVAC_OverheadLine
ES417	ES243	HVAC_OverheadLine
ES417	ES412	HVAC_OverheadLine
ES417	ES416	HVAC_OverheadLine
ES417	ES418	HVAC_OverheadLine
ES417	ES424	HVAC_OverheadLine
ES418	ES300	HVAC_OverheadLine
ES418	ES412	HVAC_OverheadLine
ES418	ES413	HVAC_OverheadLine
ES418	ES414	HVAC_OverheadLine
ES418	ES415	HVAC_OverheadLine
ES418	ES416	HVAC_OverheadLine
ES418	ES417	HVAC_OverheadLine
ES418	ES419	HVAC_OverheadLine
ES419	ES113	HVAC_OverheadLine
ES419	ES413	HVAC_OverheadLine
ES419	ES415	HVAC_OverheadLine
ES419	ES418	HVAC_OverheadLine
ES419	Portugal	HVAC_OverheadLine
ES421	ES422	HVAC_OverheadLine
ES421	ES423	HVAC_OverheadLine
