Source:_-	Unnamed:_1
ES111	HydroPumpStorage
ES111	Li-Ion_BESS
ES112	HydroPumpStorage
ES112	Li-Ion_BESS
ES113	HydroPumpStorage
ES113	Li-Ion_BESS
ES114	HydroPumpStorage
ES114	Li-Ion_BESS
ES120	HydroPumpStorage
ES120	Li-Ion_BESS
ES130	HydroPumpStorage
ES130	Li-Ion_BESS
ES211	HydroPumpStorage
ES211	Li-Ion_BESS
ES212	HydroPumpStorage
ES212	Li-Ion_BESS
ES213	HydroPumpStorage
ES213	Li-Ion_BESS
ES220	HydroPumpStorage
ES220	Li-Ion_BESS
ES230	HydroPumpStorage
ES230	Li-Ion_BESS
ES241	HydroPumpStorage
ES241	Li-Ion_BESS
ES242	HydroPumpStorage
ES242	Li-Ion_BESS
ES243	HydroPumpStorage
ES243	Li-Ion_BESS
ES300	HydroPumpStorage
ES300	Li-Ion_BESS
ES412	HydroPumpStorage
ES412	Li-Ion_BESS
ES413	HydroPumpStorage
ES413	Li-Ion_BESS
ES414	HydroPumpStorage
ES414	Li-Ion_BESS
ES415	HydroPumpStorage
ES415	Li-Ion_BESS
ES416	HydroPumpStorage
ES416	Li-Ion_BESS
ES417	HydroPumpStorage
ES417	Li-Ion_BESS
ES418	HydroPumpStorage
ES418	Li-Ion_BESS
ES419	HydroPumpStorage
ES419	Li-Ion_BESS
ES421	HydroPumpStorage
ES421	Li-Ion_BESS
ES422	HydroPumpStorage
ES422	Li-Ion_BESS
ES423	HydroPumpStorage
ES423	Li-Ion_BESS
ES424	HydroPumpStorage
ES424	Li-Ion_BESS
ES425	HydroPumpStorage
ES425	Li-Ion_BESS
ES431	HydroPumpStorage
ES431	Li-Ion_BESS
ES432	HydroPumpStorage
ES432	Li-Ion_BESS
ES511	HydroPumpStorage
ES511	Li-Ion_BESS
ES512	HydroPumpStorage
ES512	Li-Ion_BESS
ES513	HydroPumpStorage
ES513	Li-Ion_BESS
ES514	HydroPumpStorage
ES514	Li-Ion_BESS
ES521	HydroPumpStorage
ES521	Li-Ion_BESS
ES522	HydroPumpStorage
ES522	Li-Ion_BESS
ES523	HydroPumpStorage
ES523	Li-Ion_BESS
ES532	HydroPumpStorage
ES532	Li-Ion_BESS
ES611	HydroPumpStorage
ES611	Li-Ion_BESS
ES612	HydroPumpStorage
ES612	Li-Ion_BESS
ES613	HydroPumpStorage
ES613	Li-Ion_BESS
ES614	HydroPumpStorage
ES614	Li-Ion_BESS
ES615	HydroPumpStorage
ES615	Li-Ion_BESS
ES616	HydroPumpStorage
ES616	Li-Ion_BESS
ES617	HydroPumpStorage
ES617	Li-Ion_BESS
ES618	HydroPumpStorage
ES618	Li-Ion_BESS
ES620	HydroPumpStorage
ES620	Li-Ion_BESS
EU	HydroPumpStorage
EU	Li-Ion_BESS
France	HydroPumpStorage
France	Li-Ion_BESS
Portugal	HydroPumpStorage
Portugal	Li-Ion_BESS
