Source:_Reference_(distributed)	Unnamed:_1	Unnamed:_2
ES111	HydroPumpStorage	0.0
ES111	Li-Ion_BESS	425531.915
ES112	HydroPumpStorage	0.0
ES112	Li-Ion_BESS	425531.915
ES113	HydroPumpStorage	67112.539
ES113	Li-Ion_BESS	425531.915
ES114	HydroPumpStorage	0.0
ES114	Li-Ion_BESS	425531.915
ES120	HydroPumpStorage	38497.07
ES120	Li-Ion_BESS	425531.915
ES130	HydroPumpStorage	112403.209
ES130	Li-Ion_BESS	425531.915
ES211	HydroPumpStorage	0.0
ES211	Li-Ion_BESS	425531.915
ES212	HydroPumpStorage	0.0
ES212	Li-Ion_BESS	425531.915
ES213	HydroPumpStorage	0.0
ES213	Li-Ion_BESS	425531.915
ES220	HydroPumpStorage	0.0
ES220	Li-Ion_BESS	425531.915
ES230	HydroPumpStorage	0.0
ES230	Li-Ion_BESS	425531.915
ES241	HydroPumpStorage	0.0
ES241	Li-Ion_BESS	425531.915
ES242	HydroPumpStorage	0.0
ES242	Li-Ion_BESS	425531.915
ES243	HydroPumpStorage	0.0
ES243	Li-Ion_BESS	425531.915
ES300	HydroPumpStorage	0.0
ES300	Li-Ion_BESS	425531.915
ES412	HydroPumpStorage	0.0
ES412	Li-Ion_BESS	425531.915
ES413	HydroPumpStorage	0.0
ES413	Li-Ion_BESS	425531.915
ES414	HydroPumpStorage	0.0
ES414	Li-Ion_BESS	425531.915
ES415	HydroPumpStorage	388264.564
ES415	Li-Ion_BESS	425531.915
ES416	HydroPumpStorage	0.0
ES416	Li-Ion_BESS	425531.915
ES417	HydroPumpStorage	0.0
ES417	Li-Ion_BESS	425531.915
ES418	HydroPumpStorage	0.0
ES418	Li-Ion_BESS	425531.915
ES419	HydroPumpStorage	0.0
ES419	Li-Ion_BESS	425531.915
ES421	HydroPumpStorage	0.0
ES421	Li-Ion_BESS	425531.915
ES422	HydroPumpStorage	0.0
ES422	Li-Ion_BESS	425531.915
ES423	HydroPumpStorage	0.0
ES423	Li-Ion_BESS	425531.915
ES424	HydroPumpStorage	68759.472
ES424	Li-Ion_BESS	425531.915
ES425	HydroPumpStorage	0.0
ES425	Li-Ion_BESS	425531.915
ES431	HydroPumpStorage	0.0
ES431	Li-Ion_BESS	425531.915
ES432	HydroPumpStorage	118990.943
ES432	Li-Ion_BESS	425531.915
ES511	HydroPumpStorage	0.0
ES511	Li-Ion_BESS	425531.915
ES512	HydroPumpStorage	0.0
ES512	Li-Ion_BESS	425531.915
ES513	HydroPumpStorage	233041.085
ES513	Li-Ion_BESS	425531.915
ES514	HydroPumpStorage	0.0
ES514	Li-Ion_BESS	425531.915
ES521	HydroPumpStorage	0.0
ES521	Li-Ion_BESS	425531.915
ES522	HydroPumpStorage	0.0
ES522	Li-Ion_BESS	425531.915
ES523	HydroPumpStorage	473699.238
ES523	Li-Ion_BESS	425531.915
ES532	HydroPumpStorage	0.0
ES532	Li-Ion_BESS	425531.915
ES611	HydroPumpStorage	0.0
ES611	Li-Ion_BESS	425531.915
ES612	HydroPumpStorage	0.0
ES612	Li-Ion_BESS	425531.915
ES613	HydroPumpStorage	0.0
ES613	Li-Ion_BESS	425531.915
ES614	HydroPumpStorage	0.0
ES614	Li-Ion_BESS	425531.915
ES615	HydroPumpStorage	0.0
ES615	Li-Ion_BESS	425531.915
ES616	HydroPumpStorage	0.0
ES616	Li-Ion_BESS	425531.915
ES617	HydroPumpStorage	117755.743
ES617	Li-Ion_BESS	425531.915
ES618	HydroPumpStorage	64642.138
ES618	Li-Ion_BESS	425531.915
ES620	HydroPumpStorage	0.0
ES620	Li-Ion_BESS	425531.915
EU	HydroPumpStorage	948956.586
EU	Li-Ion_BESS	620000000.0
France	HydroPumpStorage	202725.6
France	Li-Ion_BESS	20000000.0
Italy	HydroPumpStorage	42488.6
Italy	Li-Ion_BESS	20000000.0
Portugal	HydroPumpStorage	117979.488
Portugal	Li-Ion_BESS	20000000.0
