Source:_data/IAMC/Spain/Spain_IAMC.xlsx	Unnamed:_1	Unnamed:_2	Unnamed:_3
ES111	HydroPumpStorage	1	0
ES111	HydroPumpStorage	2	0
ES111	HydroPumpStorage	3	0
ES111	HydroPumpStorage	4	0
ES111	HydroPumpStorage	5	0
ES111	HydroPumpStorage	6	0
ES111	HydroPumpStorage	7	0
ES111	Li-Ion_BESS	1	0
ES111	Li-Ion_BESS	2	0
ES111	Li-Ion_BESS	3	0
ES111	Li-Ion_BESS	4	0
ES111	Li-Ion_BESS	5	0
ES111	Li-Ion_BESS	6	0
ES111	Li-Ion_BESS	7	0
ES112	HydroPumpStorage	1	0
ES112	HydroPumpStorage	2	0
ES112	HydroPumpStorage	3	0
ES112	HydroPumpStorage	4	0
ES112	HydroPumpStorage	5	0
ES112	HydroPumpStorage	6	0
ES112	HydroPumpStorage	7	0
ES112	Li-Ion_BESS	1	0
ES112	Li-Ion_BESS	2	0
ES112	Li-Ion_BESS	3	0
ES112	Li-Ion_BESS	4	0
ES112	Li-Ion_BESS	5	0
ES112	Li-Ion_BESS	6	0
ES112	Li-Ion_BESS	7	0
ES113	HydroPumpStorage	1	326
ES113	HydroPumpStorage	2	326
ES113	HydroPumpStorage	3	326
ES113	HydroPumpStorage	4	326
ES113	HydroPumpStorage	5	326
ES113	HydroPumpStorage	6	326
ES113	HydroPumpStorage	7	326
ES113	Li-Ion_BESS	1	0
ES113	Li-Ion_BESS	2	0
ES113	Li-Ion_BESS	3	0
ES113	Li-Ion_BESS	4	0
ES113	Li-Ion_BESS	5	0
ES113	Li-Ion_BESS	6	0
ES113	Li-Ion_BESS	7	0
ES114	HydroPumpStorage	1	0
ES114	HydroPumpStorage	2	0
ES114	HydroPumpStorage	3	0
ES114	HydroPumpStorage	4	0
ES114	HydroPumpStorage	5	0
ES114	HydroPumpStorage	6	0
ES114	HydroPumpStorage	7	0
ES114	Li-Ion_BESS	1	0
ES114	Li-Ion_BESS	2	0
ES114	Li-Ion_BESS	3	0
