Source:_Existing_corridors_+_adjacency	Unnamed:_1
ES111	ES112
ES111	ES114
ES112	ES113
ES112	ES114
ES112	ES120
ES112	ES413
ES113	ES114
ES113	ES413
ES113	ES419
ES120	ES130
ES120	ES413
ES130	ES213
ES130	ES412
ES130	ES413
ES130	ES414
ES211	ES212
ES211	ES213
ES211	ES220
ES211	ES230
ES211	ES412
ES211	ES414
ES212	ES213
ES212	ES220
ES213	ES412
ES220	ES230
ES220	ES241
ES220	ES243
ES220	France
ES230	ES243
ES230	ES412
ES230	ES417
ES241	ES243
ES241	ES513
ES242	ES243
ES242	ES423
ES242	ES424
ES242	ES514
ES242	ES522
ES242	ES523
ES243	ES417
ES243	ES424
ES243	ES513
ES243	ES514
ES300	ES414
ES300	ES416
ES300	ES418
ES300	ES423
ES300	ES424
ES300	ES425
ES300	ES432
ES412	ES414
ES412	ES416
ES412	ES417
ES412	ES418
ES413	ES414
ES413	ES418
ES413	ES419
ES414	ES415
ES414	ES418
ES415	ES418
ES415	ES419
ES415	ES432
ES416	ES417
ES416	ES418
ES416	ES424
ES417	ES418
ES417	ES424
ES418	ES419
ES421	ES422
ES421	ES423
ES421	ES521
ES421	ES523
ES421	ES614
ES421	ES616
ES421	ES620
ES422	ES423
ES422	ES425
ES422	ES431
ES422	ES613
ES422	ES616
ES423	ES424
ES423	ES425
ES423	ES523
ES425	ES431
ES425	ES432
ES431	ES432
ES431	ES613
ES431	ES615
ES431	ES618
ES432	ES616
ES511	ES512
ES511	ES513
ES511	ES514
ES512	ES513
ES513	ES514
ES514	ES522
ES521	ES523
ES521	ES620
ES522	ES523
ES523	ES532
ES611	ES614
ES611	ES620
ES612	ES615
ES612	ES617
ES612	ES618
ES613	ES614
ES613	ES616
ES613	ES617
ES613	ES618
ES614	ES616
ES614	ES617
ES614	ES620
ES615	ES618
ES617	ES618
EU	France
EU	Italy
ES113	ES111
ES422	ES432
ES618	ES422
ES511	Italy
ES523	Italy
