Source:_Assumed	Unnamed:_1	Unnamed:_2
ES111	ES112	40
ES111	ES114	40
ES112	ES113	40
ES112	ES114	40
ES112	ES120	40
ES112	ES413	40
ES113	ES114	40
ES113	ES413	40
ES113	ES419	40
ES113	Portugal	40
ES114	Portugal	40
ES120	ES130	40
ES120	ES413	40
ES130	ES213	40
ES130	ES412	40
ES130	ES413	40
ES130	ES414	40
ES211	ES212	40
ES211	ES213	40
ES211	ES220	40
ES211	ES230	40
ES211	ES412	40
ES211	ES414	40
ES212	ES213	40
ES212	ES220	40
ES212	France	40
ES213	ES412	40
ES220	ES230	40
ES220	ES241	40
ES220	ES243	40
ES220	France	40
ES230	ES243	40
ES230	ES412	40
ES230	ES417	40
ES241	ES243	40
ES241	ES513	40
ES241	France	40
ES242	ES243	40
ES242	ES423	40
ES242	ES424	40
ES242	ES514	40
ES242	ES522	40
ES242	ES523	40
ES243	ES417	40
ES243	ES424	40
ES243	ES513	40
ES243	ES514	40
ES300	ES414	40
ES300	ES416	40
ES300	ES418	40
ES300	ES423	40
ES300	ES424	40
ES300	ES425	40
ES300	ES432	40
ES412	ES414	40
ES412	ES416	40
ES412	ES417	40
ES412	ES418	40
ES413	ES414	40
ES413	ES418	40
ES413	ES419	40
ES414	ES415	40
ES414	ES418	40
ES415	ES418	40
ES415	ES419	40
ES415	ES432	40
ES415	Portugal	40
ES416	ES417	40
ES416	ES418	40
ES416	ES424	40
ES417	ES418	40
ES417	ES424	40
ES418	ES419	40
ES419	Portugal	40
ES421	ES422	40
ES421	ES423	40
ES421	ES521	40
ES421	ES523	40
ES421	ES614	40
ES421	ES616	40
ES421	ES620	40
ES422	ES423	40
ES422	ES425	40
ES422	ES431	40
ES422	ES613	40
ES422	ES616	40
ES423	ES424	40
ES423	ES425	40
ES423	ES523	40
ES425	ES431	40
ES425	ES432	40
ES431	ES432	40
ES431	ES613	40
ES431	ES615	40
ES431	ES618	40
ES431	Portugal	40
ES432	ES616	40
ES432	Portugal	40
ES511	ES512	40
ES511	ES513	40
ES511	ES514	40
ES512	ES513	40
ES512	France	40
ES513	ES514	40
ES513	France	40
ES514	ES522	40
ES521	ES523	40
ES521	ES620	40
ES522	ES523	40
ES523	ES532	40
ES611	ES614	40
ES611	ES620	40
ES612	ES615	40
ES612	ES617	40
ES612	ES618	40
ES613	ES614	40
ES613	ES616	40
ES613	ES617	40
ES613	ES618	40
ES614	ES616	40
ES614	ES617	40
ES614	ES620	40
ES615	ES618	40
ES615	Portugal	40
ES617	ES618	40
EU	France	40
ES113	ES111	40
ES422	ES432	40
ES618	ES422	40
ES213	France	40
