Source:_Assumed	Unnamed:_1	Unnamed:_2
ES111	ES112	1500
ES111	ES114	1500
ES112	ES113	1500
ES112	ES114	1500
ES112	ES120	1500
ES112	ES413	1500
ES113	ES114	1500
ES113	ES413	1500
ES113	ES419	1500
ES113	Portugal	1500
ES114	Portugal	1500
ES120	ES130	1500
ES120	ES413	1500
ES130	ES213	1500
ES130	ES412	1500
ES130	ES413	1500
ES130	ES414	1500
ES211	ES212	1500
ES211	ES213	1500
ES211	ES220	1500
ES211	ES230	1500
ES211	ES412	1500
ES211	ES414	1500
ES212	ES213	1500
ES212	ES220	1500
ES212	France	1500
ES213	ES412	1500
ES220	ES230	1500
ES220	ES241	1500
ES220	ES243	1500
ES220	France	2000
ES230	ES243	1500
ES230	ES412	1500
ES230	ES417	1500
ES241	ES243	1500
ES241	ES513	1500
ES241	France	1500
ES242	ES243	1500
ES242	ES423	1500
ES242	ES424	1500
ES242	ES514	1500
ES242	ES522	1500
ES242	ES523	1500
ES243	ES417	1500
ES243	ES424	1500
ES243	ES513	1500
ES243	ES514	1500
ES300	ES414	1500
ES300	ES416	1500
ES300	ES418	1500
ES300	ES423	1500
ES300	ES424	1500
ES300	ES425	1500
ES300	ES432	1500
ES412	ES414	1500
ES412	ES416	1500
ES412	ES417	1500
ES412	ES418	1500
ES413	ES414	1500
ES413	ES418	1500
ES413	ES419	1500
ES414	ES415	1500
ES414	ES418	1500
ES415	ES418	1500
ES415	ES419	1500
ES415	ES432	1500
ES415	Portugal	1500
ES416	ES417	1500
ES416	ES418	1500
ES416	ES424	1500
ES417	ES418	1500
ES417	ES424	1500
ES418	ES419	1500
ES419	Portugal	1500
ES421	ES422	1500
ES421	ES423	1500
ES421	ES521	1500
ES421	ES523	1500
ES421	ES614	1500
ES421	ES616	1500
ES421	ES620	1500
ES422	ES423	1500
ES422	ES425	1500
ES422	ES431	1500
ES422	ES613	1500
ES422	ES616	1500
ES423	ES424	1500
ES423	ES425	1500
ES423	ES523	1500
ES425	ES431	1500
ES425	ES432	1500
ES431	ES432	1500
ES431	ES613	1500
ES431	ES615	1500
ES431	ES618	1500
ES431	Portugal	1500
ES432	ES616	1500
ES432	Portugal	1500
ES511	ES512	1500
ES511	ES513	1500
ES511	ES514	1500
ES512	ES513	1500
ES512	France	1500
ES513	ES514	1500
ES513	France	1500
ES514	ES522	1500
ES521	ES523	1500
ES521	ES620	1500
ES522	ES523	1500
ES523	ES532	1500
ES611	ES614	1500
ES611	ES620	1500
ES612	ES615	1500
ES612	ES617	1500
ES612	ES618	1500
ES613	ES614	1500
ES613	ES616	1500
ES613	ES617	1500
ES613	ES618	1500
ES614	ES616	1500
ES614	ES617	1500
ES614	ES620	1500
ES615	ES618	1500
ES615	Portugal	1500
ES617	ES618	1500
EU	France	1000
ES113	ES111	1500
ES422	ES432	1500
ES618	ES422	1500
ES213	France	1500
