Source:_length×0.246	Unnamed:_1	Unnamed:_2
ES111	ES112	20.3442
ES111	ES114	18.5484
ES112	ES113	22.5828
ES112	ES114	25.707
ES112	ES120	30.3072
ES112	ES413	33.825
ES113	ES114	18.6468
ES113	ES413	37.3182
ES113	ES419	35.0796
ES113	Portugal	77.49
ES114	Portugal	83.1234
ES120	ES130	38.7204
ES120	ES413	18.573
ES130	ES213	23.37
ES130	ES412	24.2556
ES130	ES413	39.2862
ES130	ES414	24.8214
ES211	ES212	12.9888
ES211	ES213	11.5374
ES211	ES220	22.1154
ES211	ES230	15.8178
ES211	ES412	21.7464
ES211	ES414	38.868
ES212	ES213	13.4316
ES212	ES220	17.1708
ES212	France	120.5892
ES213	ES412	27.8964
ES220	ES230	20.7132
ES220	ES241	34.1448
ES220	ES243	31.2174
ES220	France	122.9016
ES230	ES243	34.7352
ES230	ES412	21.8448
ES230	ES417	17.8842
ES241	ES243	25.707
ES241	ES513	23.124
ES241	France	118.941
ES242	ES243	26.568
ES242	ES423	35.3256
ES242	ES424	37.5396
ES242	ES514	36.0882
ES242	ES522	18.1302
ES242	ES523	35.4732
ES243	ES417	31.488
ES243	ES424	38.9664
ES243	ES513	44.5752
ES243	ES514	41.1558
ES300	ES414	53.874
ES300	ES416	19.8768
ES300	ES418	39.1632
ES300	ES423	35.67
ES300	ES424	24.231
ES300	ES425	21.2298
ES300	ES432	55.4976
ES412	ES414	19.0896
ES412	ES416	34.2924
ES412	ES417	28.5852
ES412	ES418	32.595
ES413	ES414	27.3798
ES413	ES418	33.7512
ES413	ES419	24.6738
ES414	ES415	52.8408
ES414	ES418	20.8608
ES415	ES418	33.7512
ES415	ES419	25.338
ES415	ES432	29.9382
ES415	Portugal	59.3352
ES416	ES417	32.5212
ES416	ES418	20.6886
ES416	ES424	31.119
ES417	ES418	46.0266
ES417	ES424	22.263
ES418	ES419	23.3208
ES419	Portugal	78.9414
ES421	ES422	39.3108
ES421	ES423	29.5446
ES421	ES521	31.5618
ES421	ES523	29.274
ES421	ES614	49.7166
ES421	ES616	38.376
ES421	ES620	25.0674
ES422	ES423	43.4682
ES422	ES425	24.6246
ES422	ES431	49.7166
ES422	ES613	33.1362
ES422	ES616	26.1006
ES423	ES424	26.7156
ES423	ES425	41.3772
ES423	ES523	32.9886
ES425	ES431	51.3156
ES425	ES432	42.2136
ES431	ES432	27.4044
ES431	ES613	34.7106
ES431	ES615	34.6368
ES431	ES618	36.3342
ES431	Portugal	48.0438
ES432	ES616	74.0706
ES432	Portugal	44.3046
ES511	ES512	17.835
ES511	ES513	20.8854
ES511	ES514	29.4708
ES512	ES513	32.9148
ES512	France	112.3974
ES513	ES514	26.5188
ES513	France	116.6532
ES514	ES522	30.8238
ES521	ES523	24.3294
ES521	ES620	23.7144
ES522	ES523	27.5028
ES523	ES532	79.3842
ES611	ES614	20.2458
ES611	ES620	28.7082
ES612	ES615	36.408
ES612	ES617	23.616
ES612	ES618	24.2802
ES613	ES614	38.253
ES613	ES616	29.3232
ES613	ES617	32.3982
ES613	ES618	24.354
ES614	ES616	19.7292
ES614	ES617	34.8828
ES614	ES620	42.8532
ES615	ES618	25.092
ES615	Portugal	58.3266
ES617	ES618	26.8878
EU	France	122.262
ES113	ES111	30.5286
ES422	ES432	53.9478
ES618	ES422	57.1704
ES213	France	128.0676
