Source:_Assumed	Unnamed:_1	Unnamed:_2	Unnamed:_3
ES111	ES112	1	20000
ES111	ES112	2	20000
ES111	ES112	3	20000
ES111	ES112	4	20000
ES111	ES112	5	20000
ES111	ES112	6	20000
ES111	ES112	7	20000
ES111	ES114	1	20000
ES111	ES114	2	20000
ES111	ES114	3	20000
ES111	ES114	4	20000
ES111	ES114	5	20000
ES111	ES114	6	20000
ES111	ES114	7	20000
ES112	ES113	1	20000
ES112	ES113	2	20000
ES112	ES113	3	20000
ES112	ES113	4	20000
ES112	ES113	5	20000
ES112	ES113	6	20000
ES112	ES113	7	20000
ES112	ES114	1	20000
ES112	ES114	2	20000
ES112	ES114	3	20000
ES112	ES114	4	20000
ES112	ES114	5	20000
ES112	ES114	6	20000
ES112	ES114	7	20000
ES112	ES120	1	20000
ES112	ES120	2	20000
ES112	ES120	3	20000
ES112	ES120	4	20000
ES112	ES120	5	20000
ES112	ES120	6	20000
ES112	ES120	7	20000
ES112	ES413	1	20000
ES112	ES413	2	20000
ES112	ES413	3	20000
ES112	ES413	4	20000
ES112	ES413	5	20000
ES112	ES413	6	20000
ES112	ES413	7	20000
ES113	ES114	1	20000
ES113	ES114	2	20000
ES113	ES114	3	20000
ES113	ES114	4	20000
ES113	ES114	5	20000
ES113	ES114	6	20000
ES113	ES114	7	20000
ES113	ES413	1	20000
ES113	ES413	2	20000
ES113	ES413	3	20000
ES113	ES413	4	20000
ES113	ES413	5	20000
ES113	ES413	6	20000
ES113	ES413	7	20000
ES113	ES419	1	20000
ES113	ES419	2	20000
ES113	ES419	3	20000
ES113	ES419	4	20000
ES113	ES419	5	20000
ES113	ES419	6	20000
ES113	ES419	7	20000
ES113	Portugal	1	20000
ES113	Portugal	2	20000
ES113	Portugal	3	20000
ES113	Portugal	4	20000
ES113	Portugal	5	20000
ES113	Portugal	6	20000
ES113	Portugal	7	20000
ES114	Portugal	1	20000
ES114	Portugal	2	20000
ES114	Portugal	3	20000
ES114	Portugal	4	20000
ES114	Portugal	5	20000
ES114	Portugal	6	20000
ES114	Portugal	7	20000
ES120	ES130	1	20000
ES120	ES130	2	20000
ES120	ES130	3	20000
ES120	ES130	4	20000
ES120	ES130	5	20000
ES120	ES130	6	20000
ES120	ES130	7	20000
ES120	ES413	1	20000
ES120	ES413	2	20000
ES120	ES413	3	20000
ES120	ES413	4	20000
ES120	ES413	5	20000
ES120	ES413	6	20000
ES120	ES413	7	20000
ES130	ES213	1	20000
ES130	ES213	2	20000
ES130	ES213	3	20000
ES130	ES213	4	20000
ES130	ES213	5	20000
ES130	ES213	6	20000
ES130	ES213	7	20000
ES130	ES412	1	20000
ES130	ES412	2	20000
ES130	ES412	3	20000
ES130	ES412	4	20000
ES130	ES412	5	20000
ES130	ES412	6	20000
ES130	ES412	7	20000
ES130	ES413	1	20000
ES130	ES413	2	20000
ES130	ES413	3	20000
ES130	ES413	4	20000
ES130	ES413	5	20000
ES130	ES413	6	20000
ES130	ES413	7	20000
ES130	ES414	1	20000
ES130	ES414	2	20000
ES130	ES414	3	20000
ES130	ES414	4	20000
ES130	ES414	5	20000
ES130	ES414	6	20000
ES130	ES414	7	20000
ES211	ES212	1	20000
ES211	ES212	2	20000
ES211	ES212	3	20000
ES211	ES212	4	20000
ES211	ES212	5	20000
ES211	ES212	6	20000
ES211	ES212	7	20000
ES211	ES213	1	20000
ES211	ES213	2	20000
ES211	ES213	3	20000
ES211	ES213	4	20000
ES211	ES213	5	20000
ES211	ES213	6	20000
ES211	ES213	7	20000
ES211	ES220	1	20000
ES211	ES220	2	20000
ES211	ES220	3	20000
ES211	ES220	4	20000
ES211	ES220	5	20000
ES211	ES220	6	20000
ES211	ES220	7	20000
ES211	ES230	1	20000
ES211	ES230	2	20000
ES211	ES230	3	20000
ES211	ES230	4	20000
ES211	ES230	5	20000
ES211	ES230	6	20000
ES211	ES230	7	20000
ES211	ES412	1	20000
ES211	ES412	2	20000
ES211	ES412	3	20000
ES211	ES412	4	20000
ES211	ES412	5	20000
ES211	ES412	6	20000
ES211	ES412	7	20000
ES211	ES414	1	20000
ES211	ES414	2	20000
ES211	ES414	3	20000
ES211	ES414	4	20000
ES211	ES414	5	20000
ES211	ES414	6	20000
ES211	ES414	7	20000
ES212	ES213	1	20000
ES212	ES213	2	20000
ES212	ES213	3	20000
ES212	ES213	4	20000
ES212	ES213	5	20000
ES212	ES213	6	20000
ES212	ES213	7	20000
ES212	ES220	1	20000
ES212	ES220	2	20000
ES212	ES220	3	20000
ES212	ES220	4	20000
ES212	ES220	5	20000
ES212	ES220	6	20000
ES212	ES220	7	20000
ES212	France	1	20000
ES212	France	2	20000
ES212	France	3	20000
ES212	France	4	20000
ES212	France	5	20000
ES212	France	6	20000
ES212	France	7	20000
ES213	ES412	1	20000
ES213	ES412	2	20000
ES213	ES412	3	20000
ES213	ES412	4	20000
ES213	ES412	5	20000
ES213	ES412	6	20000
ES213	ES412	7	20000
ES220	ES230	1	20000
ES220	ES230	2	20000
ES220	ES230	3	20000
ES220	ES230	4	20000
ES220	ES230	5	20000
ES220	ES230	6	20000
ES220	ES230	7	20000
ES220	ES241	1	20000
ES220	ES241	2	20000
ES220	ES241	3	20000
ES220	ES241	4	20000
ES220	ES241	5	20000
ES220	ES241	6	20000
ES220	ES241	7	20000
ES220	ES243	1	20000
ES220	ES243	2	20000
ES220	ES243	3	20000
ES220	ES243	4	20000
ES220	ES243	5	20000
ES220	ES243	6	20000
ES220	ES243	7	20000
ES220	France	1	20000
ES220	France	2	20000
ES220	France	3	20000
ES220	France	4	20000
ES220	France	5	20000
ES220	France	6	20000
ES220	France	7	20000
ES230	ES243	1	20000
ES230	ES243	2	20000
ES230	ES243	3	20000
ES230	ES243	4	20000
ES230	ES243	5	20000
ES230	ES243	6	20000
ES230	ES243	7	20000
ES230	ES412	1	20000
ES230	ES412	2	20000
ES230	ES412	3	20000
ES230	ES412	4	20000
ES230	ES412	5	20000
ES230	ES412	6	20000
ES230	ES412	7	20000
ES230	ES417	1	20000
ES230	ES417	2	20000
ES230	ES417	3	20000
ES230	ES417	4	20000
ES230	ES417	5	20000
ES230	ES417	6	20000
ES230	ES417	7	20000
ES241	ES243	1	20000
ES241	ES243	2	20000
ES241	ES243	3	20000
ES241	ES243	4	20000
ES241	ES243	5	20000
ES241	ES243	6	20000
ES241	ES243	7	20000
ES241	ES513	1	20000
ES241	ES513	2	20000
ES241	ES513	3	20000
ES241	ES513	4	20000
ES241	ES513	5	20000
ES241	ES513	6	20000
ES241	ES513	7	20000
ES241	France	1	20000
ES241	France	2	20000
ES241	France	3	20000
ES241	France	4	20000
ES241	France	5	20000
ES241	France	6	20000
ES241	France	7	20000
ES242	ES243	1	20000
ES242	ES243	2	20000
ES242	ES243	3	20000
ES242	ES243	4	20000
ES242	ES243	5	20000
ES242	ES243	6	20000
ES242	ES243	7	20000
ES242	ES423	1	20000
ES242	ES423	2	20000
ES242	ES423	3	20000
ES242	ES423	4	20000
ES242	ES423	5	20000
ES242	ES423	6	20000
ES242	ES423	7	20000
ES242	ES424	1	20000
ES242	ES424	2	20000
ES242	ES424	3	20000
ES242	ES424	4	20000
ES242	ES424	5	20000
ES242	ES424	6	20000
ES242	ES424	7	20000
ES242	ES514	1	20000
ES242	ES514	2	20000
ES242	ES514	3	20000
ES242	ES514	4	20000
ES242	ES514	5	20000
ES242	ES514	6	20000
ES242	ES514	7	20000
ES242	ES522	1	20000
ES242	ES522	2	20000
ES242	ES522	3	20000
ES242	ES522	4	20000
ES242	ES522	5	20000
ES242	ES522	6	20000
ES242	ES522	7	20000
ES242	ES523	1	20000
ES242	ES523	2	20000
ES242	ES523	3	20000
ES242	ES523	4	20000
ES242	ES523	5	20000
ES242	ES523	6	20000
ES242	ES523	7	20000
ES243	ES417	1	20000
ES243	ES417	2	20000
ES243	ES417	3	20000
ES243	ES417	4	20000
ES243	ES417	5	20000
ES243	ES417	6	20000
ES243	ES417	7	20000
ES243	ES424	1	20000
ES243	ES424	2	20000
ES243	ES424	3	20000
ES243	ES424	4	20000
ES243	ES424	5	20000
ES243	ES424	6	20000
ES243	ES424	7	20000
ES243	ES513	1	20000
ES243	ES513	2	20000
ES243	ES513	3	20000
ES243	ES513	4	20000
ES243	ES513	5	20000
ES243	ES513	6	20000
ES243	ES513	7	20000
ES243	ES514	1	20000
ES243	ES514	2	20000
ES243	ES514	3	20000
ES243	ES514	4	20000
ES243	ES514	5	20000
ES243	ES514	6	20000
ES243	ES514	7	20000
ES300	ES414	1	20000
ES300	ES414	2	20000
ES300	ES414	3	20000
ES300	ES414	4	20000
ES300	ES414	5	20000
ES300	ES414	6	20000
ES300	ES414	7	20000
ES300	ES416	1	20000
ES300	ES416	2	20000
ES300	ES416	3	20000
ES300	ES416	4	20000
ES300	ES416	5	20000
ES300	ES416	6	20000
ES300	ES416	7	20000
ES300	ES418	1	20000
ES300	ES418	2	20000
ES300	ES418	3	20000
ES300	ES418	4	20000
ES300	ES418	5	20000
ES300	ES418	6	20000
ES300	ES418	7	20000
ES300	ES423	1	20000
ES300	ES423	2	20000
ES300	ES423	3	20000
ES300	ES423	4	20000
ES300	ES423	5	20000
ES300	ES423	6	20000
ES300	ES423	7	20000
ES300	ES424	1	20000
ES300	ES424	2	20000
ES300	ES424	3	20000
ES300	ES424	4	20000
ES300	ES424	5	20000
ES300	ES424	6	20000
ES300	ES424	7	20000
ES300	ES425	1	20000
ES300	ES425	2	20000
ES300	ES425	3	20000
ES300	ES425	4	20000
ES300	ES425	5	20000
ES300	ES425	6	20000
ES300	ES425	7	20000
ES300	ES432	1	20000
ES300	ES432	2	20000
ES300	ES432	3	20000
ES300	ES432	4	20000
ES300	ES432	5	20000
ES300	ES432	6	20000
ES300	ES432	7	20000
ES412	ES414	1	20000
ES412	ES414	2	20000
ES412	ES414	3	20000
ES412	ES414	4	20000
ES412	ES414	5	20000
ES412	ES414	6	20000
ES412	ES414	7	20000
ES412	ES416	1	20000
ES412	ES416	2	20000
ES412	ES416	3	20000
ES412	ES416	4	20000
ES412	ES416	5	20000
ES412	ES416	6	20000
ES412	ES416	7	20000
ES412	ES417	1	20000
ES412	ES417	2	20000
ES412	ES417	3	20000
ES412	ES417	4	20000
ES412	ES417	5	20000
ES412	ES417	6	20000
ES412	ES417	7	20000
ES412	ES418	1	20000
ES412	ES418	2	20000
ES412	ES418	3	20000
ES412	ES418	4	20000
ES412	ES418	5	20000
ES412	ES418	6	20000
ES412	ES418	7	20000
ES413	ES414	1	20000
ES413	ES414	2	20000
ES413	ES414	3	20000
ES413	ES414	4	20000
ES413	ES414	5	20000
ES413	ES414	6	20000
ES413	ES414	7	20000
ES413	ES418	1	20000
ES413	ES418	2	20000
ES413	ES418	3	20000
ES413	ES418	4	20000
ES413	ES418	5	20000
ES413	ES418	6	20000
ES413	ES418	7	20000
ES413	ES419	1	20000
ES413	ES419	2	20000
ES413	ES419	3	20000
ES413	ES419	4	20000
ES413	ES419	5	20000
ES413	ES419	6	20000
ES413	ES419	7	20000
ES414	ES415	1	20000
ES414	ES415	2	20000
ES414	ES415	3	20000
ES414	ES415	4	20000
ES414	ES415	5	20000
ES414	ES415	6	20000
ES414	ES415	7	20000
ES414	ES418	1	20000
ES414	ES418	2	20000
ES414	ES418	3	20000
ES414	ES418	4	20000
ES414	ES418	5	20000
ES414	ES418	6	20000
ES414	ES418	7	20000
ES415	ES418	1	20000
ES415	ES418	2	20000
ES415	ES418	3	20000
ES415	ES418	4	20000
ES415	ES418	5	20000
ES415	ES418	6	20000
ES415	ES418	7	20000
ES415	ES419	1	20000
ES415	ES419	2	20000
ES415	ES419	3	20000
ES415	ES419	4	20000
ES415	ES419	5	20000
ES415	ES419	6	20000
ES415	ES419	7	20000
ES415	ES432	1	20000
ES415	ES432	2	20000
ES415	ES432	3	20000
ES415	ES432	4	20000
ES415	ES432	5	20000
ES415	ES432	6	20000
ES415	ES432	7	20000
ES415	Portugal	1	20000
ES415	Portugal	2	20000
ES415	Portugal	3	20000
ES415	Portugal	4	20000
ES415	Portugal	5	20000
ES415	Portugal	6	20000
ES415	Portugal	7	20000
ES416	ES417	1	20000
ES416	ES417	2	20000
ES416	ES417	3	20000
ES416	ES417	4	20000
ES416	ES417	5	20000
ES416	ES417	6	20000
ES416	ES417	7	20000
ES416	ES418	1	20000
ES416	ES418	2	20000
ES416	ES418	3	20000
ES416	ES418	4	20000
ES416	ES418	5	20000
ES416	ES418	6	20000
ES416	ES418	7	20000
ES416	ES424	1	20000
ES416	ES424	2	20000
ES416	ES424	3	20000
ES416	ES424	4	20000
ES416	ES424	5	20000
ES416	ES424	6	20000
ES416	ES424	7	20000
ES417	ES418	1	20000
ES417	ES418	2	20000
ES417	ES418	3	20000
ES417	ES418	4	20000
ES417	ES418	5	20000
ES417	ES418	6	20000
ES417	ES418	7	20000
ES417	ES424	1	20000
ES417	ES424	2	20000
ES417	ES424	3	20000
ES417	ES424	4	20000
ES417	ES424	5	20000
ES417	ES424	6	20000
ES417	ES424	7	20000
ES418	ES419	1	20000
ES418	ES419	2	20000
ES418	ES419	3	20000
ES418	ES419	4	20000
ES418	ES419	5	20000
ES418	ES419	6	20000
ES418	ES419	7	20000
ES419	Portugal	1	20000
ES419	Portugal	2	20000
ES419	Portugal	3	20000
ES419	Portugal	4	20000
ES419	Portugal	5	20000
ES419	Portugal	6	20000
ES419	Portugal	7	20000
ES421	ES422	1	20000
ES421	ES422	2	20000
ES421	ES422	3	20000
ES421	ES422	4	20000
ES421	ES422	5	20000
ES421	ES422	6	20000
ES421	ES422	7	20000
ES421	ES423	1	20000
ES421	ES423	2	20000
ES421	ES423	3	20000
ES421	ES423	4	20000
ES421	ES423	5	20000
ES421	ES423	6	20000
ES421	ES423	7	20000
ES421	ES521	1	20000
ES421	ES521	2	20000
ES421	ES521	3	20000
ES421	ES521	4	20000
ES421	ES521	5	20000
ES421	ES521	6	20000
ES421	ES521	7	20000
ES421	ES523	1	20000
ES421	ES523	2	20000
ES421	ES523	3	20000
ES421	ES523	4	20000
ES421	ES523	5	20000
ES421	ES523	6	20000
ES421	ES523	7	20000
ES421	ES614	1	20000
ES421	ES614	2	20000
ES421	ES614	3	20000
ES421	ES614	4	20000
ES421	ES614	5	20000
ES421	ES614	6	20000
ES421	ES614	7	20000
ES421	ES616	1	20000
ES421	ES616	2	20000
ES421	ES616	3	20000
ES421	ES616	4	20000
ES421	ES616	5	20000
ES421	ES616	6	20000
ES421	ES616	7	20000
ES421	ES620	1	20000
ES421	ES620	2	20000
ES421	ES620	3	20000
ES421	ES620	4	20000
ES421	ES620	5	20000
ES421	ES620	6	20000
ES421	ES620	7	20000
