Period,Scenario,Season,Year,Hour
1,1,winter,2015,94
1,1,spring,2015,1213
1,1,summer,2016,597
1,1,fall,2018,995
1,1,peak,2016,0
1,1,peak1,2016,449
1,1,peak2,2016,473
1,2,winter,2016,232
1,2,spring,2015,1009
1,2,summer,2017,351
1,2,fall,2017,9
1,2,peak,2019,0
1,2,peak1,2019,521
1,2,peak2,2019,520
1,3,winter,2016,313
1,3,spring,2015,190
1,3,summer,2017,1179
1,3,fall,2018,498
1,3,peak,2015,0
1,3,peak1,2015,834
1,3,peak2,2015,8368
1,4,winter,2015,1638
1,4,spring,2017,950
1,4,summer,2019,440
1,4,fall,2018,292
1,4,peak,2019,0
1,4,peak1,2019,521
1,4,peak2,2019,520
1,5,winter,2019,1856
1,5,spring,2019,254
1,5,summer,2016,666
1,5,fall,2019,435
1,5,peak,2017,0
1,5,peak1,2017,425
1,5,peak2,2017,8320
1,6,winter,2017,1022
1,6,spring,2017,1428
1,6,summer,2018,1245
1,6,fall,2015,1151
1,6,peak,2019,0
1,6,peak1,2019,521
1,6,peak2,2019,520
1,7,winter,2019,1621
1,7,spring,2017,872
1,7,summer,2015,1482
1,7,fall,2018,1930
1,7,peak,2018,0
1,7,peak1,2018,1410
1,7,peak2,2018,1433
1,8,winter,2017,159
1,8,spring,2018,1984
1,8,summer,2018,1281
1,8,fall,2018,1037
1,8,peak,2017,0
1,8,peak1,2017,425
1,8,peak2,2017,8320
1,9,winter,2017,82
1,9,spring,2019,1813
1,9,summer,2016,1372
1,9,fall,2015,452
1,9,peak,2019,0
1,9,peak1,2019,521
1,9,peak2,2019,520
1,10,winter,2017,482
1,10,spring,2017,1239
1,10,summer,2016,66
1,10,fall,2017,235
1,10,peak,2016,0
1,10,peak1,2016,449
1,10,peak2,2016,473
2,1,winter,2018,456
2,1,spring,2016,571
2,1,summer,2017,652
2,1,fall,2017,1187
2,1,peak,2015,0
2,1,peak1,2015,834
2,1,peak2,2015,8368
2,2,winter,2015,893
2,2,spring,2016,66
2,2,summer,2016,1102
2,2,fall,2016,894
2,2,peak,2016,0
2,2,peak1,2016,449
2,2,peak2,2016,473
2,3,winter,2016,538
2,3,spring,2015,603
2,3,summer,2019,1234
2,3,fall,2017,1800
2,3,peak,2016,0
2,3,peak1,2016,449
2,3,peak2,2016,473
2,4,winter,2016,516
2,4,spring,2016,732
2,4,summer,2019,1890
2,4,fall,2017,1275
2,4,peak,2016,0
2,4,peak1,2016,449
2,4,peak2,2016,473
2,5,winter,2015,1395
2,5,spring,2018,163
2,5,summer,2019,200
2,5,fall,2017,845
2,5,peak,2019,0
2,5,peak1,2019,521
2,5,peak2,2019,520
2,6,winter,2018,1771
2,6,spring,2015,517
2,6,summer,2016,1291
2,6,fall,2019,1693
2,6,peak,2019,0
2,6,peak1,2019,521
2,6,peak2,2019,520
2,7,winter,2016,386
2,7,spring,2019,852
2,7,summer,2017,1020
2,7,fall,2018,1029
2,7,peak,2018,0
2,7,peak1,2018,1410
2,7,peak2,2018,1433
2,8,winter,2019,130
2,8,spring,2016,1329
2,8,summer,2016,1366
2,8,fall,2016,1167
2,8,peak,2015,0
2,8,peak1,2015,834
2,8,peak2,2015,8368
2,9,winter,2015,1535
2,9,spring,2016,960
2,9,summer,2016,472
2,9,fall,2017,1233
2,9,peak,2016,0
2,9,peak1,2016,449
2,9,peak2,2016,473
2,10,winter,2019,1053
2,10,spring,2016,606
2,10,summer,2015,1834
2,10,fall,2017,556
2,10,peak,2016,0
2,10,peak1,2016,449
2,10,peak2,2016,473
