Node	Generator	Period	genInvCap
ES111	Bio	1	1.9290847010403697e-08
ES111	Bio	2	2.6334771299947467e-09
ES111	BioCCS	1	2.306654178108078e-05
ES111	BioCCS	2	1.3608069796999983e-05
ES111	Coal	1	0.0
ES111	Coal	2	2.1050359288220972e-12
ES111	CoalCCS	1	0.0
ES111	CoalCCS	2	5.47651837213484e-09
ES111	GasCCGT	1	2.613158642562264e-09
ES111	GasCCGT	2	2.0680295834451795e-07
ES111	GasCCS	1	7.816219780967277e-07
ES111	GasCCS	2	8.144624802745435e-07
ES111	GasOCGT	1	1.5800583709189624e-08
ES111	GasOCGT	2	9.30343878609589e-08
ES111	Hydroregulated	1	4.305434231355321e-09
ES111	Hydroregulated	2	4.791346994760189e-09
ES111	Hydrorun-of-the-river	1	0.0
ES111	Hydrorun-of-the-river	2	0.0
ES111	Lignite	1	2.537240382734478e-06
ES111	Lignite	2	1.2252117170569521e-06
ES111	Oil	1	2.833922810303957e-09
ES111	Oil	2	5.1384911670070605e-09
ES111	Solar	1	0.0
ES111	Solar	2	0.0
ES111	Waste	1	1.598313007037614e-08
ES111	Waste	2	2.2980444382949228e-05
ES111	Windonshore	1	1570.761999770453
ES111	Windonshore	2	325.7721206737799
ES112	BioCCS	1	4.938184009154666e-05
ES112	BioCCS	2	3.787517053932438e-05
ES112	CoalCCS	1	0.0
ES112	CoalCCS	2	0.0
ES112	GasCCS	1	7.854149664171493e-07
ES112	GasCCS	2	8.201127777772544e-07
ES112	GasOCGT	1	1.6540988643673074e-08
ES112	GasOCGT	2	2.3249454110421502e-08
ES112	Hydroregulated	1	2.7450823836261407e-09
ES112	Hydroregulated	2	4.293663290820751e-09
ES112	Hydrorun-of-the-river	1	2.5559998353602236
ES112	Hydrorun-of-the-river	2	2.7987964847771875e-08
ES112	Lignite	1	2.540499101113025e-06
ES112	Lignite	2	1.2314714412572027e-06
ES112	Solar	1	3.76892375086868e-07
ES112	Solar	2	6.291348267665024e-08
ES112	Waste	1	1.4470469689949374e-05
ES112	Waste	2	0.00010136346103652123
ES112	Windonshore	1	2601.4919545460166
ES112	Windonshore	2	304.47101911664765
ES113	BioCCS	1	4.116381659096655e-05
ES113	BioCCS	2	1.1863498728829342e-05
ES113	CoalCCS	1	0.0
ES113	CoalCCS	2	0.0
ES113	GasCCS	1	7.843639563627321e-07
ES113	GasCCS	2	8.162695423706122e-07
ES113	GasOCGT	1	1.3987748532095465e-08
ES113	GasOCGT	2	2.376891449667633e-08
ES113	Hydroregulated	1	8.576535037718713e-10
ES113	Hydroregulated	2	1.9566044845967e-09
ES113	Hydrorun-of-the-river	1	3.433706297073513e-08
ES113	Hydrorun-of-the-river	2	6.573993552735867e-08
ES113	Lignite	1	2.539795249153952e-06
ES113	Lignite	2	1.2284827844701268e-06
ES113	Solar	1	0.0
ES113	Solar	2	0.0
ES113	Waste	1	1.3566879037514437e-05
ES113	Waste	2	5.29236937446281e-05
ES113	Windonshore	1	0.0
ES113	Windonshore	2	0.0
ES114	BioCCS	1	0.0001562420241810127
ES114	BioCCS	2	108.7588787484073
ES114	CoalCCS	1	0.0
ES114	CoalCCS	2	0.0
ES114	GasCCS	1	7.872240871506906e-07
ES114	GasCCS	2	8.235962575143391e-07
ES114	GasOCGT	1	7.947815968139857e-09
ES114	GasOCGT	2	4.633197701910287e-08
ES114	Lignite	1	2.5418819710034924e-06
ES114	Lignite	2	1.2324025651174315e-06
ES114	Solar	1	1.3592008478724438e-06
ES114	Solar	2	8.87758671521133e-08
ES114	Waste	1	1.6271248021311534e-05
ES114	Waste	2	5.087452331029228
ES114	Windonshore	1	3.580316842999309e-08
ES114	Windonshore	2	2.5741266883839147e-08
ES120	Bio	1	3.8273666125811175e-08
ES120	Bio	2	2.8760118832226707e-08
ES120	BioCCS	1	681.9162991351742
ES120	BioCCS	2	104.2606521017637
ES120	Coal	1	0.0
ES120	Coal	2	9.052605803013213e-11
ES120	CoalCCS	1	0.0
ES120	CoalCCS	2	5.694525392166219e-09
ES120	GasCCGT	1	2.206035456253934e-08
ES120	GasCCGT	2	8.268195472987153e-08
ES120	GasCCS	1	7.880201387215809e-07
ES120	GasCCS	2	8.231545646667558e-07
ES120	GasOCGT	1	2.2062111919204087e-09
ES120	GasOCGT	2	4.189405801176977e-08
ES120	Hydroregulated	1	4.782009455084335e-09
ES120	Hydroregulated	2	5.044954172482231e-09
ES120	Hydrorun-of-the-river	1	0.0
ES120	Hydrorun-of-the-river	2	0.0
ES120	Lignite	1	2.5424355811513595e-06
ES120	Lignite	2	1.2384874623962167e-06
ES120	Solar	1	0.00010788924994427061
ES120	Solar	2	3.7220209472633904e-06
ES120	Waste	1	2.1278724715273083e-06
ES120	Waste	2	0.00013496991265150388
ES120	Windonshore	1	0.0
ES120	Windonshore	2	2.5085341803787742e-08
ES130	BioCCS	1	6.567219019693789e-05
ES130	BioCCS	2	1.9440451777434015e-07
ES130	CoalCCS	1	0.0
ES130	CoalCCS	2	0.0
ES130	GasCCGT	1	1.6238143923072093e-09
ES130	GasCCGT	2	3.114526571265887e-08
ES130	GasCCS	1	7.869403321665189e-07
ES130	GasCCS	2	8.148226151276662e-07
ES130	GasOCGT	1	2.0210835607728613e-09
ES130	GasOCGT	2	2.5571500327098573e-08
ES130	Lignite	1	2.541478450706544e-06
