Generator,Period,MarginalCost_EurperMWh
Lignite,1,14.44092641526996
Lignite,2,13.5553349298168
LigniteCCS,1,22.999871014329692
LigniteCCS,2,21.886041306799246
Coal,1,16.579041317979737
Coal,2,14.524725886322647
CoalCCS,1,26.074710595109828
CoalCCS,2,23.69170521955923
GasOCGT,1,33.22411667019404
GasOCGT,2,31.722518083492588
GasCCGT,1,25.523500844900127
GasCCGT,2,24.265759255968085
GasCCS,1,29.136964502848123
GasCCS,2,27.718624525829583
Oil,1,69.67598002147281
Oil,2,60.81140274302552
Nuclear,1,14.27877999837576
Nuclear,2,14.27877999837576
Wave,1,0.104048964
Wave,2,0.104048964
Geo,1,0.1299999996
Geo,2,0.1299999996
Hydroregulated,1,0.320256
Hydroregulated,2,0.320256
Hydrorun-of-the-river,1,0.0036
Hydrorun-of-the-river,2,0.0036
Bio,1,90.26573752453756
Bio,2,94.65576674440891
Windonshore,1,0.18
Windonshore,2,0.18
Windoffshoregrounded,1,0.39312
Windoffshoregrounded,2,0.39312
Windoffshorefloating,1,0.39312
Windoffshorefloating,2,0.39312
Solar,1,0.0036
Solar,2,0.0036
BioCCS,1,86.5251481491228
BioCCS,2,91.45012187581239
Waste,1,2.952
Waste,2,2.952
