Period,Scenario,AnnualCO2emission_Ton,CO2Price_EuroPerTon,CO2Cap_Ton,AnnualGeneration_GWh,AvgCO2factor_TonPerMWh,AvgELPrice_EuroPerMWh,TotAnnualCurtailedRES_GWh,TotAnnualLossesChargeDischarge_GWh,AnnualLossesTransmission_GWh
2020-2025,scenario1,131282048.28439915,-64.86001786911588,131282048.27918,3860520.7854245887,0.03400630525810436,47.48650338049962,15217.462585435762,26329.352883099626,13936.194831168768
2020-2025,scenario2,131282048.28354602,-52.58884046305637,131282048.27918,3774199.886771757,0.03478407403478476,23.731924129032116,27089.471502671728,29862.20695392743,15096.318634494935
2020-2025,scenario3,131282048.28368963,-103.44732146465873,131282048.27918,3767951.8588479566,0.03484175308010147,53.41558100777112,19411.004416537384,28300.58154676437,14095.678933869443
2020-2025,scenario4,131282048.28441697,-64.86001789452466,131282048.27918,3773555.433588404,0.034790014508830513,36.022488108104874,19803.5805555411,27368.48670616255,15776.398404596377
2020-2025,scenario5,131282048.28052956,-596.4933272356491,131282048.27918,3743924.884792973,0.03506535315753443,243.10688754690142,16236.067976425691,27196.057277528544,13633.159399225324
2020-2025,scenario6,131282048.28630184,-32.02544614512648,131282048.27918,3778900.377928344,0.03474080689003805,32.250717172564194,26274.05740250167,28343.863353077282,13720.680692943435
2020-2025,scenario7,131282048.28352709,-64.86001782965305,131282048.27918,3894125.379480468,0.03371284575871714,47.54052422457973,12382.338037497308,25903.785846698367,13052.835452547055
2020-2025,scenario8,131282048.28360493,-103.44732160027486,131282048.27918,3899091.8599692853,0.03366990391568589,64.8809045502663,12271.921413842361,23480.581950115546,13879.363442679949
2020-2025,scenario9,131282048.28440933,-76.04369207041843,131282048.27918,3742683.932417991,0.03507697969023744,58.20574356506283,15977.530168621468,25682.500455716705,13659.52646865287
2020-2025,scenario10,131282048.28440836,-64.86001786188535,131282048.27918,3632472.6506355256,0.036141235161518,34.16097024049481,31357.681129025554,27855.395234599146,14695.913761981708
2025-2030,scenario1,-136084598.17384514,-45.66365332584471,-136084598.17909968,4273284.794406079,-0.03184543149382199,30.138866428188894,28576.237848089957,41241.71040720598,19173.262454284086
2025-2030,scenario2,-136084598.17897978,-39.441135567017355,-136084598.17909968,4212871.211884106,-0.03230210261237032,248.8461179293145,27777.136131307147,39743.65125087534,20271.717077945217
2025-2030,scenario3,-136084598.17471787,-45.663765194241634,-136084598.17909968,4425383.77338265,-0.03075091452931773,30.47362843380318,22658.26922040254,36667.54912288581,19566.679084748775
2025-2030,scenario4,-136084598.17471793,-45.66376503065607,-136084598.17909968,4386903.601667655,-0.031020649307860537,33.654903426399706,16643.115600356392,37957.71306802289,19208.076661513365
2025-2030,scenario5,-136084598.1747734,-128.29008341987964,-136084598.17909968,4495152.620946347,-0.030273632432555944,301.7380984177596,18332.91105328368,33287.375018643776,19268.09224161698
2025-2030,scenario6,-136084598.17467132,-53.88017656566393,-136084598.17909968,4514485.81208427,-0.030143986234359224,31.90470235243005,21454.688479531047,33839.00809960525,19849.233181300275
2025-2030,scenario7,-136084598.1733571,-44.862469963586825,-136084598.17909968,4193013.7521031946,-0.032455080335736755,31.153033651565366,34063.129258127796,42138.78966851138,20399.8393984443
2025-2030,scenario8,-136084598.17471766,-45.91723590651259,-136084598.17909968,4415546.896564852,-0.030819420869607542,29.55000340390553,31977.182700235287,36867.67429954779,19656.469212453645
2025-2030,scenario9,-136084598.1746361,-53.880176586718036,-136084598.17909968,4442790.715280483,-0.030630431837941254,33.58069168256437,22665.621599855116,35295.47605169304,19497.444944437128
2025-2030,scenario10,-136084598.17471567,-45.9172354070677,-136084598.17909968,4183518.771332425,-0.03252874090281168,32.48343325865664,29803.756946742127,38660.35854888969,19874.151970734576
""
GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,TotDiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
Lignite,2020-2025,0.0019670081133882516,52316.56196700811,2369.5782914223523,510.87279732541214
Lignite,2025-2030,0.0012781264593338046,32369.45397410167,665.0329576170019,223.6325528850294
LigniteCCS,2020-2025,1.6056296788157723e-05,1.6056296788157723e-05,41.116278364675914,5.607173181153308e-05
LigniteCCS,2025-2030,5.490102109816133e-06,2.1521167021312927e-05,6.67821663050156,7.399414907517995e-05
Coal,2020-2025,0.0,61704.909999999996,0.0,4398.8663921465
Coal,2025-2030,9.062654750086323e-08,48874.34443026213,0.042418120773470486,922.9656682074449
CoalCCS,2020-2025,0.0,0.0,0.0,0.0
CoalCCS,2025-2030,4.6221551259730836e-07,4.1091876389456414e-07,0.5036017350301293,2.689663076121714e-06
GasOCGT,2020-2025,4.4016822394817644e-05,42023.58704401682,22.981955899014714,6115.346222352598
GasOCGT,2025-2030,1089.901849504943,37056.58799094867,243756865.12080714,4286.652974804278
GasCCGT,2020-2025,0.002161546709123256,184781.3461615467,1460.8281538438553,344013.90760616795
GasCCGT,2025-2030,56555.98787116325,211355.65332492662,16075301744.807173,400786.3853741282
GasCCS,2020-2025,0.0007313614749245253,0.0007313614749245253,1429.9212299744622,0.002694634351023008
GasCCS,2025-2030,0.0009073733153910061,0.0016361612136296278,703.2765354907431,0.006023828275634342
Oil,2020-2025,1.5917619415701016e-05,14774.309015917617,79.74458951318044,187.81918429564098
Oil,2025-2030,9.88780992058076e-06,11646.507535605677,21.755330079097654,66.95380164377148
Nuclear,2020-2025,615.5308345513558,104362.33083455134,2164018377.06744,593945.4637132394
Nuclear,2025-2030,2490.0000665909206,91066.56629357976,3823607993.569387,522057.1375998628
Wave,2020-2025,1756.0051745171932,2007.095174517193,3037824885.7434425,8087.786534609598
Wave,2025-2030,299.9948272678035,2307.09000163361,180843321.82848215,9251.989010923919
Geo,2020-2025,1088.299994549476,2042.099994549476,1925097885.2349591,15712.945566307964
Geo,2025-2030,4.681583972768425e-08,2042.099994495737,0.03588171498889096,15682.884100356267
Hydroregulated,2020-2025,311.3167018168527,96863.35570181685,344386194.52538574,226264.37274495448
Hydroregulated,2025-2030,3.5377663124079705e-06,96863.35570434543,1.719279457758932,224262.58081598085
Hydrorun-of-the-river,2020-2025,14837.627243864394,74462.38624386438,12181617495.661917,289939.54279152653
Hydrorun-of-the-river,2025-2030,0.5999874620484059,74462.986230016,213017.84506946502,294001.7209524754
Bio,2020-2025,18515.144629159502,51380.11462915951,23489050675.09237,65631.86029835888
Bio,2025-2030,1.8397129164971762e-05,46104.24481995695,9.756225686052947,34281.71491190477
Windonshore,2020-2025,32196.988446954085,249620.1584469541,29147867974.82041,518906.72782705387
Windonshore,2025-2030,10844.281289715562,217087.03076652574,3758923952.8532705,458579.0506063744
Windoffshoregrounded,2020-2025,250011.7030187251,295097.60301872506,313328256612.63837,913228.6626270381
Windoffshoregrounded,2025-2030,21510.25184418678,316607.85486260906,10591342199.233665,963391.8185527066
Windoffshorefloating,2020-2025,0.0001571340539666525,0.0001571340539666525,362.35677156009916,0.00037093199747339405
Windoffshorefloating,2025-2030,9.694268748025486e-05,0.00025377396734002167,87.71480350972567,0.0006327349721929335
Solar,2020-2025,357751.32295631414,573905.4819563142,105486786625.62015,681805.7068303617
Solar,2025-2030,316304.1527161152,882291.3736693109,33411635332.411922,1085390.0532621343
BioCCS,2020-2025,12528.525236838055,12528.525236838055,12400135787.955158,85475.92175315936
BioCCS,2025-2030,36961.225014801355,49489.75024918489,-3642454505.082449,304832.5428588046
Waste,2020-2025,129.76976528868659,6961.088765288687,226414763.29898158,32516.89897501799
Waste,2025-2030,0.03291059181813976,6961.121673458408,24151.318079138455,36277.10518879834
""
