Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh
ES111,Hydrorun-of-the-river,2020-2025,0.0
ES111,Hydrorun-of-the-river,2025-2030,0.0
ES112,Hydrorun-of-the-river,2020-2025,4.629169840347589
ES112,Hydrorun-of-the-river,2025-2030,4.2360091579659
ES113,Hydrorun-of-the-river,2020-2025,1633.2111174282836
ES113,Hydrorun-of-the-river,2025-2030,1623.9036033558418
ES120,Hydrorun-of-the-river,2020-2025,0.0
ES120,Hydrorun-of-the-river,2025-2030,0.0
ES213,Hydrorun-of-the-river,2020-2025,0.0
ES213,Hydrorun-of-the-river,2025-2030,0.0
ES230,Hydrorun-of-the-river,2020-2025,0.026319675178473223
ES230,Hydrorun-of-the-river,2025-2030,0.020690119101880306
ES241,Hydrorun-of-the-river,2020-2025,776.6875967400534
ES241,Hydrorun-of-the-river,2025-2030,765.6705650353449
ES243,Hydrorun-of-the-river,2020-2025,51.90047148348906
ES243,Hydrorun-of-the-river,2025-2030,51.2074554360181
ES413,Hydrorun-of-the-river,2020-2025,136.40804430197494
ES413,Hydrorun-of-the-river,2025-2030,137.3301242873472
ES415,Hydrorun-of-the-river,2020-2025,0.0
ES415,Hydrorun-of-the-river,2025-2030,0.0
ES418,Hydrorun-of-the-river,2020-2025,0.028443613808761342
ES418,Hydrorun-of-the-river,2025-2030,0.022096780918599637
ES419,Hydrorun-of-the-river,2020-2025,0.0
ES419,Hydrorun-of-the-river,2025-2030,0.0
ES425,Hydrorun-of-the-river,2020-2025,0.0
ES425,Hydrorun-of-the-river,2025-2030,0.0
ES431,Hydrorun-of-the-river,2020-2025,0.0
ES431,Hydrorun-of-the-river,2025-2030,0.0
ES432,Hydrorun-of-the-river,2020-2025,0.0
ES432,Hydrorun-of-the-river,2025-2030,0.0
ES511,Hydrorun-of-the-river,2020-2025,0.02627568836179733
ES511,Hydrorun-of-the-river,2025-2030,0.02369591080744401
ES512,Hydrorun-of-the-river,2020-2025,0.020173963685932474
ES512,Hydrorun-of-the-river,2025-2030,0.017559595275227474
ES513,Hydrorun-of-the-river,2020-2025,7.030212445854224
ES513,Hydrorun-of-the-river,2025-2030,6.051862874009185
ES514,Hydrorun-of-the-river,2020-2025,0.0
ES514,Hydrorun-of-the-river,2025-2030,0.0
ES523,Hydrorun-of-the-river,2020-2025,0.0
ES523,Hydrorun-of-the-river,2025-2030,0.0
ES613,Hydrorun-of-the-river,2020-2025,0.09073040856131795
ES613,Hydrorun-of-the-river,2025-2030,0.08323503283968894
ES614,Hydrorun-of-the-river,2020-2025,0.26395403721956195
ES614,Hydrorun-of-the-river,2025-2030,0.6697425183133583
ES615,Hydrorun-of-the-river,2020-2025,0.0722226818150468
ES615,Hydrorun-of-the-river,2025-2030,0.09522045460960506
ES616,Hydrorun-of-the-river,2020-2025,0.10043196061480127
ES616,Hydrorun-of-the-river,2025-2030,0.10617544085346647
ES617,Hydrorun-of-the-river,2020-2025,0.10134183262172455
ES617,Hydrorun-of-the-river,2025-2030,0.13420265310242085
ES618,Hydrorun-of-the-river,2020-2025,0.17688615826922635
ES618,Hydrorun-of-the-river,2025-2030,0.1702704353425214
EU,Hydrorun-of-the-river,2020-2025,0.0022311494623274025
EU,Hydrorun-of-the-river,2025-2030,278.8375963913726
France,Hydrorun-of-the-river,2020-2025,0.0003944626132850147
France,Hydrorun-of-the-river,2025-2030,0.0007078590488962086
Italy,Hydrorun-of-the-river,2020-2025,5125.581199645278
Italy,Hydrorun-of-the-river,2025-2030,7211.430815842668
Portugal,Hydrorun-of-the-river,2020-2025,0.06991921960028918
Portugal,Hydrorun-of-the-river,2025-2030,0.07192100687955144
ES111,Windonshore,2020-2025,401.63549855752774
ES111,Windonshore,2025-2030,533.9629065485918
ES112,Windonshore,2020-2025,178.00579562249493
ES112,Windonshore,2025-2030,226.6691200851771
ES113,Windonshore,2020-2025,26.123522942677848
ES113,Windonshore,2025-2030,36.64611422970027
ES114,Windonshore,2020-2025,15.765537166399795
ES114,Windonshore,2025-2030,52.85937271331676
ES120,Windonshore,2020-2025,5.8852736907171606
ES120,Windonshore,2025-2030,8.507539374567312
ES130,Windonshore,2020-2025,4.226298096127075
ES130,Windonshore,2025-2030,4.932589298406497
ES211,Windonshore,2020-2025,2.591920541071309
ES211,Windonshore,2025-2030,2.7162311659805356
ES212,Windonshore,2020-2025,0.21117795428383215
ES212,Windonshore,2025-2030,0.24393932269074523
ES213,Windonshore,2020-2025,0.5941917167532139
ES213,Windonshore,2025-2030,0.685566374597912
ES220,Windonshore,2020-2025,48.746764264004256
ES220,Windonshore,2025-2030,27.504030261398302
ES230,Windonshore,2020-2025,6.339368324050715
ES230,Windonshore,2025-2030,3.2844521136228693
ES241,Windonshore,2020-2025,13.263200340775274
