BetweenNode,AndNode,Period,transmisionInvCap_MW,transmissionInstalledCap_MW,DiscountedInvestmentCost_Euro,transmisionExpectedAnnualVolume_GWh,ExpectedAnnualLosses_GWh
ES111,ES112,2020-2025,6.186165683175204e-05,7641.4618146940265,1.0859627463097596,1538.2301737162318,46.146905211486676
ES111,ES112,2025-2030,2.475942541185349e-05,7641.461839402991,0.19094485500772726,1817.4501903194873,54.523505709584455
ES111,ES114,2020-2025,6.325578033283819e-05,5049.620987642081,1.0134234494161627,2086.968424892713,62.60905274678141
ES111,ES114,2025-2030,2.6121400027733472e-05,5049.621013713019,0.18384896991330987,2080.9011378436176,62.42703413530855
ES112,ES113,2020-2025,1.2350414181128144e-05,1474.6680699145543,0.24041956702306988,2683.6944375443595,80.51083312633112
ES112,ES113,2025-2030,1.1983696557682675e-05,1474.6680818477885,0.10248330234663569,3537.1721547125885,106.11516464137739
ES112,ES114,2020-2025,0.004448402472894425,0.004448402472894425,98.46388872776728,0.010528537543288601,0.000315856126298656
ES112,ES114,2025-2030,0.0012799243623541445,0.0057282763728979036,12.446041225528953,0.014519923685364292,0.0004355977105609279
ES112,ES120,2020-2025,7.973097126523498e-06,4027.476441384177,0.20780560189026412,4752.186606198189,142.565598185946
ES112,ES120,2025-2030,1.3608502957020518e-05,4027.4764549422175,0.15581690278747518,6184.210346353435,185.52631039060321
ES112,ES413,2020-2025,4.856844952882966e-06,4066.508890867055,0.14117700112720905,1655.7648051558326,49.672944154674774
ES112,ES413,2025-2030,4.2937222314226475e-05,4066.5089337538147,0.5482992829221943,1366.2328122865933,40.986984368597604
ES113,ES114,2020-2025,1.2417699508660007e-05,6863.73297518009,0.19998800707579775,2035.002408775552,61.05007226326617
ES113,ES114,2025-2030,4.737585977152583e-05,6863.733022505488,0.3351922202309926,2779.6458530963396,83.38937559288979
ES113,ES413,2020-2025,4.675334002968157e-05,2770.58851854051,1.4984873439339306,3169.997725587879,95.09993176763581
ES113,ES413,2025-2030,1.3506664117714622e-05,2770.5885319967115,0.1901789987318982,4852.953433078719,145.58860299236215
ES113,ES419,2020-2025,2.577551822469104e-05,6618.064930973768,0.7768508047640206,652.1073648149629,19.56322094444894
ES113,ES419,2025-2030,6.855869171445319e-06,6618.064937779174,0.09077510398785361,1168.9310126008854,35.06793037802634
ES113,Portugal,2020-2025,0.0,8666.90573364432,0.0,11105.279065812925,333.1583719743885
ES113,Portugal,2025-2030,0.0,8666.90573364432,0.0,15590.000461802087,467.7000138540631
ES114,Portugal,2020-2025,0.0,0.0,0.0,0.0,0.0
ES114,Portugal,2025-2030,0.0,0.0,0.0,0.0,0.0
ES120,ES130,2020-2025,2.0287704501242843e-05,5049.620944674005,0.6745343007998285,1503.010655780321,45.09031967340958
ES120,ES130,2025-2030,2.336780430452332e-05,5049.620967991347,0.3413210355589638,3253.4569550075453,97.60370865022666
ES120,ES413,2020-2025,3.905643097823486e-05,5853.985358477721,0.6265452184680047,2490.648728683769,74.71946186051319
ES120,ES413,2025-2030,4.429923512558771e-05,5853.9854027264955,0.3121979971340937,3475.9073824238585,104.2772214727163
ES130,ES213,2020-2025,3.642128831415903e-06,5362.4293038753685,0.07334812917011735,763.7541132394559,22.91262339718361
ES130,ES213,2025-2030,5.0967387326210806e-05,5362.429354792293,0.450920653877079,4558.372152990538,136.75116458971726
ES130,ES412,2020-2025,5.762900855188491e-06,983.1120441389949,0.12041656962472985,3055.5752495023553,91.66725748507059
ES130,ES412,2025-2030,1.1069631572940983e-06,983.1120451954957,0.010161370551685082,3093.5638029509623,92.80691408852873
ES130,ES413,2020-2025,4.5140698148316005e-05,2279.032497739818,1.5226696045630657,1179.9361877920749,35.398085633762335
ES130,ES413,2025-2030,1.7898578372590313e-05,2279.032515587935,0.26523446960291025,2279.5936651770057,68.38780995531027
ES130,ES414,2020-2025,9.32452644519799e-06,1787.4764427356065,0.19934288223528265,1403.4369906253564,42.103109718760756
ES130,ES414,2025-2030,8.295267736286957e-06,1787.476450980412,0.07790733981449009,3042.266966250256,91.26800898750777
ES211,ES212,2020-2025,4.193589120404795e-07,4558.064905617609,0.004727435030411771,6307.729027646051,189.23187082938136
ES211,ES212,2025-2030,3.3982168707257685e-05,4558.064939549316,0.16829251592990704,7844.741323517151,235.3422397055143
