Node	Storage	Period	storENInstalledCap
ES111	HydroPumpStorage	1	0.0
ES111	HydroPumpStorage	2	0.0
ES111	Li-Ion_BESS	1	0.00019351755618814983
ES111	Li-Ion_BESS	2	0.0022195910797151762
ES112	HydroPumpStorage	1	0.0
ES112	HydroPumpStorage	2	0.0
ES112	Li-Ion_BESS	1	0.0002094420090463423
ES112	Li-Ion_BESS	2	0.018475789139510913
ES113	HydroPumpStorage	1	61011.399000035606
ES113	HydroPumpStorage	2	61011.39900011341
ES113	Li-Ion_BESS	1	0.00019514499393276748
ES113	Li-Ion_BESS	2	0.0025054857061918984
ES114	HydroPumpStorage	1	0.0
ES114	HydroPumpStorage	2	0.0
ES114	Li-Ion_BESS	1	0.0002113498463193397
ES114	Li-Ion_BESS	2	141.86771460108542
ES120	HydroPumpStorage	1	34997.33600003568
ES120	HydroPumpStorage	2	34997.33600011362
ES120	Li-Ion_BESS	1	0.00021004107417856875
ES120	Li-Ion_BESS	2	394.5800362710796
ES130	HydroPumpStorage	1	102184.73500003555
ES130	HydroPumpStorage	2	102184.73500011307
ES130	Li-Ion_BESS	1	0.00020174624765160906
ES130	Li-Ion_BESS	2	0.0058570909210644215
ES211	HydroPumpStorage	1	0.0
ES211	HydroPumpStorage	2	0.0
ES211	Li-Ion_BESS	1	0.00020870359797473619
ES211	Li-Ion_BESS	2	0.005324069605906346
ES212	HydroPumpStorage	1	0.0
ES212	HydroPumpStorage	2	0.0
ES212	Li-Ion_BESS	1	0.00020007531781106644
ES212	Li-Ion_BESS	2	0.005615136438175224
ES213	HydroPumpStorage	1	0.0
ES213	HydroPumpStorage	2	0.0
ES213	Li-Ion_BESS	1	0.00020306924511234319
ES213	Li-Ion_BESS	2	0.004746591254874059
ES220	HydroPumpStorage	1	0.0
ES220	HydroPumpStorage	2	0.0
ES220	Li-Ion_BESS	1	0.00020466139268182968
ES220	Li-Ion_BESS	2	0.0027910249873272707
ES230	HydroPumpStorage	1	0.0
ES230	HydroPumpStorage	2	0.0
ES230	Li-Ion_BESS	1	0.00021207009308915191
ES230	Li-Ion_BESS	2	0.005149354679329043
ES241	HydroPumpStorage	1	0.0
ES241	HydroPumpStorage	2	0.0
ES241	Li-Ion_BESS	1	0.00018786847523207515
ES241	Li-Ion_BESS	2	0.0019710718373722753
ES242	HydroPumpStorage	1	0.0
ES242	HydroPumpStorage	2	0.0
ES242	Li-Ion_BESS	1	0.00020184958636950876
ES242	Li-Ion_BESS	2	0.005582209144385085
ES243	HydroPumpStorage	1	0.0
ES243	HydroPumpStorage	2	0.0
ES243	Li-Ion_BESS	1	0.00019695975665995832
ES243	Li-Ion_BESS	2	0.0030073697277465004
ES300	HydroPumpStorage	1	0.0
ES300	HydroPumpStorage	2	0.0
ES300	Li-Ion_BESS	1	0.00023108712706900955
ES300	Li-Ion_BESS	2	7140.328743571058
ES412	HydroPumpStorage	1	0.0
ES412	HydroPumpStorage	2	0.0
ES412	Li-Ion_BESS	1	0.0001949390650291414
ES412	Li-Ion_BESS	2	0.002279695895236001
ES413	HydroPumpStorage	1	0.0
ES413	HydroPumpStorage	2	0.0
ES413	Li-Ion_BESS	1	0.00020754575986446357
ES413	Li-Ion_BESS	2	0.004948605843849513
ES414	HydroPumpStorage	1	0.0
ES414	HydroPumpStorage	2	0.0
ES414	Li-Ion_BESS	1	0.00019944030708333714
ES414	Li-Ion_BESS	2	0.0020742586724378964
ES415	HydroPumpStorage	1	352967.7860000355
ES415	HydroPumpStorage	2	352967.7860001132
ES415	Li-Ion_BESS	1	0.00018441312867061306
ES415	Li-Ion_BESS	2	0.0012405052349202873
ES416	HydroPumpStorage	1	0.0
ES416	HydroPumpStorage	2	0.0
ES416	Li-Ion_BESS	1	0.00023285523655059193
ES416	Li-Ion_BESS	2	231.1196067602927
ES417	HydroPumpStorage	1	0.0
ES417	HydroPumpStorage	2	0.0
ES417	Li-Ion_BESS	1	0.00020207000878363646
ES417	Li-Ion_BESS	2	17.871245772641895
ES418	HydroPumpStorage	1	0.0
ES418	HydroPumpStorage	2	0.0
ES418	Li-Ion_BESS	1	0.00021637475427289374
ES418	Li-Ion_BESS	2	0.0196627889617062
ES419	HydroPumpStorage	1	0.0
ES419	HydroPumpStorage	2	0.0
ES419	Li-Ion_BESS	1	0.00019346544136753278
ES419	Li-Ion_BESS	2	0.0019899568957772555
ES421	HydroPumpStorage	1	0.0
ES421	HydroPumpStorage	2	0.0
ES421	Li-Ion_BESS	1	0.00022148977722788883
