Node	Storage	Period	storENInvCap
ES111	HydroPumpStorage	1	0.0
ES111	HydroPumpStorage	2	0.0
ES111	Li-Ion_BESS	1	0.002653220121057566
ES111	Li-Ion_BESS	2	0.03274406829083629
ES112	HydroPumpStorage	1	0.0
ES112	HydroPumpStorage	2	0.0
ES112	Li-Ion_BESS	1	0.00277419248624261
ES112	Li-Ion_BESS	2	0.08025645688073625
ES113	HydroPumpStorage	1	1.9786239136010408e-07
ES113	HydroPumpStorage	2	4.060963590616096e-07
ES113	Li-Ion_BESS	1	0.0028849426911522025
ES113	Li-Ion_BESS	2	0.03759858796807882
ES114	HydroPumpStorage	1	0.0
ES114	HydroPumpStorage	2	0.0
ES114	Li-Ion_BESS	1	0.00279699196111294
ES114	Li-Ion_BESS	2	0.20704710667183907
ES120	HydroPumpStorage	1	6.075017154216766e-06
ES120	HydroPumpStorage	2	4.055848904876938e-07
ES120	Li-Ion_BESS	1	0.0027510449829954756
ES120	Li-Ion_BESS	2	417.82339050023967
ES130	HydroPumpStorage	1	1.7706770449876785e-07
ES130	HydroPumpStorage	2	4.0563141491867077e-07
ES130	Li-Ion_BESS	1	0.002697644380484077
ES130	Li-Ion_BESS	2	0.07125180858370664
ES211	HydroPumpStorage	1	0.0
ES211	HydroPumpStorage	2	0.0
ES211	Li-Ion_BESS	1	0.0027742303191808284
ES211	Li-Ion_BESS	2	0.1936784453428383
ES212	HydroPumpStorage	1	0.0
ES212	HydroPumpStorage	2	0.0
ES212	Li-Ion_BESS	1	0.0029257741178144014
ES212	Li-Ion_BESS	2	0.3802309110006792
ES213	HydroPumpStorage	1	0.0
ES213	HydroPumpStorage	2	0.0
ES213	Li-Ion_BESS	1	0.002824005597999243
ES213	Li-Ion_BESS	2	0.07332544639238826
ES220	HydroPumpStorage	1	0.0
ES220	HydroPumpStorage	2	0.0
ES220	Li-Ion_BESS	1	0.0028783679162138792
ES220	Li-Ion_BESS	2	0.06674504641686145
ES230	HydroPumpStorage	1	0.0
ES230	HydroPumpStorage	2	0.0
ES230	Li-Ion_BESS	1	0.0028784918477106976
ES230	Li-Ion_BESS	2	0.14631752353028943
ES241	HydroPumpStorage	1	0.0
ES241	HydroPumpStorage	2	0.0
ES241	Li-Ion_BESS	1	0.002800190442443096
ES241	Li-Ion_BESS	2	0.07748686227712777
ES242	HydroPumpStorage	1	0.0
ES242	HydroPumpStorage	2	0.0
ES242	Li-Ion_BESS	1	0.0028991455949609244
ES242	Li-Ion_BESS	2	0.11125674031920242
ES243	HydroPumpStorage	1	0.0
ES243	HydroPumpStorage	2	0.0
ES243	Li-Ion_BESS	1	0.0028223937028703
ES243	Li-Ion_BESS	2	0.057273978797634274
ES300	HydroPumpStorage	1	0.0
ES300	HydroPumpStorage	2	0.0
ES300	Li-Ion_BESS	1	0.002998383951194191
ES300	Li-Ion_BESS	2	6546.3494833440645
ES412	HydroPumpStorage	1	0.0
ES412	HydroPumpStorage	2	0.0
ES412	Li-Ion_BESS	1	0.002735266585456194
ES412	Li-Ion_BESS	2	0.03770355312997768
ES413	HydroPumpStorage	1	0.0
ES413	HydroPumpStorage	2	0.0
ES413	Li-Ion_BESS	1	0.002738279144263967
ES413	Li-Ion_BESS	2	0.07602200160309931
ES414	HydroPumpStorage	1	0.0
ES414	HydroPumpStorage	2	0.0
ES414	Li-Ion_BESS	1	0.0026977078991695025
ES414	Li-Ion_BESS	2	0.041324221601041725
ES415	HydroPumpStorage	1	1.7838250023758848e-07
ES415	HydroPumpStorage	2	4.0440794588729916e-07
ES415	Li-Ion_BESS	1	0.0025088500032560503
ES415	Li-Ion_BESS	2	0.021641721029505078
ES416	HydroPumpStorage	1	0.0
ES416	HydroPumpStorage	2	0.0
ES416	Li-Ion_BESS	1	0.0030652622929848235
ES416	Li-Ion_BESS	2	592.2571768255476
ES417	HydroPumpStorage	1	0.0
ES417	HydroPumpStorage	2	0.0
ES417	Li-Ion_BESS	1	0.0028720415308332494
ES417	Li-Ion_BESS	2	0.31457652009163
ES418	HydroPumpStorage	1	0.0
ES418	HydroPumpStorage	2	0.0
ES418	Li-Ion_BESS	1	0.0028641394180094963
ES418	Li-Ion_BESS	2	0.17103219656662513
ES419	HydroPumpStorage	1	0.0
ES419	HydroPumpStorage	2	0.0
ES419	Li-Ion_BESS	1	0.002638929639063067
ES419	Li-Ion_BESS	2	0.03142184126826689
ES421	HydroPumpStorage	1	0.0
ES421	HydroPumpStorage	2	0.0
