Node	Storage	Period	storPWInvCap
ES111	HydroPumpStorage	1	0.0
ES111	HydroPumpStorage	2	0.0
ES111	Li-Ion_BESS	1	9.675877809407491e-05
ES111	Li-Ion_BESS	2	0.0010130383846679311
ES112	HydroPumpStorage	1	0.0
ES112	HydroPumpStorage	2	0.0
ES112	Li-Ion_BESS	1	0.00010472100452317115
ES112	Li-Ion_BESS	2	0.009133175188136706
ES113	HydroPumpStorage	1	43.40988555463275
ES113	HydroPumpStorage	2	3.3617520659138274e-07
ES113	Li-Ion_BESS	1	9.757249696638374e-05
ES113	Li-Ion_BESS	2	0.0011551719790339852
ES114	HydroPumpStorage	1	0.0
ES114	HydroPumpStorage	2	0.0
ES114	Li-Ion_BESS	1	0.00010567492315966985
ES114	Li-Ion_BESS	2	70.93375162724246
ES120	HydroPumpStorage	1	186.9999471887362
ES120	HydroPumpStorage	2	1.4733732135916477e-06
ES120	Li-Ion_BESS	1	0.00010502053708928438
ES120	Li-Ion_BESS	2	197.28991311662563
ES130	HydroPumpStorage	1	22.22444008497257
ES130	HydroPumpStorage	2	84.14048497926848
ES130	Li-Ion_BESS	1	0.00010087312382580453
ES130	Li-Ion_BESS	2	0.0028276739596108233
ES211	HydroPumpStorage	1	0.0
ES211	HydroPumpStorage	2	0.0
ES211	Li-Ion_BESS	1	0.00010435179898736809
ES211	Li-Ion_BESS	2	0.0025576846268702234
ES212	HydroPumpStorage	1	0.0
ES212	HydroPumpStorage	2	0.0
ES212	Li-Ion_BESS	1	0.00010003765890553322
ES212	Li-Ion_BESS	2	0.0027075321830864973
ES213	HydroPumpStorage	1	0.0
ES213	HydroPumpStorage	2	0.0
ES213	Li-Ion_BESS	1	0.00010153462255617159
ES213	Li-Ion_BESS	2	0.002271762627785278
ES220	HydroPumpStorage	1	0.0
ES220	HydroPumpStorage	2	0.0
ES220	Li-Ion_BESS	1	0.00010233069634091484
ES220	Li-Ion_BESS	2	0.001293183420227138
ES230	HydroPumpStorage	1	0.0
ES230	HydroPumpStorage	2	0.0
ES230	Li-Ion_BESS	1	0.00010603504654457596
ES230	Li-Ion_BESS	2	0.002468643916024365
ES241	HydroPumpStorage	1	0.0
ES241	HydroPumpStorage	2	0.0
ES241	Li-Ion_BESS	1	9.393423761603758e-05
ES241	Li-Ion_BESS	2	0.0008916033039745161
ES242	HydroPumpStorage	1	0.0
ES242	HydroPumpStorage	2	0.0
ES242	Li-Ion_BESS	1	0.00010092479318475438
ES242	Li-Ion_BESS	2	0.0026901814019122065
ES243	HydroPumpStorage	1	0.0
ES243	HydroPumpStorage	2	0.0
ES243	Li-Ion_BESS	1	9.847987832997916e-05
ES243	Li-Ion_BESS	2	0.0014052066084476891
ES300	HydroPumpStorage	1	0.0
ES300	HydroPumpStorage	2	0.0
ES300	Li-Ion_BESS	1	0.00011554356353450477
ES300	Li-Ion_BESS	2	3570.1642562435886
ES412	HydroPumpStorage	1	0.0
ES412	HydroPumpStorage	2	0.0
ES412	Li-Ion_BESS	1	9.74695325145707e-05
ES412	Li-Ion_BESS	2	0.001042380038007849
ES413	HydroPumpStorage	1	0.0
ES413	HydroPumpStorage	2	0.0
ES413	Li-Ion_BESS	1	0.00010377287993223178
ES413	Li-Ion_BESS	2	0.002370531664896944
ES414	HydroPumpStorage	1	0.0
ES414	HydroPumpStorage	2	0.0
ES414	Li-Ion_BESS	1	9.972015354166857e-05
ES414	Li-Ion_BESS	2	0.0009374108055816974
ES415	HydroPumpStorage	1	4.945543651047046e-06
ES415	HydroPumpStorage	2	5.5125516311640936e-08
ES415	Li-Ion_BESS	1	9.220656433530653e-05
ES415	Li-Ion_BESS	2	0.0005280476760292548
ES416	HydroPumpStorage	1	0.0
ES416	HydroPumpStorage	2	0.0
ES416	Li-Ion_BESS	1	0.00011642761827529597
ES416	Li-Ion_BESS	2	115.55968695415098
ES417	HydroPumpStorage	1	0.0
ES417	HydroPumpStorage	2	0.0
ES417	Li-Ion_BESS	1	0.00010103500439181823
ES417	Li-Ion_BESS	2	8.935521852939459
ES418	HydroPumpStorage	1	0.0
ES418	HydroPumpStorage	2	0.0
ES418	Li-Ion_BESS	1	0.00010818737713644687
ES418	Li-Ion_BESS	2	0.009723208726621076
ES419	HydroPumpStorage	1	0.0
ES419	HydroPumpStorage	2	0.0
ES419	Li-Ion_BESS	1	9.673272068376639e-05
ES419	Li-Ion_BESS	2	0.0008982473501092806
ES421	HydroPumpStorage	1	0.0
ES421	HydroPumpStorage	2	0.0
