FromNode	ToNode	Period	transmisionInvCap
ES111	ES112	1	6.186165683175204e-05
ES111	ES112	2	2.475942541185349e-05
ES111	ES114	1	6.325578033283819e-05
ES111	ES114	2	2.6121400027733472e-05
ES112	ES113	1	1.2350414181128144e-05
ES112	ES113	2	1.1983696557682675e-05
ES112	ES114	1	0.004448402472894425
ES112	ES114	2	0.0012799243623541445
ES112	ES120	1	7.973097126523498e-06
ES112	ES120	2	1.3608502957020518e-05
ES112	ES413	1	4.856844952882966e-06
ES112	ES413	2	4.2937222314226475e-05
ES113	ES114	1	1.2417699508660007e-05
ES113	ES114	2	4.737585977152583e-05
ES113	ES413	1	4.675334002968157e-05
ES113	ES413	2	1.3506664117714622e-05
ES113	ES419	1	2.577551822469104e-05
ES113	ES419	2	6.855869171445319e-06
ES113	Portugal	1	0.0
ES113	Portugal	2	0.0
ES114	Portugal	1	0.0
ES114	Portugal	2	0.0
ES120	ES130	1	2.0287704501242843e-05
ES120	ES130	2	2.336780430452332e-05
ES120	ES413	1	3.905643097823486e-05
ES120	ES413	2	4.429923512558771e-05
ES130	ES213	1	3.642128831415903e-06
ES130	ES213	2	5.0967387326210806e-05
ES130	ES412	1	5.762900855188491e-06
ES130	ES412	2	1.1069631572940983e-06
ES130	ES413	1	4.5140698148316005e-05
ES130	ES413	2	1.7898578372590313e-05
ES130	ES414	1	9.32452644519799e-06
ES130	ES414	2	8.295267736286957e-06
ES211	ES212	1	4.193589120404795e-07
ES211	ES212	2	3.3982168707257685e-05
ES211	ES213	1	3.770121861634834e-05
ES211	ES213	2	6.601935995921367e-06
ES211	ES220	1	0.01505062913368092
ES211	ES220	2	0.009429556265639214
ES211	ES230	1	2.5354411263833754e-06
ES211	ES230	2	2.5014385911790488e-05
ES211	ES412	1	6.737898274877807e-06
ES211	ES412	2	2.0811966132096266e-05
ES211	ES414	1	3.932928848371375e-06
ES211	ES414	2	6.524557431998778e-06
ES212	ES213	1	1.6965750546660274e-05
ES212	ES213	2	1.0614860572601448e-05
ES212	ES220	1	2.5635778115429275e-05
ES212	ES220	2	1.6839043604770225e-06
ES212	France	1	0.0
ES212	France	2	0.0
ES213	ES412	1	7.394791737169726e-06
ES213	ES412	2	3.6674058034759993e-06
ES220	ES230	1	4.00998760596849e-06
ES220	ES230	2	3.528769373511291e-05
ES220	ES241	1	6.740146091033239e-06
ES220	ES241	2	4.082124171195815e-07
ES220	ES243	1	4.4816488298238255e-06
ES220	ES243	2	1.5941130523606966e-05
ES220	France	1	0.0
ES220	France	2	1999.999978689718
ES230	ES243	1	0.20712050392205208
ES230	ES243	2	1.376179062877087e-06
ES230	ES412	1	5.5164268815133255e-06
ES230	ES412	2	1.151028097023159e-05
ES230	ES417	1	0.013185038888951672
ES230	ES417	2	0.005907835284772735
ES241	ES243	1	1.9269649783382192e-05
ES241	ES243	2	4.307115948499556e-05
ES241	ES513	1	1.202611224471184e-05
ES241	ES513	2	9.702987774560563e-07
ES241	France	1	0.0
ES241	France	2	0.0
ES242	ES243	1	2.9322642149054445e-05
ES242	ES243	2	8.093109309212966e-05
