FromNode	ToNode	Period	transmissionInstalledCap
ES111	ES112	1	7641.4618146940265
ES111	ES112	2	7641.461839402991
ES111	ES114	1	5049.620987642081
ES111	ES114	2	5049.621013713019
ES112	ES113	1	1474.6680699145543
ES112	ES113	2	1474.6680818477885
ES112	ES114	1	0.004448402472894425
ES112	ES114	2	0.0057282763728979036
ES112	ES120	1	4027.476441384177
ES112	ES120	2	4027.4764549422175
ES112	ES413	1	4066.508890867055
ES112	ES413	2	4066.5089337538147
ES113	ES114	1	6863.73297518009
ES113	ES114	2	6863.733022505488
ES113	ES413	1	2770.58851854051
ES113	ES413	2	2770.5885319967115
ES113	ES419	1	6618.064930973768
ES113	ES419	2	6618.064937779174
ES113	Portugal	1	8666.90573364432
ES113	Portugal	2	8666.90573364432
ES114	Portugal	1	0.0
ES114	Portugal	2	0.0
ES120	ES130	1	5049.620944674005
ES120	ES130	2	5049.620967991347
ES120	ES413	1	5853.985358477721
ES120	ES413	2	5853.9854027264955
ES130	ES213	1	5362.4293038753685
ES130	ES213	2	5362.429354792293
ES130	ES412	1	983.1120441389949
ES130	ES412	2	983.1120451954957
ES130	ES413	1	2279.032497739818
ES130	ES413	2	2279.032515587935
ES130	ES414	1	1787.4764427356065
ES130	ES414	2	1787.476450980412
ES211	ES212	1	4558.064905617609
ES211	ES212	2	4558.064939549316
ES211	ES213	1	1474.6680952653587
ES211	ES213	2	1474.6681018168324
ES211	ES220	1	0.01505062913368092
ES211	ES220	2	0.02448013493697004
ES211	ES230	1	491.55602172348813
ES211	ES230	2	491.55604668741177
ES211	ES412	1	3262.144497713118
ES211	ES412	2	3262.144518474622
ES211	ES414	1	4867.47643734401
ES211	ES414	2	4867.476443818104
ES212	ES213	1	5049.620941352051
ES212	ES213	2	5049.620951916449
ES212	ES220	1	983.1120640118721
ES212	ES220	2	983.1120656453141
ES212	France	1	2290.20418030794
ES212	France	2	2290.20418030794
ES213	ES412	1	1787.4764408058718
ES213	ES412	2	1787.4764444228151
ES220	ES230	1	8803.321438559558
ES220	ES230	2	8803.321473796788
ES220	ES241	1	491.5560259281931
ES220	ES241	2	491.5560262859431
ES220	ES243	1	4279.032457080769
ES220	ES243	2	4279.032472971437
ES220	France	1	0.0
ES220	France	2	1999.999978689718
ES230	ES243	1	0.20712050392205208
ES230	ES243	2	0.2071218296387642
ES230	ES412	1	2279.032458115547
ES230	ES412	2	2279.032469575366
ES230	ES417	1	0.013185038888951672
ES230	ES417	2	0.01909282371137395
ES241	ES243	1	3440.89215358598
ES241	ES243	2	3440.892196606677
ES241	ES513	1	1873.1120504022063
ES241	ES513	2	1873.1120513220426
ES241	France	1	502.727746896866
ES241	France	2	502.727746896866
ES242	ES243	1	12691.082706541241
ES242	ES243	2	12691.082787421872
ES242	ES423	1	0.004651859896686585
ES242	ES423	2	0.005483081418012311
ES242	ES424	1	0.004242260960121264
ES242	ES424	2	0.005380902862136551
ES242	ES514	1	0.02040100707585244
ES242	ES514	2	0.11704466694173236
ES242	ES522	1	8937.382256704148
ES242	ES522	2	8937.382265985898
ES242	ES523	1	2030.0000039652773
ES242	ES523	2	2030.0000118422706
ES243	ES417	1	2770.5884864205254
ES243	ES417	2	2770.5884938263166
ES243	ES424	1	3574.9528971039954
ES243	ES424	2	3574.9529240518377
ES243	ES513	1	3108.96199246098
ES243	ES513	2	3108.9620096812455
ES243	ES514	1	5049.620968092698
ES243	ES514	2	5049.620991384976
