Source:_EU_EnVis_Scenarios_InputData_v1.3.0.csv	Unnamed:_1	Unnamed:_2
Coal	1	38.5
CoalCCS	1	67.85
Lignite	1	44.5
LigniteCCS	1	75.575
GasOCGT	1	20.25725028
GasCCGT	1	35.99545454
GasCCS	1	71.3
Nuclear	1	117.5
Wave	1	36.45
Geo	1	50.6
Bio	1	43.8
BioCCS	1	75.3
Hydrorun-of-the-river	1	8.55
Hydroregulated	1	25.5
Windonshore	1	14.0
Windoffshorefloating	1	49.0
Windoffshoregrounded	1	30.0
Solar	1	10.4
Oil	1	9.17052632
Waste	1	52.3
Coal	2	36.0
CoalCCS	2	65.9
Lignite	2	42.0
LigniteCCS	2	73.575
GasOCGT	2	19.77873255
GasCCGT	2	34.79090909
GasCCS	2	69.0
Nuclear	2	115.0
Wave	2	33.3
Geo	2	50.6
Bio	2	40.1
BioCCS	2	69.1
Hydrorun-of-the-river	2	8.2
Hydroregulated	2	25.5
Windonshore	2	14.0
Windoffshorefloating	2	43.0
Windoffshoregrounded	2	27.0
Solar	2	9.5
Oil	2	8.983372722
Waste	2	44.5
Coal	3	34.0
CoalCCS	3	64.9
Lignite	3	40.5
LigniteCCS	3	72.5875
GasOCGT	3	19.61922665
GasCCGT	3	34.06818182
GasCCS	3	65.55
Nuclear	3	111.5
Wave	3	30.65
Geo	3	49.45
Bio	3	39.65
BioCCS	3	66.05
Hydrorun-of-the-river	3	8.2
Hydroregulated	3	25.5
Windonshore	3	13.0
Windoffshorefloating	3	41.5
Windoffshoregrounded	3	26.5
Solar	3	8.8
Oil	3	8.983372722
Waste	3	44.5
Coal	4	32.0
CoalCCS	4	63.9
Lignite	4	39.0
LigniteCCS	4	71.6
GasOCGT	4	19.45972074
GasCCGT	4	33.34545454
GasCCS	4	62.1
Nuclear	4	108.0
Wave	4	28.0
Geo	4	48.3
Bio	4	39.2
BioCCS	4	63.0
Hydrorun-of-the-river	4	8.2
Hydroregulated	4	25.5
Windonshore	4	12.0
Windoffshorefloating	4	40.0
Windoffshoregrounded	4	26.0
Solar	4	8.1
Oil	4	8.983372722
Waste	4	41.8
Coal	5	31.5
CoalCCS	5	62.9
Lignite	5	39.0
LigniteCCS	5	70.6125
GasOCGT	5	19.30021483
GasCCGT	5	32.62272727
GasCCS	5	58.65
Nuclear	5	106.5
Wave	5	25.75
Geo	5	47.15
Bio	5	38.8
BioCCS	5	62.2
Hydrorun-of-the-river	5	8.15
Hydroregulated	5	25.5
Windonshore	5	12.0
Windoffshorefloating	5	39.5
Windoffshoregrounded	5	26.0
Solar	5	7.75
Oil	5	8.983372722
Waste	5	41.8
Coal	6	31.0
CoalCCS	6	61.9
Lignite	6	39.0
LigniteCCS	6	69.625
GasOCGT	6	19.14070892
GasCCGT	6	31.9
GasCCS	6	55.2
Nuclear	6	105.0
Wave	6	23.5
Geo	6	46.0
Bio	6	38.4
BioCCS	6	61.4
Hydrorun-of-the-river	6	8.1
Hydroregulated	6	25.5
Windonshore	6	12.0
Windoffshorefloating	6	39.0
Windoffshoregrounded	6	26.0
Solar	6	7.4
Oil	6	8.983372722
Waste	6	39.2
Coal	7	31.0
CoalCCS	7	61.9
Lignite	7	39.0
LigniteCCS	7	69.625
GasOCGT	7	19.14070892
GasCCGT	7	31.9
GasCCS	7	55.2
Nuclear	7	105.0
Wave	7	23.5
Geo	7	46.0
Bio	7	38.4
BioCCS	7	61.4
Hydrorun-of-the-river	7	8.1
Hydroregulated	7	25.5
Windonshore	7	12.0
Windoffshorefloating	7	39.0
Windoffshoregrounded	7	26.0
Solar	7	7.4
Oil	7	8.983372722
Waste	7	39.2
