Source:_EU_EnVis_Scenarios_InputData_v1.3.0.csv	Unnamed:_1	Unnamed:_2
Coal	1	1.89500036249842
Coal	2	1.69855206341786
Coal	3	1.50784796439775
Coal	4	1.4606414822336
Coal	5	1.41670107309913
Coal	6	1.41852561210444
Coal	7	1.45592846286598
CoalCCS	1	1.89500036249842
CoalCCS	2	1.69855206341786
CoalCCS	3	1.50784796439775
CoalCCS	4	1.4606414822336
CoalCCS	5	1.41670107309913
CoalCCS	6	1.41852561210444
CoalCCS	7	1.45592846286598
Lignite	1	1.275590529
Lignite	2	1.211811002
Lignite	3	1.151220452
Lignite	4	1.09365943
Lignite	5	1.038976458
Lignite	6	1.038976458
Lignite	7	1.038976458
LigniteCCS	1	1.275590529
LigniteCCS	2	1.211811002
LigniteCCS	3	1.151220452
LigniteCCS	4	1.09365943
LigniteCCS	5	1.038976458
LigniteCCS	6	1.038976458
LigniteCCS	7	1.038976458
GasOCGT	1	4.31613810038715
GasOCGT	2	4.14891768833537
GasOCGT	3	3.98789495761539
GasOCGT	4	3.90833031307163
GasOCGT	5	4.2145290245436
GasOCGT	6	4.31313922782128
GasOCGT	7	4.29332681635897
GasCCGT	1	4.31613810038715
GasCCGT	2	4.14891768833537
GasCCGT	3	3.98789495761539
GasCCGT	4	3.90833031307163
GasCCGT	5	4.2145290245436
GasCCGT	6	4.31313922782128
GasCCGT	7	4.29332681635897
GasCCS	1	4.31613810038715
GasCCS	2	4.14891768833537
GasCCS	3	3.98789495761539
GasCCS	4	3.90833031307163
GasCCS	5	4.2145290245436
GasCCS	6	4.31313922782128
GasCCS	7	4.29332681635897
Nuclear	1	0.722222222
Nuclear	2	0.722222222
Nuclear	3	0.722222222
Nuclear	4	0.722222222
Nuclear	5	0.722222222
Nuclear	6	0.722222222
Nuclear	7	0.722222222
Wave	1	0.0
Wave	2	0.0
Wave	3	0.0
Wave	4	0.0
Wave	5	0.0
Wave	6	0.0
Wave	7	0.0
Waste	1	0.0
Waste	2	0.0
Waste	3	0.0
Waste	4	0.0
Waste	5	0.0
Waste	6	0.0
Waste	7	0.0
Geo	1	0.0
Geo	2	0.0
Geo	3	0.0
Geo	4	0.0
Geo	5	0.0
Geo	6	0.0
Geo	7	0.0
Bio	1	3.94387497948217
Bio	2	4.15545635793176
Bio	3	4.70605810913123
Bio	4	4.93406508971366
Bio	5	7.52400685717097
Bio	6	8.81123090764778
Bio	7	8.81123090908233
BioCCS	1	3.94387497948217
BioCCS	2	4.15545635793176
BioCCS	3	4.70605810913123
BioCCS	4	4.93406508971366
BioCCS	5	7.52400685717097
BioCCS	6	8.81123090764778
BioCCS	7	8.81123090908233
Hydrorun-of-the-river	1	0.0
Hydrorun-of-the-river	2	0.0
Hydrorun-of-the-river	3	0.0
Hydrorun-of-the-river	4	0.0
Hydrorun-of-the-river	5	0.0
Hydrorun-of-the-river	6	0.0
Hydrorun-of-the-river	7	0.0
Hydroregulated	1	0.0
Hydroregulated	2	0.0
Hydroregulated	3	0.0
Hydroregulated	4	0.0
Hydroregulated	5	0.0
Hydroregulated	6	0.0
Hydroregulated	7	0.0
Windonshore	1	0.0
Windonshore	2	0.0
Windonshore	3	0.0
Windonshore	4	0.0
Windonshore	5	0.0
Windonshore	6	0.0
Windonshore	7	0.0
Windoffshorefloating	1	0.0
Windoffshorefloating	2	0.0
Windoffshorefloating	3	0.0
Windoffshorefloating	4	0.0
Windoffshorefloating	5	0.0
Windoffshorefloating	6	0.0
Windoffshorefloating	7	0.0
Windoffshoregrounded	1	0.0
Windoffshoregrounded	2	0.0
Windoffshoregrounded	3	0.0
Windoffshoregrounded	4	0.0
Windoffshoregrounded	5	0.0
Windoffshoregrounded	6	0.0
Windoffshoregrounded	7	0.0
Solar	1	0.0
Solar	2	0.0
Solar	3	0.0
Solar	4	0.0
Solar	5	0.0
Solar	6	0.0
Solar	7	0.0
Oil	1	10.5427025851769
Oil	2	9.92125365390394
Oil	3	9.2600147824571
Oil	4	8.89256349390351
Oil	5	8.52547314821809
Oil	6	8.52566512172409
Oil	7	8.52531929373967
