Source:_Assumed	Unnamed:_1	Unnamed:_2	Unnamed:_3
EU	CCS	1	1868.685
EU	CCS	2	5062.631
EU	CCS	3	8770.533
EU	CCS	4	15156.785
EU	CCS	5	19133.614
EU	CCS	6	31108.942
EU	CCS	7	39778.082
France	CCS	1	40.7
France	CCS	2	311.0
France	CCS	3	591.1
France	CCS	4	1170.7
France	CCS	5	1295.3
France	CCS	6	1720.2
France	CCS	7	2189.2
Italy	CCS	1	293.9
Italy	CCS	2	314.6
Italy	CCS	3	907.3
Italy	CCS	4	3270.3
Italy	CCS	5	3270.3
Italy	CCS	6	6590.8
Italy	CCS	7	9695.0
Portugal	CCS	1	10.4
Portugal	CCS	2	48.4
Portugal	CCS	3	95.0
Portugal	CCS	4	223.3
Portugal	CCS	5	223.3
Portugal	CCS	6	429.2
Portugal	CCS	7	563.9
