Source:_data/IAMC/Spain/Spain_IAMC.xlsx	Unnamed:_1	Unnamed:_2
France	Bio	1402.71
France	Coal	1812.46
France	GasCCGT	10506.632
France	Geo	1.85
France	Hydroregulated	8787.34
France	Hydrorun-of-the-river	11598.12
France	Nuclear	61370.0
France	Oil	3042.47
France	Solar	17419.3
France	Waste	967.67
France	Wave	243.09
France	Windoffshorefloating	0.0
France	Windoffshoregrounded	1483.0
France	Windonshore	22134.06
Italy	Bio	1543.0
Italy	Coal	5583.0
Italy	GasCCGT	36125.6
Italy	Geo	868.0
Italy	Hydroregulated	4542.0
Italy	Hydrorun-of-the-river	10291.0
Italy	Nuclear	0.0
Italy	Oil	1564.0
Italy	Solar	5927.0
Italy	Waste	670.0
Italy	Windonshore	11651.0
Portugal	Bio	681.0
Portugal	Coal	0.0
Portugal	GasCCGT	3546.16
Portugal	Geo	0.0
Portugal	Hydroregulated	1629.0
Portugal	Hydrorun-of-the-river	2855.5
Portugal	Nuclear	0.0
Portugal	Oil	0.0
Portugal	Solar	1810.8
Portugal	Waste	0.0
Portugal	Wave	0.0
Portugal	Windonshore	5332.8
France	GasOCGT	2626.658
Italy	GasOCGT	9031.4
Portugal	GasOCGT	886.54
EU	Bio	28530.76
EU	Coal	51086.85
EU	GasCCGT	110704.712
EU	GasOCGT	23504.428
EU	Geo	83.95
EU	Hydroregulated	65822.3
EU	Hydrorun-of-the-river	33725.34
EU	Lignite	52316.56
EU	Nuclear	35259.6
EU	Oil	9464.14
EU	Solar	167129.76
EU	Waste	4647.75
EU	Wave	8.0
EU	Windoffshorefloating	0.0
EU	Windoffshoregrounded	43602.9
EU	Windonshore	148146.01
ES111	Bio	143.509
ES120	Bio	110.502
ES213	Bio	81.8
ES220	Bio	43.053
ES413	Bio	71.755
ES422	Bio	71.755
ES532	Bio	54.533
ES615	Bio	130.593
ES111	BioCCS	0.0
ES112	BioCCS	0.0
ES113	BioCCS	0.0
ES114	BioCCS	0.0
ES120	BioCCS	0.0
ES130	BioCCS	0.0
ES211	BioCCS	0.0
ES212	BioCCS	0.0
ES213	BioCCS	0.0
ES220	BioCCS	0.0
ES230	BioCCS	0.0
ES241	BioCCS	0.0
ES242	BioCCS	0.0
ES243	BioCCS	0.0
ES300	BioCCS	0.0
ES412	BioCCS	0.0
ES413	BioCCS	0.0
ES414	BioCCS	0.0
ES415	BioCCS	0.0
ES416	BioCCS	0.0
ES417	BioCCS	0.0
ES418	BioCCS	0.0
ES419	BioCCS	0.0
ES421	BioCCS	0.0
ES422	BioCCS	0.0
ES423	BioCCS	0.0
ES424	BioCCS	0.0
ES425	BioCCS	0.0
ES431	BioCCS	0.0
ES432	BioCCS	0.0
ES511	BioCCS	0.0
ES512	BioCCS	0.0
ES513	BioCCS	0.0
ES514	BioCCS	0.0
ES521	BioCCS	0.0
ES522	BioCCS	0.0
ES523	BioCCS	0.0
ES532	BioCCS	0.0
ES611	BioCCS	0.0
ES612	BioCCS	0.0
ES613	BioCCS	0.0
ES614	BioCCS	0.0
ES615	BioCCS	0.0
ES616	BioCCS	0.0
ES617	BioCCS	0.0
ES618	BioCCS	0.0
ES620	BioCCS	0.0
ES111	Coal	816.762
ES120	Coal	1462.394
ES532	Coal	288.923
ES612	Coal	654.521
ES111	CoalCCS	0.0
ES112	CoalCCS	0.0
ES113	CoalCCS	0.0
ES114	CoalCCS	0.0
ES120	CoalCCS	0.0
ES130	CoalCCS	0.0
ES211	CoalCCS	0.0
ES212	CoalCCS	0.0
ES213	CoalCCS	0.0
ES220	CoalCCS	0.0
ES230	CoalCCS	0.0
ES241	CoalCCS	0.0
ES242	CoalCCS	0.0
ES243	CoalCCS	0.0
ES300	CoalCCS	0.0
ES412	CoalCCS	0.0
ES413	CoalCCS	0.0
ES414	CoalCCS	0.0
ES415	CoalCCS	0.0
ES416	CoalCCS	0.0
ES417	CoalCCS	0.0
ES418	CoalCCS	0.0
ES419	CoalCCS	0.0
ES421	CoalCCS	0.0
ES422	CoalCCS	0.0
ES423	CoalCCS	0.0
ES424	CoalCCS	0.0
ES425	CoalCCS	0.0
ES431	CoalCCS	0.0
ES432	CoalCCS	0.0
ES511	CoalCCS	0.0
ES512	CoalCCS	0.0
ES513	CoalCCS	0.0
ES514	CoalCCS	0.0
ES521	CoalCCS	0.0
ES522	CoalCCS	0.0
ES523	CoalCCS	0.0
ES532	CoalCCS	0.0
ES611	CoalCCS	0.0
ES612	CoalCCS	0.0
ES613	CoalCCS	0.0
ES614	CoalCCS	0.0
ES615	CoalCCS	0.0
ES616	CoalCCS	0.0
ES617	CoalCCS	0.0
ES618	CoalCCS	0.0
ES620	CoalCCS	0.0
ES111	GasCCGT	1129.26
ES120	GasCCGT	779.474
ES130	GasCCGT	35.511
ES211	GasCCGT	41.726
ES212	GasCCGT	44.389
ES213	GasCCGT	1746.27
ES220	GasCCGT	1781.781
ES230	GasCCGT	18.643
ES242	GasCCGT	22.195
ES243	GasCCGT	1805.751
ES300	GasCCGT	90.554
ES412	GasCCGT	28.409
ES414	GasCCGT	44.389
ES417	GasCCGT	20.419
ES418	GasCCGT	40.838
ES423	GasCCGT	20.419
ES425	GasCCGT	673.828
ES511	GasCCGT	2344.636
ES512	GasCCGT	22.195
ES514	GasCCGT	1146.128
ES522	GasCCGT	1479.047
ES523	GasCCGT	1094.637
ES532	GasCCGT	882.457
ES612	GasCCGT	3564.45
ES614	GasCCGT	43.501
ES615	GasCCGT	1526.1
ES616	GasCCGT	23.082
ES617	GasCCGT	369.318
ES620	GasCCGT	3078.833
ES111	GasCCS	0.0
ES112	GasCCS	0.0
ES113	GasCCS	0.0
ES114	GasCCS	0.0
ES120	GasCCS	0.0
ES130	GasCCS	0.0
ES211	GasCCS	0.0
ES212	GasCCS	0.0
ES213	GasCCS	0.0
ES220	GasCCS	0.0
ES230	GasCCS	0.0
ES241	GasCCS	0.0
ES242	GasCCS	0.0
ES243	GasCCS	0.0
ES300	GasCCS	0.0
ES412	GasCCS	0.0
ES413	GasCCS	0.0
ES414	GasCCS	0.0
ES415	GasCCS	0.0
ES416	GasCCS	0.0
ES417	GasCCS	0.0
ES418	GasCCS	0.0
ES419	GasCCS	0.0
ES421	GasCCS	0.0
ES422	GasCCS	0.0
ES423	GasCCS	0.0
ES424	GasCCS	0.0
ES425	GasCCS	0.0
ES431	GasCCS	0.0
ES432	GasCCS	0.0
ES511	GasCCS	0.0
ES512	GasCCS	0.0
ES513	GasCCS	0.0
ES514	GasCCS	0.0
ES521	GasCCS	0.0
ES522	GasCCS	0.0
ES523	GasCCS	0.0
ES532	GasCCS	0.0
ES611	GasCCS	0.0
ES612	GasCCS	0.0
ES613	GasCCS	0.0
ES614	GasCCS	0.0
ES615	GasCCS	0.0
ES616	GasCCS	0.0
ES617	GasCCS	0.0
ES618	GasCCS	0.0
ES620	GasCCS	0.0
ES111	GasOCGT	214.06
ES112	GasOCGT	98.879
ES113	GasOCGT	145.07
ES114	GasOCGT	28.117
ES120	GasOCGT	162.932
ES130	GasOCGT	30.095
ES211	GasOCGT	16.812
ES212	GasOCGT	3.62
ES213	GasOCGT	116.297
ES220	GasOCGT	186.333
ES230	GasOCGT	26.459
ES241	GasOCGT	38.18
ES242	GasOCGT	81.004
ES243	GasOCGT	430.085
ES300	GasOCGT	23.779
ES412	GasOCGT	74.804
ES413	GasOCGT	71.719
ES414	GasOCGT	74.337
ES415	GasOCGT	131.221
ES416	GasOCGT	29.187
ES417	GasOCGT	62.471
ES418	GasOCGT	84.907
ES419	GasOCGT	106.456
ES421	GasOCGT	163.991
ES422	GasOCGT	195.922
ES423	GasOCGT	183.442
ES424	GasOCGT	177.221
ES425	GasOCGT	100.114
ES431	GasOCGT	267.872
ES432	GasOCGT	434.475
ES511	GasOCGT	143.844
ES512	GasOCGT	8.897
ES513	GasOCGT	34.669
ES514	GasOCGT	300.951
ES521	GasOCGT	14.772
ES522	GasOCGT	139.326
ES523	GasOCGT	198.377
ES532	GasOCGT	82.048
ES611	GasOCGT	78.612
ES612	GasOCGT	378.976
ES613	GasOCGT	25.032
ES614	GasOCGT	70.575
ES615	GasOCGT	159.38
ES616	GasOCGT	15.447
ES617	GasOCGT	79.641
ES618	GasOCGT	202.259
ES620	GasOCGT	281.894
ES111	Hydroregulated	334.094
ES112	Hydroregulated	461.239
ES113	Hydroregulated	2625.411
ES120	Hydroregulated	328.684
ES213	Hydroregulated	171.781
ES241	Hydroregulated	179.897
ES243	Hydroregulated	660.072
ES413	Hydroregulated	611.378
ES415	Hydroregulated	2729.561
ES419	Hydroregulated	1353.96
ES425	Hydroregulated	535.632
ES431	Hydroregulated	213.712
ES432	Hydroregulated	3215.147
ES512	Hydroregulated	182.602
ES513	Hydroregulated	463.944
ES514	Hydroregulated	541.043
ES523	Hydroregulated	1004.987
ES617	Hydroregulated	158.255
ES111	Hydrorun-of-the-river	0.0
ES112	Hydrorun-of-the-river	5.095
ES113	Hydrorun-of-the-river	506.937
ES120	Hydrorun-of-the-river	0.0
ES213	Hydrorun-of-the-river	0.0
ES230	Hydrorun-of-the-river	4.663
ES241	Hydrorun-of-the-river	313.731
ES243	Hydrorun-of-the-river	21.072
ES413	Hydrorun-of-the-river	49.744
ES415	Hydrorun-of-the-river	0.0
ES418	Hydrorun-of-the-river	3.627
ES419	Hydrorun-of-the-river	0.0
ES425	Hydrorun-of-the-river	0.0
