Source:_data\IAMC\Spain\Spain_IAMC.xlsx_+_reference	Unnamed:_1	Unnamed:_2
France	1	560126361.111111
France	2	585527333.333333
France	3	620547805.555555
France	4	639071083.333333
France	5	667697222.222222
France	6	708593777.777778
France	7	761225083.333333
Portugal	1	46145472.222222
Portugal	2	66890138.888889
Portugal	3	72926416.666667
Portugal	4	84221138.888889
Portugal	5	97320916.666667
Portugal	6	100445055.555555
Portugal	7	95567527.777778
EU	1	2335980638.888888
EU	2	2663003500.0
EU	3	3153024611.111111
EU	4	3595329000.0
EU	5	4018806416.666666
EU	6	4205274416.666666
EU	7	4203917249.999999
ES111	1	5955097.869298
ES111	2	7185285.854175
ES111	3	9540751.905175
ES111	4	11275908.910012
ES111	5	12953892.946535
ES111	6	13334189.176708
ES111	7	12934730.374578
ES112	1	6130152.730236
ES112	2	7396503.074044
ES112	3	9821209.932005
ES112	4	11607373.263666
ES112	5	13334682.981919
ES112	6	13726158.323695
ES112	7	13314957.110845
ES113	1	1449728.971576
ES113	2	1749210.055062
ES113	3	2322632.600022
ES113	4	2745045.033093
ES113	5	3153539.08726
ES113	6	3246119.675315
ES113	7	3148874.086559
ES114	1	3776061.435079
ES114	2	4556109.976605
ES114	3	6049684.845068
ES114	4	7149928.635108
ES114	5	8213919.680773
ES114	6	8455061.297616
ES114	7	8201768.906671
ES120	1	10628784.299281
ES120	2	12824449.765374
ES120	3	17028535.261505
ES120	4	20125480.086692
ES120	5	23120381.391973
ES120	6	23799142.125894
ES120	7	23086179.629311
ES130	1	3716941.981273
ES130	2	4484777.786192
ES130	3	5954968.678531
ES130	4	7037986.633387
ES130	5	8085319.430622
ES130	6	8322685.642609
ES130	7	8073358.89366
ES211	1	2708510.884962
ES211	2	3268027.725947
ES211	3	4339346.044858
ES211	4	5128534.02092
ES211	5	5891718.460112
ES211	6	6064685.63908
ES211	7	5883002.896427
ES212	1	6275917.622536
ES212	2	7572379.682903
ES212	3	10054742.059342
ES212	4	11883377.400612
ES212	5	13651759.686895
ES212	6	14052543.664775
ES212	7	13631564.767234
ES213	1	6913899.000063
ES213	2	8342153.525044
ES213	3	11076861.624243
ES213	4	13091387.756978
ES213	5	15039535.781892
ES213	6	15481061.644812
ES213	7	15017287.938111
ES220	1	5619070.315864
ES220	2	6779842.639085
ES220	3	9002397.105476
ES220	4	10639644.625707
ES220	5	12222945.269468
ES220	6	12581782.572414
ES220	7	12204863.981532
ES230	1	2251432.326879
ES230	2	2716527.117607
ES230	3	3607053.609108
ES230	4	4263061.059974
ES230	5	4897453.237354
ES230	6	5041231.09713
ES230	7	4890208.480859
ES241	1	1396039.152596
ES241	2	1684429.138728
ES241	3	2236615.333141
ES241	4	2643383.982091
ES241	5	3036749.71072
ES241	6	3125901.633755
ES241	7	3032257.475445
ES242	1	705360.451152
ES242	2	851071.902258
ES242	3	1130068.592636
ES242	4	1335591.852641
ES242	5	1534343.175122
ES242	6	1579387.929444
ES242	7	1532073.4357
ES243	1	8302130.27962
ES243	2	10017161.861473
ES243	3	13300967.8465
ES243	4	15719987.621813
ES243	5	18059301.329848
ES243	6	18589480.500205
ES243	7	18032586.375303
ES300	1	34149553.193602
ES300	2	41204075.37774
ES300	3	54711513.033645
ES300	4	64661783.832959
ES300	5	74284195.81861
ES300	6	76465007.389913
ES300	7	74174307.906647
ES412	1	2848637.549918
ES412	2	3437101.377733
ES412	3	4563845.083328
ES412	4	5393862.239632
ES412	5	6196530.548283
ES412	6	6378446.302674
ES412	7	6187364.078944
ES413	1	2817845.974751
ES413	2	3399948.962385
ES413	3	4514513.43742
ES413	4	5335558.748337
ES413	5	6129550.831556
ES413	6	6309500.216927
ES413	7	6120483.444681
ES414	1	1629198.031024
ES414	2	1965753.34661
ES414	3	2610162.680707
ES414	4	3084867.620549
ES414	5	3543931.157101
ES414	6	3647972.750203
ES414	7	3538688.653083
ES415	1	1484632.689447
ES415	2	1791324.088412
ES415	3	2378552.371632
ES415	4	2811134.819015
ES415	5	3229463.788188
ES415	6	3324273.349237
ES415	7	3224686.472791
ES416	1	1690811.506974
ES416	2	2040094.767505
ES416	3	2708874.55765
ES416	4	3201532.024341
ES416	5	3677956.55669
ES416	6	3785932.824443
ES416	7	3672515.79016
ES417	1	743233.944126
ES417	2	896769.198808
ES417	3	1190746.285627
ES417	4	1407304.87336
ES417	5	1616727.912412
ES417	6	1664191.291401
ES417	7	1614336.302023
ES418	1	3646167.475903
ES418	2	4399382.875239
ES418	3	5841579.778505
ES418	4	6903975.926391
ES418	5	7931366.399786
ES418	6	8164212.908122
ES418	7	7919633.604094
ES419	1	745462.855524
ES419	2	899458.552684
ES419	3	1194317.258117
ES419	4	1411525.2913
ES419	5	1621576.376748
ES419	6	1669182.095396
ES419	7	1619177.59407
ES421	1	1337637.857151
ES421	2	1613963.461885
ES421	3	2143049.738921
ES421	4	2532801.804917
ES421	5	2909711.642541
ES421	6	2995134.022756
ES421	7	2905407.333484
ES422	1	3569370.573016
ES422	2	4306721.476204
ES422	3	5718542.304796
ES422	4	6758561.879379
ES422	5	7764313.081695
ES422	6	7992255.292352
ES422	7	7752827.406404
ES423	1	1223865.57299
ES423	2	1476688.407483
ES423	3	1960773.450489
ES423	4	2317375.3013
ES423	5	2662227.214636
ES423	6	2740384.026474
ES423	7	2658289.006965
ES424	1	658826.030267
ES424	2	794924.526773
ES424	3	1055515.096714
ES424	4	1247479.465138
ES424	5	1433118.657961
ES424	6	1475191.695407
ES424	7	1430998.659013
ES425	1	3107282.685433
ES425	2	3749176.724646
ES425	3	4978224.346874
ES425	4	5883603.810986
ES425	5	6759151.259165
ES425	6	6957584.251752
ES425	7	6749152.510302
ES431	1	2670069.260336
ES431	2	3221644.934648
ES431	3	4277758.139599
ES431	4	5055745.249493
ES431	5	5808097.888121
ES431	6	5978610.161184
ES431	7	5799506.023561
ES432	1	1285345.457967
ES432	2	1550868.640543
ES432	3	2059271.299323
ES432	4	2433786.75213
ES432	5	2795962.018972
ES432	6	2878044.974259
ES432	7	2791825.978664
ES511	1	32306093.710445
ES511	2	38979799.028671
ES511	3	51758078.856396
ES511	4	61171214.631982
ES511	5	70274190.052088
ES511	6	72337277.161542
ES511	7	70170234.103927
ES512	1	3719903.464708
ES512	2	4488351.044853
ES512	3	5959713.315705
ES512	4	7043594.168005
ES512	5	8091761.430439
ES512	6	8329316.764589
ES512	7	8079791.363887
ES513	1	3346320.390255
ES513	2	4037594.190953
ES513	3	5361190.250667
ES513	4	6336218.939199
ES513	5	7279120.688117
ES513	6	7492818.776258
ES513	7	7268352.75337
ES514	1	6550041.563134
ES514	2	7903131.40452
ES514	3	10493920.149428
ES514	4	12402427.910289
ES514	5	14248050.840882
ES514	6	14666340.543017
ES514	7	14226973.833328
ES521	1	5251037.353291
ES521	2	6335782.424142
ES521	3	8412765.958196
ES521	4	9942778.469527
ES521	5	11422377.469811
ES521	6	11757711.960323
ES521	7	11405480.454289
ES522	1	4648468.883188
ES522	2	5608736.991905
ES522	3	7447381.945152
ES522	4	8801822.043612
ES522	5	10111633.695991
ES522	6	10408487.791617
ES522	7	10096675.651401
ES523	1	10481876.606549
ES523	2	12647194.279466
ES523	3	16793172.2364
ES523	4	19847312.07035
ES523	5	22800818.797632
ES523	6	23470197.915506
ES523	7	22767089.760909
ES532	1	3573365.192659
ES532	2	4311541.29355
ES532	3	5724942.145034
ES532	4	6766125.645451
ES532	5	7773002.42255
ES532	6	8001199.732086
ES532	7	7761503.893199
ES611	1	3117801.662587
ES611	2	3761868.683604
ES611	3	4995076.958457
ES611	4	5903521.372514
ES611	5	6782032.781342
ES611	6	6981137.522311
ES611	7	6772000.184058
ES612	1	3638163.274778
ES612	2	4389725.187929
ES612	3	5828756.12744
ES612	4	6888820.064176
ES612	5	7913955.172167
ES612	6	8146290.527272
ES612	7	7902248.13274
ES613	1	2062814.98122
ES613	2	2488945.711666
ES613	3	3304866.921426
ES613	4	3905916.298432
ES613	5	4487161.256073
ES613	6	4618893.895589
ES613	7	4480523.440645
ES614	1	3505964.960668
ES614	2	4230217.704229
ES614	3	5616959.219163
ES614	4	6638504.086055
ES614	5	7626389.317453
ES614	6	7850282.406521
ES614	7	7615107.67149
ES615	1	2708853.530467
ES615	2	3268441.154233
ES615	3	4339895.002379
ES615	4	5129182.81622
ES615	5	5892463.803564
ES615	6	6065452.864086
ES615	7	5883747.137299
ES616	1	2119309.344284
ES616	2	2557110.527203
ES616	3	3395377.390585
ES616	4	4012887.721206
ES616	5	4610051.248358
ES616	6	4745391.652813
ES616	7	4603231.64292
ES617	1	4400128.104103
ES617	2	5309094.647456
ES617	3	7049511.446095
ES617	4	8331591.651926
ES617	5	9571427.651164
ES617	6	9852422.551163
ES617	7	9557268.728293
ES618	1	6311515.866858
ES618	2	7615331.716098
ES618	3	10111774.542232
ES618	4	11950782.264335
ES618	5	13729195.164222
ES618	6	14132252.467984
ES618	7	13708885.694988
ES620	1	5119717.576402
ES620	2	6177334.963502
ES620	3	8202376.56762
ES620	4	9694125.991467
ES620	5	11136722.662968
ES620	6	11463670.991373
ES620	7	11120248.213914
