Source:_Reference_+_assumed	Unnamed:_1	Unnamed:_2
France	1	22000
Italy	1	22000
Portugal	1	22000
EU	1	22000
ES111	1	22000
ES112	1	22000
ES113	1	22000
ES114	1	22000
ES120	1	22000
ES130	1	22000
ES211	1	22000
ES212	1	22000
ES213	1	22000
ES220	1	22000
ES230	1	22000
ES241	1	22000
ES242	1	22000
ES243	1	22000
ES300	1	22000
ES412	1	22000
ES413	1	22000
ES414	1	22000
ES415	1	22000
ES416	1	22000
ES417	1	22000
ES418	1	22000
ES419	1	22000
ES421	1	22000
ES422	1	22000
ES423	1	22000
ES424	1	22000
ES425	1	22000
ES431	1	22000
ES432	1	22000
ES511	1	22000
ES512	1	22000
ES513	1	22000
ES514	1	22000
ES521	1	22000
ES522	1	22000
ES523	1	22000
ES532	1	22000
ES611	1	22000
ES612	1	22000
ES613	1	22000
ES614	1	22000
ES615	1	22000
ES616	1	22000
ES617	1	22000
ES618	1	22000
ES620	1	22000
