Node,StorageType,Period,PWInstalledCap_MW,ENInstalledCap_MWh
France,HydroPumpStorage,1,5049.000003646247,184296.0000134349
France,HydroPumpStorage,2,5049.0000038872095,184296.000021572
France,HydroPumpStorage,3,5420.469675916445,184296.00002365155
France,HydroPumpStorage,4,5420.469687638944,184296.0000243369
France,HydroPumpStorage,5,5420.469694960363,184296.0000251938
France,HydroPumpStorage,6,5420.469715330885,184296.0000267544
France,HydroPumpStorage,7,5420.469726413093,184296.0000302393
France,Li-Ion_BESS,1,0.0007714553456263,0.0015429106912527
France,Li-Ion_BESS,2,0.0577977776896554,0.1155955553793108
France,Li-Ion_BESS,3,0.0578020777342417,0.1156041554684835
France,Li-Ion_BESS,4,449.01964017411575,898.0392803482315
France,Li-Ion_BESS,5,3970.481867783987,7940.963735567974
France,Li-Ion_BESS,6,12372.369162945171,24744.738325890343
France,Li-Ion_BESS,7,12372.369173505484,24744.738347010967
Portugal,HydroPumpStorage,1,2827.0000096607955,107254.0800072524
Portugal,HydroPumpStorage,2,2827.0000147447718,107254.08000747269
Portugal,HydroPumpStorage,3,2827.000021387495,107254.08000776464
Portugal,HydroPumpStorage,4,2827.000021542932,107254.0800082407
Portugal,HydroPumpStorage,5,2827.0000331126303,107254.08000905112
Portugal,HydroPumpStorage,6,3433.14882711787,107254.08001057529
Portugal,HydroPumpStorage,7,3433.1488302900293,107254.0800140885
Portugal,Li-Ion_BESS,1,0.0007837333619494,0.0015674667238988
Portugal,Li-Ion_BESS,2,0.0043704703396811,0.0087409406793623
Portugal,Li-Ion_BESS,3,0.0100548914955646,0.0201097829911293
Portugal,Li-Ion_BESS,4,0.0313874283437098,0.0627748566874196
Portugal,Li-Ion_BESS,5,2318.773271316261,4637.546542632522
Portugal,Li-Ion_BESS,6,5509.5690674883335,11019.138134976669
Portugal,Li-Ion_BESS,7,5509.563396268147,11019.126792536294
Spain,HydroPumpStorage,1,5693.00000002621,1530150.9100975755
Spain,HydroPumpStorage,2,5693.000020077365,1530150.9100977066
Spain,HydroPumpStorage,3,5693.000106345899,1530150.9101576563
Spain,HydroPumpStorage,4,5693.000107041415,1530150.9101811757
Spain,HydroPumpStorage,5,7438.199831518404,1530150.9102480144
Spain,HydroPumpStorage,6,8539.49952404171,1530150.9103342062
Spain,HydroPumpStorage,7,8539.4995238768,1530150.9104494725
Spain,Li-Ion_BESS,1,0.0007842556379682,0.0015685112759365
Spain,Li-Ion_BESS,2,0.0045768175180025,0.0091536350360051
Spain,Li-Ion_BESS,3,7475.284952106517,14950.569904213036
Spain,Li-Ion_BESS,4,16813.63016139164,33627.26032278328
Spain,Li-Ion_BESS,5,36336.41002749475,72672.8200549895
Spain,Li-Ion_BESS,6,84635.63792474978,169271.27584949957
Spain,Li-Ion_BESS,7,77160.35760414199,154320.71520828395
EU,HydroPumpStorage,1,44995.00006330667,779464.5701428053
EU,HydroPumpStorage,2,46887.68646633094,794228.6614293163
EU,HydroPumpStorage,3,48839.86859355206,797438.8250381002
EU,HydroPumpStorage,4,48839.86865865771,797438.8251377873
EU,HydroPumpStorage,5,48918.510795613096,799159.3904855367
EU,HydroPumpStorage,6,50138.85271272639,806115.4550378768
EU,HydroPumpStorage,7,50138.85281505492,806115.4551935376
EU,Li-Ion_BESS,1,0.0257160227643431,0.0514320455286876
EU,Li-Ion_BESS,2,35549.773152863396,71099.54630572678
EU,Li-Ion_BESS,3,36062.45644818707,72124.91289637412
EU,Li-Ion_BESS,4,75161.03757107188,150322.07514214376
EU,Li-Ion_BESS,5,126733.26263732843,253466.52527465686
EU,Li-Ion_BESS,6,375175.1581536493,750350.3163072986
EU,Li-Ion_BESS,7,394059.51607051014,788119.0321410203
