Node	Generator	Period	genInstalledCap
ES111	Bio	1	143.50900002749108
ES111	Bio	2	120.47125492193521
ES111	BioCCS	1	4.114634650581671e-06
ES111	BioCCS	2	7.352661249460548e-06
ES111	Coal	1	816.762
ES111	Coal	2	646.9291877338073
ES111	CoalCCS	1	0.0
ES111	CoalCCS	2	1.1293365821418004e-09
ES111	GasCCGT	1	1129.2600000002662
ES111	GasCCGT	2	946.032018100631
ES111	GasCCS	1	3.376494923968575e-07
ES111	GasCCS	2	3.361798128802607e-07
ES111	GasOCGT	1	214.06000005865005
ES111	GasOCGT	2	183.20732188127838
ES111	Hydroregulated	1	334.09400002798
ES111	Hydroregulated	2	334.0940000505564
ES111	Hydrorun-of-the-river	1	0.0
ES111	Hydrorun-of-the-river	2	0.0
ES111	Lignite	1	9.471807481200195e-07
ES111	Lignite	2	1.2096304721107324e-06
ES111	Oil	1	249.09700000005148
ES111	Oil	2	196.3618116580121
ES111	Solar	1	0.0
ES111	Solar	2	0.0
ES111	Waste	1	110.7300003700379
ES111	Waste	2	110.73000040118416
ES111	Windonshore	1	3203.648999901582
ES111	Windonshore	2	3203.6489999061637
ES112	BioCCS	1	7.1951477091365156e-06
ES112	BioCCS	2	1.292365786639102e-05
ES112	CoalCCS	1	0.0
ES112	CoalCCS	2	0.0
ES112	GasCCS	1	3.391078455812798e-07
ES112	GasCCS	2	3.376254850936002e-07
ES112	GasOCGT	1	98.8790000094259
ES112	GasOCGT	2	84.62747258245547
ES112	Hydroregulated	1	461.2390000309927
ES112	Hydroregulated	2	461.23900010210815
ES112	Hydrorun-of-the-river	1	7.65099987074713
ES112	Hydrorun-of-the-river	2	7.650999950645704
ES112	Lignite	1	9.521911837416242e-07
ES112	Lignite	2	1.21191079655414e-06
ES112	Solar	1	1.43800003487083
ES112	Solar	2	1.385322547781823
ES112	Waste	1	1.2592207749415185e-05
ES112	Waste	2	1.266115667927237e-05
ES112	Windonshore	1	3509.2004148547385
ES112	Windonshore	2	4127.609999618618
ES113	BioCCS	1	5.520198325072526e-06
ES113	BioCCS	2	9.701615736029803e-06
ES113	CoalCCS	1	0.0
ES113	CoalCCS	2	0.0
ES113	GasCCS	1	3.3761577868511165e-07
ES113	GasCCS	2	3.3612733718309163e-07
ES113	GasOCGT	1	145.07000002698018
ES113	GasOCGT	2	124.16091836060323
ES113	Hydroregulated	1	2625.4110000002333
ES113	Hydroregulated	2	2625.4110000010674
ES113	Hydrorun-of-the-river	1	506.9370000302297
ES113	Hydrorun-of-the-river	2	506.9370000302503
ES113	Lignite	1	9.501315003296248e-07
ES113	Lignite	2	1.2109135880264084e-06
ES113	Solar	1	0.0
ES113	Solar	2	0.0
ES113	Waste	1	9.307447158264391e-06
ES113	Waste	2	9.5884739011513e-06
ES113	Windonshore	1	526.555
ES113	Windonshore	2	421.5036773874219
ES114	BioCCS	1	7.836859284523541e-06
ES114	BioCCS	2	3.3498803749286226e-05
ES114	CoalCCS	1	0.0
ES114	CoalCCS	2	0.0
ES114	GasCCS	1	3.3968891350717423e-07
ES114	GasCCS	2	3.382139925033486e-07
ES114	GasOCGT	1	28.117000000070053
ES114	GasOCGT	2	24.064469158761337
ES114	Lignite	1	9.525227406882972e-07
ES114	Lignite	2	1.212705437061896e-06
ES114	Solar	1	8.630000286391901
ES114	Solar	2	8.313862072918337
ES114	Waste	1	1.5479655839650747e-05
ES114	Waste	2	1.9071854262467897e-05
ES114	Windonshore	1	519.6140000151868
ES114	Windonshore	2	415.94745450741914
ES120	Bio	1	110.5020000113206
ES120	Bio	2	92.7629250641572
ES120	BioCCS	1	38.19916568703696
ES120	BioCCS	2	39.92701044769617
ES120	Coal	1	1462.394
ES120	Coal	2	1158.3121675186264
ES120	CoalCCS	1	0.0
ES120	CoalCCS	2	1.4743330744038248e-09
ES120	GasCCGT	1	779.4740000002787
ES120	GasCCGT	2	653.0005147394269
ES120	GasCCS	1	3.4056635610512537e-07
ES120	GasCCS	2	3.390648511169302e-07
ES120	GasOCGT	1	162.93200003399303
ES120	GasOCGT	2	139.4484507358559
ES120	Hydroregulated	1	328.6840000002379
ES120	Hydroregulated	2	328.68400003120155
ES120	Hydrorun-of-the-river	1	0.0
ES120	Hydrorun-of-the-river	2	0.0
ES120	Lignite	1	9.569384148136595e-07
ES120	Lignite	2	1.2143257532851317e-06
ES120	Solar	1	2.602652617011743e-05
ES120	Solar	2	2.6082952468603197e-05
ES120	Waste	1	149.09975072338645
ES120	Waste	2	149.09975073440862
ES120	Windonshore	1	587.045
ES120	Windonshore	2	469.9255088646134
ES130	BioCCS	1	1.0456388508982692e-05
ES130	BioCCS	2	1.0521947938079603e-05
ES130	CoalCCS	1	0.0
ES130	CoalCCS	2	0.0
ES130	GasCCGT	1	35.511000017253146
ES130	GasCCGT	2	29.749165848086452
ES130	GasCCS	1	3.391182539637955e-07
ES130	GasCCS	2	3.376241438954597e-07
ES130	GasOCGT	1	30.09500000463721
ES130	GasOCGT	2	25.757378079814412
ES130	Lignite	1	9.540421311137137e-07
ES130	Lignite	2	1.212512860417549e-06
ES130	Oil	1	236.64200000005115
ES130	Oil	2	186.54360283118305
ES130	Solar	1	37.90200004377099
ES130	Solar	2	36.51355615293096
ES130	Waste	1	1.4005700597742362e-05
ES130	Waste	2	1.401774393747161e-05
ES130	Windonshore	1	401.6100000600406
ES130	Windonshore	2	321.48605930096664
ES211	BioCCS	1	7.3901230766070355e-06
ES211	BioCCS	2	7.419577279579973e-06
ES211	CoalCCS	1	0.0
ES211	CoalCCS	2	0.0
ES211	GasCCGT	1	41.72600001324771
ES211	GasCCGT	2	34.955751565309384
ES211	GasCCS	1	3.3835821057961267e-07
ES211	GasCCS	2	3.3686580007772696e-07
ES211	GasOCGT	1	16.81200000920952
ES211	GasOCGT	2	14.388869925848107
ES211	Lignite	1	9.525919246796741e-07
ES211	Lignite	2	1.2116867816965935e-06
ES211	Solar	1	1.0790000204867303
ES211	Solar	2	1.039473582415667
ES211	Waste	1	1.001045582443098e-05
ES211	Waste	2	1.0019340279423627e-05
ES211	Windonshore	1	269.72300009703406
ES211	Windonshore	2	215.91141758677895
ES212	BioCCS	1	5.785743475928125e-06
ES212	BioCCS	2	5.825610812644483e-06
ES212	CoalCCS	1	0.0
ES212	CoalCCS	2	0.0
ES212	GasCCGT	1	44.389000040944524
ES212	GasCCGT	2	37.18666676108697
ES212	GasCCS	1	3.37620071413619e-07
ES212	GasCCS	2	3.361244717567084e-07
ES212	GasOCGT	1	3.620000005258357
ES212	GasOCGT	2	3.0982458490009526
ES212	Lignite	1	9.50503588486888e-07
ES212	Lignite	2	1.211453217110222e-06
ES212	Solar	1	0.0
ES212	Solar	2	0.0
ES212	Waste	1	7.742520818293638e-06
ES212	Waste	2	7.751907073143933e-06
ES212	Windonshore	1	18.841000053016074
ES212	Windonshore	2	15.082091958443607
ES213	Bio	1	81.80000001780549
ES213	Bio	2	68.66850618819146
ES213	BioCCS	1	7.018118841463994e-06
ES213	BioCCS	2	7.053101171693734e-06
ES213	CoalCCS	1	0.0
ES213	CoalCCS	2	0.0
ES213	GasCCGT	1	1746.2700000002699
ES213	GasCCGT	2	1462.9291148575194
ES213	GasCCS	1	3.3827847847026784e-07
ES213	GasCCS	2	3.367824068973196e-07
ES213	GasOCGT	1	116.2970000234282
ES213	GasOCGT	2	99.53499913410583
ES213	Hydroregulated	1	171.78100000972992
ES213	Hydroregulated	2	202.78603016982007
ES213	Hydrorun-of-the-river	1	0.0
ES213	Hydrorun-of-the-river	2	0.0
ES213	Lignite	1	9.519337744233516e-07
ES213	Lignite	2	1.2118545723984538e-06
ES213	Solar	1	0.0
ES213	Solar	2	0.0
ES213	Waste	1	63.11600056667212
ES213	Waste	2	63.11600132841642
ES213	Windonshore	1	45.615000053390894
ES213	Windonshore	2	97.21299956624098
ES220	Bio	1	43.05300001617533
ES220	Bio	2	36.141628318642454
ES220	BioCCS	1	4.263755395835326e-06
ES220	BioCCS	2	4.702088840937752e-06
ES220	CoalCCS	1	0.0
ES220	CoalCCS	2	0.0
ES220	GasCCGT	1	1781.7810000002664
ES220	GasCCGT	2	1492.678280677654
ES220	GasCCS	1	3.3687305077062213e-07
ES220	GasCCS	2	3.353964094810159e-07
ES220	GasOCGT	1	186.3330000209924
ES220	GasOCGT	2	159.47664160990436
ES220	Lignite	1	9.474078599312745e-07
ES220	Lignite	2	1.209731779835024e-06
ES220	Solar	1	125.78800001639075
ES220	Solar	2	121.18007490040631
ES220	Waste	1	33.21900005711853
ES220	Waste	2	33.21900067940339
ES220	Windonshore	1	1720.887999303309
ES220	Windonshore	2	1720.887999245022
ES230	BioCCS	1	7.112559309131577e-06
ES230	BioCCS	2	7.188711092415182e-06
ES230	CoalCCS	1	0.0
ES230	CoalCCS	2	0.0
ES230	GasCCGT	1	18.64300000473404
ES230	GasCCGT	2	15.618081687342737
ES230	GasCCS	1	3.3839985568348287e-07
ES230	GasCCS	2	3.3691269979333663e-07
ES230	GasOCGT	1	26.459000000394333
ES230	GasOCGT	2	22.645438335671706
ES230	Hydrorun-of-the-river	1	7.001999932158487
ES230	Hydrorun-of-the-river	2	7.001999941654571
ES230	Lignite	1	9.519021220074969e-07
ES230	Lignite	2	1.2117436481871313e-06
ES230	Solar	1	49.40900001742128
ES230	Solar	2	47.59902633053578
ES230	Waste	1	9.710676977807319e-06
ES230	Waste	2	9.722946039082885e-06
ES230	Windonshore	1	408.55100011628866
ES230	Windonshore	2	327.04228245538235
ES241	BioCCS	1	3.1452524220653166e-06
ES241	BioCCS	2	4.305360011563494e-06
ES241	CoalCCS	1	0.0
ES241	CoalCCS	2	0.0
ES241	GasCCS	1	3.3570691193364873e-07
ES241	GasCCS	2	3.34231984666742e-07
ES241	GasOCGT	1	38.18000001270235
ES241	GasOCGT	2	32.6770790837179
ES241	Hydroregulated	1	179.8970000711688
ES241	Hydroregulated	2	179.89700007085932
ES241	Hydrorun-of-the-river	1	313.7310000133223
ES241	Hydrorun-of-the-river	2	313.7310000197209
ES241	Lignite	1	9.432985823531686e-07
ES241	Lignite	2	1.2089058227415108e-06
ES241	Solar	1	77.81700047827447
ES241	Solar	2	645.7511806520778
ES241	Waste	1	4.824117530387491e-06
ES241	Waste	2	5.0519836772214416e-06
ES241	Windonshore	1	1890.6362062116814
ES241	Windonshore	2	3459.798733331237
ES242	BioCCS	1	3.5064802440145547e-06
ES242	BioCCS	2	6.112155113486751e-06
ES242	CoalCCS	1	0.0
ES242	CoalCCS	2	0.0
ES242	GasCCGT	1	22.195000004639102
ES242	GasCCGT	2	18.593752259990783
ES242	GasCCS	1	3.3677149409132427e-07
ES242	GasCCS	2	3.352949436848816e-07
ES242	GasOCGT	1	81.00400002907202
ES242	GasOCGT	2	69.32881392435706
ES242	Lignite	1	9.452300839278965e-07
ES242	Lignite	2	1.2096748844246652e-06
ES242	Solar	1	1773.7529904931653
ES242	Solar	2	1753.0923871514958
ES242	Waste	1	5.494341294947965e-06
ES242	Waste	2	6.787510422813132e-06
ES242	Windonshore	1	728.848000104539
ES242	Windonshore	2	583.437841271138
ES243	BioCCS	1	3.3904361777625685e-06
ES243	BioCCS	2	5.0007168659330524e-06
ES243	CoalCCS	1	0.0
ES243	CoalCCS	2	0.0
ES243	GasCCGT	1	1805.7510000002649
ES243	GasCCGT	2	1512.759030437494
ES243	GasCCS	1	3.3640446323526887e-07
ES243	GasCCS	2	3.34934807811406e-07
ES243	GasOCGT	1	430.0850000203974
ES243	GasOCGT	2	368.09642623945643
ES243	Hydroregulated	1	660.0720000135484
ES243	Hydroregulated	2	660.0720000222452
ES243	Hydrorun-of-the-river	1	21.07200000527987
ES243	Hydrorun-of-the-river	2	31.640999884738598
ES243	Lignite	1	9.442898534271296e-07
ES243	Lignite	2	1.2092015350390242e-06
ES243	Solar	1	968.7620001558562
ES243	Solar	2	933.2738543987577
ES243	Waste	1	5.26066947182546e-06
ES243	Waste	2	5.716622745431134e-06
ES243	Windonshore	1	9217.014997571645
ES243	Windonshore	2	9217.014997897348
