Period,Scenario,AnnualCO2emission_Ton,CO2Price_EuroPerTon,CO2Cap_Ton,AnnualGeneration_GWh,AvgCO2factor_TonPerMWh,AvgELPrice_EuroPerMWh,TotAnnualCurtailedRES_GWh,TotAnnualLossesChargeDischarge_GWh,AnnualLossesTransmission_GWh
2020-2025,scenario1,335964561.56582206,-21.096271993806383,335964561.552122,3465136.8956308668,0.09695563889248088,35.11469727162309,13597.394935919878,19950.488463472775,12373.568120296046
2020-2025,scenario2,335964561.56291395,-11.430157147290771,335964561.552122,3383536.2641205327,0.09929391480904644,25.409536282658863,18755.693533284524,21804.885815319423,13646.184216045052
2020-2025,scenario3,335964561.56400687,-29.196001726136885,335964561.552122,3379820.4590565534,0.09940307943392179,38.846317671287196,10230.79960731288,20997.401775541675,12965.24781292934
2020-2025,scenario4,335964561.56564885,-17.471898071207093,335964561.552122,3381649.233574097,0.09934932287775156,29.952535197277946,12540.523921931916,17119.118190272784,14389.185506357062
2020-2025,scenario5,335964561.6185151,-34.45224668014867,335964561.552122,3355438.398274706,0.10012538504395128,40.46466101666735,12178.09612007661,18155.317285259036,12138.912898121082
2020-2025,scenario6,335964561.56519026,-11.430157082803076,335964561.552122,3387661.5913062654,0.09917299957804948,31.114319762137338,17873.23046051701,20265.456870982813,11524.554422507192
2020-2025,scenario7,335964561.56355894,-23.9339805896044,335964561.552122,3492292.073465874,0.09620173642296591,37.8498104804718,8937.502442123283,17940.437400412255,11594.125585840084
2020-2025,scenario8,335964561.5366851,-322.8944777945991,335964561.552122,3509820.9636801966,0.09572128180134201,173.90519191073003,9073.683161667639,26006.456654030535,13609.961426101745
2020-2025,scenario9,335964561.56517804,-11.430157088860454,335964561.552122,3357991.440380736,0.10004926085430535,34.97936245292968,16449.087363409773,19345.37667641517,11081.631898475676
2020-2025,scenario10,335964561.56532055,-15.068642625411302,335964561.552122,3253961.7658931175,0.1032478516148445,27.592267741633087,19855.82733292634,17708.464396940715,13508.03801164236
2025-2030,scenario1,107613503.48237324,-26.54914973354643,107613503.468461,3727459.9250482838,0.028870465584142385,26.63010822437943,18655.420368766234,28485.615022539605,17718.490947951414
2025-2030,scenario2,107613503.47992498,-9.643453003709025,107613503.468461,3677216.5623169583,0.029264934946370186,38.735884360626926,24470.771698387525,29151.22790105418,18871.82069459956
2025-2030,scenario3,107613503.48020062,-28.29074016819216,107613503.468461,3861844.8288310184,0.027865827926797784,25.261896959842304,18583.949709709952,25163.152605030296,18922.61892670934
2025-2030,scenario4,107613503.48017615,-28.290740124448295,107613503.468461,3826321.0311098387,0.028124535972079423,29.59206509650185,14575.559868610078,25894.877557354986,17415.80937255947
2025-2030,scenario5,107613503.4804792,-346.0496224352187,107613503.468461,3929589.804520386,0.02738542922640078,185.60502328593194,9123.020501563406,28407.918552913135,18323.542169262033
2025-2030,scenario6,107613503.4802319,-28.29074017897173,107613503.468461,3938168.6011100383,0.02732577357147632,25.25540976946688,20031.905120283045,20174.163929845305,19561.843128020722
2025-2030,scenario7,107613503.48242854,-28.29074013448995,107613503.468461,3656709.5008196947,0.029429054579891298,26.926733939109283,25228.505854114403,29165.189778244534,18620.75975817432
2025-2030,scenario8,107613503.48022653,-28.29074016133191,107613503.468461,3851752.2764213555,0.027938843351631343,25.130482042482594,36220.72072475792,24757.944953440245,17465.429769188406
2025-2030,scenario9,107613503.48019919,-28.290740180272685,107613503.468461,3872284.362100153,0.02779070270082929,26.072942412979405,20486.777335157236,19632.39700394991,18032.247976758394
2025-2030,scenario10,107613503.4801894,-28.290740174252665,107613503.468461,3646328.9010686316,0.02951283507328408,29.13926431274105,23508.31850417342,24350.83004685351,18216.093182755307
""
GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,TotDiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
Lignite,2020-2025,0.005261612896453597,52316.565261612894,6338.460737626562,1778.2915987496763
Lignite,2025-2030,0.0009058190093196371,32369.456894352053,471.3144700466716,162.81775210496457
LigniteCCS,2020-2025,2.7120143765953702e-05,2.7120143765953702e-05,71.40848050440961,0.00010075247258961263
LigniteCCS,2025-2030,5.941132265895621e-06,3.299340141507482e-05,7.440022988693931,0.0001179982520027792
Coal,2020-2025,0.0,61704.909999999996,0.0,24742.197115164956
Coal,2025-2030,6.164063908004419e-08,48874.34443034891,0.028851149526868097,2799.1813310945054
CoalCCS,2020-2025,0.0,0.0,0.0,0.0
CoalCCS,2025-2030,9.902685323906449e-07,8.545185351903376e-07,1.1119699582632356,6.356483125909535e-06
GasOCGT,2020-2025,5.151883860412663e-05,42023.587051518836,39.494715446961905,2586.1504519364485
GasOCGT,2025-2030,9.532193568520299e-05,35966.68624209279,31.55706870482068,1252.1667875266526
GasCCGT,2020-2025,4.148839404052501e-05,184781.34404148837,41.77189534552889,450766.3772381524
GasCCGT,2025-2030,8.754731108543705e-05,154799.6634186084,37.614965287628905,270239.21081908734
GasCCS,2020-2025,0.001592398406509642,0.001592398406509642,3202.462489057545,0.005639468220948463
GasCCS,2025-2030,1.3401829368415156e-06,0.0015857040658918949,1.215568067523175,0.005589274901868572
Oil,2020-2025,3.3179530814195836e-05,14774.30903317953,166.22385520840413,0.0005689984393513305
Oil,2025-2030,4.7653462637238034e-05,11646.507590334726,104.84797112930028,12.492012279490195
Nuclear,2020-2025,0.00025604026524193087,103746.80025604025,900.1593553905569,689630.0106664869
Nuclear,2025-2030,2490.000136545083,95494.48546254648,3823608100.9899836,559212.9824164765
Wave,2020-2025,0.00026246262454298735,251.09026246262457,454.05076476123907,1011.7904848073202
Wave,2025-2030,2055.9997330168385,2307.0899950722064,1239400774.9517682,9296.638715170244
Geo,2020-2025,1088.2999913257836,2042.0999913257835,1925097879.5325577,15887.681442921375
Geo,2025-2030,1.671700851246023e-07,2042.0999912216078,0.1281264927426376,15961.851571795125
Hydroregulated,2020-2025,2.401321475531404e-05,96552.03902401321,26.564008932513264,224116.59186315056
Hydroregulated,2025-2030,31.270167560058034,96583.30918885823,15196638.776882488,224070.97654468362
Hydrorun-of-the-river,2020-2025,14776.609561827956,74401.36856182796,12131522284.963913,289863.8394595952
Hydrorun-of-the-river,2025-2030,31.23079264713895,74432.59935094559,11088091.952441672,294168.0305476605
Bio,2020-2025,1.8381421279105465e-05,32864.97001838141,23.029891042781706,53394.2095939898
Bio,2025-2030,58840.00238704592,86429.10257680416,30389318324.95868,161159.66760557957
Windonshore,2020-2025,216460.4110926982,433883.58109269815,165997732515.72202,908741.780775944
Windonshore,2025-2030,37224.331806572765,427730.5039125805,12269140669.586905,884582.9380709762
Windoffshoregrounded,2020-2025,6.78597457408614e-05,45085.900067859744,85.04552215129117,143148.16775133487
Windoffshoregrounded,2025-2030,136369.44049139603,181455.3405584412,65187331340.46915,562645.701500164
Windoffshorefloating,2020-2025,0.00025301268742809486,0.00025301268742809486,583.4563435857498,0.0006314322937195912
Windoffshorefloating,2025-2030,0.00015238920202986653,0.0004045873767548751,137.10661115720035,0.0009957141095550284
Solar,2020-2025,220597.43700310527,436751.5960031053,73136104643.7847,521789.9156434393
Solar,2025-2030,146073.6191220381,574906.9541058202,19428619725.89268,711654.3748670929
BioCCS,2020-2025,2251.8833485095397,2251.8833485095397,2389898560.1304455,15433.839201213255
BioCCS,2025-2030,5915.230813241025,8167.114146239107,-382853631.08694386,61242.24492389934
Waste,2020-2025,297.84901263630957,7129.16801263631,519669689.96872056,53840.058310797525
Waste,2025-2030,0.0019274619427885025,7129.169933582185,1414.460934733519,40306.29715959006
""
