Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh
ES111,Hydrorun-of-the-river,2020-2025,0.0
ES111,Hydrorun-of-the-river,2025-2030,0.0
ES112,Hydrorun-of-the-river,2020-2025,4.170061586633344
ES112,Hydrorun-of-the-river,2025-2030,4.009130153861581
ES113,Hydrorun-of-the-river,2020-2025,1635.0513565621775
ES113,Hydrorun-of-the-river,2025-2030,1643.278295164225
ES120,Hydrorun-of-the-river,2020-2025,0.0
ES120,Hydrorun-of-the-river,2025-2030,0.0
ES213,Hydrorun-of-the-river,2020-2025,0.0
ES213,Hydrorun-of-the-river,2025-2030,0.0
ES230,Hydrorun-of-the-river,2020-2025,0.0014892335473670598
ES230,Hydrorun-of-the-river,2025-2030,0.0026718505339633565
ES241,Hydrorun-of-the-river,2020-2025,657.3058274936072
ES241,Hydrorun-of-the-river,2025-2030,656.3359936030457
ES243,Hydrorun-of-the-river,2020-2025,35.89062460873655
ES243,Hydrorun-of-the-river,2025-2030,47.51483671042248
ES413,Hydrorun-of-the-river,2020-2025,75.9155033424865
ES413,Hydrorun-of-the-river,2025-2030,133.51406067750926
ES415,Hydrorun-of-the-river,2020-2025,0.0
ES415,Hydrorun-of-the-river,2025-2030,0.0
ES418,Hydrorun-of-the-river,2020-2025,0.0014563037365092188
ES418,Hydrorun-of-the-river,2025-2030,0.0027027968034399213
ES419,Hydrorun-of-the-river,2020-2025,0.0
ES419,Hydrorun-of-the-river,2025-2030,0.0
ES425,Hydrorun-of-the-river,2020-2025,0.0
ES425,Hydrorun-of-the-river,2025-2030,0.0
ES431,Hydrorun-of-the-river,2020-2025,0.0
ES431,Hydrorun-of-the-river,2025-2030,0.0
ES432,Hydrorun-of-the-river,2020-2025,0.0
ES432,Hydrorun-of-the-river,2025-2030,0.0
ES511,Hydrorun-of-the-river,2020-2025,0.001432555932480542
ES511,Hydrorun-of-the-river,2025-2030,0.0021757408225227376
ES512,Hydrorun-of-the-river,2020-2025,0.0012946372725615711
ES512,Hydrorun-of-the-river,2025-2030,0.0019684204610297467
ES513,Hydrorun-of-the-river,2020-2025,5.383793874996496
ES513,Hydrorun-of-the-river,2025-2030,5.19527293641321
ES514,Hydrorun-of-the-river,2020-2025,0.0
ES514,Hydrorun-of-the-river,2025-2030,0.0
ES523,Hydrorun-of-the-river,2020-2025,0.0
ES523,Hydrorun-of-the-river,2025-2030,0.0
ES613,Hydrorun-of-the-river,2020-2025,0.0017654947821277842
ES613,Hydrorun-of-the-river,2025-2030,0.0034497060980203877
ES614,Hydrorun-of-the-river,2020-2025,0.0021135796156948137
ES614,Hydrorun-of-the-river,2025-2030,0.004052518543931139
ES615,Hydrorun-of-the-river,2020-2025,0.0016762752470394521
ES615,Hydrorun-of-the-river,2025-2030,0.0032329144626803753
ES616,Hydrorun-of-the-river,2020-2025,0.0021010689268910754
ES616,Hydrorun-of-the-river,2025-2030,0.003915218450095727
ES617,Hydrorun-of-the-river,2020-2025,0.001970157750797477
ES617,Hydrorun-of-the-river,2025-2030,0.0038423032664858673
ES618,Hydrorun-of-the-river,2020-2025,0.0020318746883938076
ES618,Hydrorun-of-the-river,2025-2030,0.003930287390455583
EU,Hydrorun-of-the-river,2020-2025,0.0017447486167017285
EU,Hydrorun-of-the-river,2025-2030,0.004591222016427672
France,Hydrorun-of-the-river,2020-2025,0.0004918297919518845
France,Hydrorun-of-the-river,2025-2030,0.0011894253787551182
Italy,Hydrorun-of-the-river,2020-2025,5137.587687188832
Italy,Hydrorun-of-the-river,2025-2030,7295.799860743088
Portugal,Hydrorun-of-the-river,2020-2025,0.0021710732267671163
Portugal,Hydrorun-of-the-river,2025-2030,0.0041512777042143284
ES111,Windonshore,2020-2025,241.55636675093808
ES111,Windonshore,2025-2030,450.2669019433447
ES112,Windonshore,2020-2025,101.62691736428069
ES112,Windonshore,2025-2030,144.04048071386129
ES113,Windonshore,2020-2025,8.451420179996619
ES113,Windonshore,2025-2030,19.72898039018255
ES114,Windonshore,2020-2025,3.7720540788184005
ES114,Windonshore,2025-2030,18.50847333963546
ES120,Windonshore,2020-2025,0.037845056544150296
ES120,Windonshore,2025-2030,0.07852587361631631
ES130,Windonshore,2020-2025,0.04217817469888377
ES130,Windonshore,2025-2030,0.06909761421271984
ES211,Windonshore,2020-2025,0.04310573694732817
ES211,Windonshore,2025-2030,0.06716840918836954
ES212,Windonshore,2020-2025,0.013223672611632445
ES212,Windonshore,2025-2030,0.02425408220414226
ES213,Windonshore,2020-2025,0.0202351562406175
ES213,Windonshore,2025-2030,0.024013863255031263
ES220,Windonshore,2020-2025,0.05419580982163175
ES220,Windonshore,2025-2030,0.13872697977481432
ES230,Windonshore,2020-2025,1.1997357690487718
ES230,Windonshore,2025-2030,0.041719202955878776
