Node	Storage	Period	storENInstalledCap
ES111	HydroPumpStorage	1	0.0
ES111	HydroPumpStorage	2	0.0
ES111	HydroPumpStorage	3	0.0
ES111	Li-Ion_BESS	1	0.001570376797148848
ES111	Li-Ion_BESS	2	0.008866292757182337
ES111	Li-Ion_BESS	3	0.035094911116044236
ES112	HydroPumpStorage	1	0.0
ES112	HydroPumpStorage	2	0.0
ES112	HydroPumpStorage	3	0.0
ES112	Li-Ion_BESS	1	0.0014187985042823867
ES112	Li-Ion_BESS	2	0.007413775515650683
ES112	Li-Ion_BESS	3	0.06731839488565619
ES113	HydroPumpStorage	1	61011.399000178484
ES113	HydroPumpStorage	2	61011.399000436584
ES113	HydroPumpStorage	3	61011.39900106262
ES113	Li-Ion_BESS	1	0.0014361339815192411
ES113	Li-Ion_BESS	2	0.008001774095099948
ES113	Li-Ion_BESS	3	0.0365933486967279
ES114	HydroPumpStorage	1	0.0
ES114	HydroPumpStorage	2	0.0
ES114	HydroPumpStorage	3	0.0
ES114	Li-Ion_BESS	1	0.0013965357031683863
ES114	Li-Ion_BESS	2	0.008330857496500227
ES114	Li-Ion_BESS	3	0.06691697224356032
ES120	HydroPumpStorage	1	34997.33600048747
ES120	HydroPumpStorage	2	34997.33600077104
ES120	HydroPumpStorage	3	34997.336001407995
ES120	Li-Ion_BESS	1	0.0014240222734278132
ES120	Li-Ion_BESS	2	0.008106801773596267
ES120	Li-Ion_BESS	3	724.6582366348
ES130	HydroPumpStorage	1	102184.73500026825
ES130	HydroPumpStorage	2	102184.7350005263
ES130	HydroPumpStorage	3	102184.7350011468
ES130	Li-Ion_BESS	1	0.0014173461382044029
ES130	Li-Ion_BESS	2	0.007654285466932113
ES130	Li-Ion_BESS	3	0.21487719842094088
ES211	HydroPumpStorage	1	0.0
ES211	HydroPumpStorage	2	0.0
ES211	HydroPumpStorage	3	0.0
ES211	Li-Ion_BESS	1	0.0014282381412802977
ES211	Li-Ion_BESS	2	0.007529175477960533
ES211	Li-Ion_BESS	3	476.8919362819515
ES212	HydroPumpStorage	1	0.0
ES212	HydroPumpStorage	2	0.0
ES212	HydroPumpStorage	3	0.0
ES212	Li-Ion_BESS	1	0.00143792844414975
ES212	Li-Ion_BESS	2	0.007482223943844098
ES212	Li-Ion_BESS	3	17.754991603086964
ES213	HydroPumpStorage	1	0.0
ES213	HydroPumpStorage	2	0.0
ES213	HydroPumpStorage	3	0.0
ES213	Li-Ion_BESS	1	0.0014296694425429822
ES213	Li-Ion_BESS	2	0.007573859434786926
ES213	Li-Ion_BESS	3	0.29881617571664515
ES220	HydroPumpStorage	1	0.0
ES220	HydroPumpStorage	2	0.0
ES220	HydroPumpStorage	3	0.0
ES220	Li-Ion_BESS	1	0.0014349723228033442
ES220	Li-Ion_BESS	2	0.007690456522387145
ES220	Li-Ion_BESS	3	0.6347980497242071
ES230	HydroPumpStorage	1	0.0
ES230	HydroPumpStorage	2	0.0
ES230	HydroPumpStorage	3	0.0
ES230	Li-Ion_BESS	1	0.0014345169519138438
ES230	Li-Ion_BESS	2	0.008168902180280706
ES230	Li-Ion_BESS	3	1109.4708195759572
ES241	HydroPumpStorage	1	0.0
ES241	HydroPumpStorage	2	0.0
ES241	HydroPumpStorage	3	0.0
ES241	Li-Ion_BESS	1	0.001432016311133167
ES241	Li-Ion_BESS	2	0.008396043329120018
ES241	Li-Ion_BESS	3	738.1044340521408
ES242	HydroPumpStorage	1	0.0
ES242	HydroPumpStorage	2	0.0
ES242	HydroPumpStorage	3	0.0
ES242	Li-Ion_BESS	1	0.001422277832568099
ES242	Li-Ion_BESS	2	0.00812681185677532
ES242	Li-Ion_BESS	3	437.34010592348613
ES243	HydroPumpStorage	1	0.0
ES243	HydroPumpStorage	2	0.0
ES243	HydroPumpStorage	3	0.0
ES243	Li-Ion_BESS	1	0.0014263411348660992
ES243	Li-Ion_BESS	2	0.007925723897645141
ES243	Li-Ion_BESS	3	204.07640352534273
ES300	HydroPumpStorage	1	0.0
ES300	HydroPumpStorage	2	0.0
ES300	HydroPumpStorage	3	0.0
ES300	Li-Ion_BESS	1	0.0014299072300688583
ES300	Li-Ion_BESS	2	0.009084261929111118
ES300	Li-Ion_BESS	3	9241.806123075123
ES412	HydroPumpStorage	1	0.0
ES412	HydroPumpStorage	2	0.0
ES412	HydroPumpStorage	3	0.0
ES412	Li-Ion_BESS	1	0.0014182071727069868
ES412	Li-Ion_BESS	2	0.007278429383328812
ES412	Li-Ion_BESS	3	0.08943929441603
