Node	Storage	Period	storENInvCap
ES111	HydroPumpStorage	1	0.0
ES111	HydroPumpStorage	2	0.0
ES111	Li-Ion_BESS	1	0.002999504848465751
ES111	Li-Ion_BESS	2	0.024434743375645017
ES112	HydroPumpStorage	1	0.0
ES112	HydroPumpStorage	2	0.0
ES112	Li-Ion_BESS	1	0.0030490416191213954
ES112	Li-Ion_BESS	2	0.031535844090397565
ES113	HydroPumpStorage	1	1.83682277565822e-06
ES113	HydroPumpStorage	2	1.2183145317960824e-06
ES113	Li-Ion_BESS	1	0.002991053959577825
ES113	Li-Ion_BESS	2	0.025206848993367757
ES114	HydroPumpStorage	1	0.0
ES114	HydroPumpStorage	2	0.0
ES114	Li-Ion_BESS	1	0.003056427746515996
ES114	Li-Ion_BESS	2	0.03313051540518102
ES120	HydroPumpStorage	1	6.9139787228778e-07
ES120	HydroPumpStorage	2	2.2665863354736898e-05
ES120	Li-Ion_BESS	1	0.0031308100601943906
ES120	Li-Ion_BESS	2	0.045831548825824374
ES130	HydroPumpStorage	1	1.547850843053311e-05
ES130	HydroPumpStorage	2	1.8511347349577738e-07
ES130	Li-Ion_BESS	1	0.0030253917478697276
ES130	Li-Ion_BESS	2	0.035467150651383894
ES211	HydroPumpStorage	1	0.0
ES211	HydroPumpStorage	2	0.0
ES211	Li-Ion_BESS	1	0.003035729540055076
ES211	Li-Ion_BESS	2	0.03197103855473588
ES212	HydroPumpStorage	1	0.0
ES212	HydroPumpStorage	2	0.0
ES212	Li-Ion_BESS	1	0.0030085977983335234
ES212	Li-Ion_BESS	2	0.03251226832559698
ES213	HydroPumpStorage	1	0.0
ES213	HydroPumpStorage	2	0.0
ES213	Li-Ion_BESS	1	0.003012347971550716
ES213	Li-Ion_BESS	2	0.030714709037410515
ES220	HydroPumpStorage	1	0.0
ES220	HydroPumpStorage	2	0.0
ES220	Li-Ion_BESS	1	0.0030207930683204625
ES220	Li-Ion_BESS	2	0.026983892542092807
ES230	HydroPumpStorage	1	0.0
ES230	HydroPumpStorage	2	0.0
ES230	Li-Ion_BESS	1	0.0030380444390995984
ES230	Li-Ion_BESS	2	0.02776955330304441
ES241	HydroPumpStorage	1	0.0
ES241	HydroPumpStorage	2	0.0
ES241	Li-Ion_BESS	1	0.0029772210158916035
ES241	Li-Ion_BESS	2	0.024088826901040958
ES242	HydroPumpStorage	1	0.0
ES242	HydroPumpStorage	2	0.0
ES242	Li-Ion_BESS	1	0.0030532092671444306
ES242	Li-Ion_BESS	2	0.03461787682398925
ES243	HydroPumpStorage	1	0.0
ES243	HydroPumpStorage	2	0.0
ES243	Li-Ion_BESS	1	0.003004274937147396
ES243	Li-Ion_BESS	2	0.027034838271518286
ES300	HydroPumpStorage	1	0.0
ES300	HydroPumpStorage	2	0.0
ES300	Li-Ion_BESS	1	0.0031378478948891207
ES300	Li-Ion_BESS	2	0.06722274256835932
ES412	HydroPumpStorage	1	0.0
ES412	HydroPumpStorage	2	0.0
ES412	Li-Ion_BESS	1	0.0029968891046083168
ES412	Li-Ion_BESS	2	0.02666682145522975
ES413	HydroPumpStorage	1	0.0
ES413	HydroPumpStorage	2	0.0
ES413	Li-Ion_BESS	1	0.0030372134074263192
ES413	Li-Ion_BESS	2	0.033521336769827825
ES414	HydroPumpStorage	1	0.0
ES414	HydroPumpStorage	2	0.0
ES414	Li-Ion_BESS	1	0.0030214414202511947
ES414	Li-Ion_BESS	2	0.027177332619014383
ES415	HydroPumpStorage	1	2.8581488495772805e-07
ES415	HydroPumpStorage	2	6.351784314799639e-07
ES415	Li-Ion_BESS	1	0.0029814422619052717
ES415	Li-Ion_BESS	2	0.021813935281214683
ES416	HydroPumpStorage	1	0.0
ES416	HydroPumpStorage	2	0.0
ES416	Li-Ion_BESS	1	0.003175745850176654
ES416	Li-Ion_BESS	2	0.7442757883075962
ES417	HydroPumpStorage	1	0.0
ES417	HydroPumpStorage	2	0.0
ES417	Li-Ion_BESS	1	0.003033535817827146
ES417	Li-Ion_BESS	2	0.03215186120865348
ES418	HydroPumpStorage	1	0.0
ES418	HydroPumpStorage	2	0.0
ES418	Li-Ion_BESS	1	0.0030768623661463802
ES418	Li-Ion_BESS	2	0.043022087608522365
ES419	HydroPumpStorage	1	0.0
ES419	HydroPumpStorage	2	0.0
ES419	Li-Ion_BESS	1	0.003022231608610025
ES419	Li-Ion_BESS	2	0.02694352841108471
ES421	HydroPumpStorage	1	0.0
ES421	HydroPumpStorage	2	0.0
