Node	Storage	Period	storPWInstalledCap
ES111	HydroPumpStorage	1	0.0
ES111	HydroPumpStorage	2	0.0
ES111	Li-Ion_BESS	1	0.0014997524242328754
ES111	Li-Ion_BESS	2	0.013717056235996644
ES112	HydroPumpStorage	1	0.0
ES112	HydroPumpStorage	2	0.0
ES112	Li-Ion_BESS	1	0.0015245208095606977
ES112	Li-Ion_BESS	2	0.017292374978701525
ES113	HydroPumpStorage	1	326.0000022427834
ES113	HydroPumpStorage	2	326.0000025359204
ES113	Li-Ion_BESS	1	0.0014955269797889126
ES113	Li-Ion_BESS	2	0.0140988836004137
ES114	HydroPumpStorage	1	0.0
ES114	HydroPumpStorage	2	0.0
ES114	Li-Ion_BESS	1	0.001528213873257998
ES114	Li-Ion_BESS	2	0.018093403699789713
ES120	HydroPumpStorage	1	187.00000208048462
ES120	HydroPumpStorage	2	187.00000356654928
ES120	Li-Ion_BESS	1	0.0015654050300971953
ES120	Li-Ion_BESS	2	0.024481111566950715
ES130	HydroPumpStorage	1	546.0000138151203
ES130	HydroPumpStorage	2	546.0000219462594
ES130	Li-Ion_BESS	1	0.0015126958739348638
ES130	Li-Ion_BESS	2	0.01924620332356799
ES211	HydroPumpStorage	1	0.0
ES211	HydroPumpStorage	2	0.0
ES211	Li-Ion_BESS	1	0.001517864770027538
ES211	Li-Ion_BESS	2	0.01750331617133619
ES212	HydroPumpStorage	1	0.0
ES212	HydroPumpStorage	2	0.0
ES212	Li-Ion_BESS	1	0.0015042988991667617
ES212	Li-Ion_BESS	2	0.01776036518590685
ES213	HydroPumpStorage	1	0.0
ES213	HydroPumpStorage	2	0.0
ES213	Li-Ion_BESS	1	0.001506173985775358
ES213	Li-Ion_BESS	2	0.01686346062842178
ES220	HydroPumpStorage	1	0.0
ES220	HydroPumpStorage	2	0.0
ES220	Li-Ion_BESS	1	0.0015103965341602312
ES220	Li-Ion_BESS	2	0.015002274929147717
ES230	HydroPumpStorage	1	0.0
ES230	HydroPumpStorage	2	0.0
ES230	Li-Ion_BESS	1	0.0015190222195497992
ES230	Li-Ion_BESS	2	0.015403730995012506
ES241	HydroPumpStorage	1	0.0
ES241	HydroPumpStorage	2	0.0
ES241	Li-Ion_BESS	1	0.0014886105079458018
ES241	Li-Ion_BESS	2	0.013532956082407743
ES242	HydroPumpStorage	1	0.0
ES242	HydroPumpStorage	2	0.0
ES242	Li-Ion_BESS	1	0.0015266046335722153
ES242	Li-Ion_BESS	2	0.018835475169508144
ES243	HydroPumpStorage	1	0.0
ES243	HydroPumpStorage	2	0.0
ES243	Li-Ion_BESS	1	0.001502137468573698
ES243	Li-Ion_BESS	2	0.015019488728273495
ES300	HydroPumpStorage	1	0.0
ES300	HydroPumpStorage	2	0.0
ES300	Li-Ion_BESS	1	0.0015689239474445604
ES300	Li-Ion_BESS	2	0.03518022735556588
ES412	HydroPumpStorage	1	0.0
ES412	HydroPumpStorage	2	0.0
ES412	Li-Ion_BESS	1	0.0014984445523041584
ES412	Li-Ion_BESS	2	0.014831787403859844
ES413	HydroPumpStorage	1	0.0
ES413	HydroPumpStorage	2	0.0
ES413	Li-Ion_BESS	1	0.0015186067037131596
ES413	Li-Ion_BESS	2	0.018279207212568788
ES414	HydroPumpStorage	1	0.0
ES414	HydroPumpStorage	2	0.0
ES414	Li-Ion_BESS	1	0.0015107207101255973
ES414	Li-Ion_BESS	2	0.015099319143574132
ES415	HydroPumpStorage	1	1886.0000452698243
ES415	HydroPumpStorage	2	1886.000048239046
ES415	Li-Ion_BESS	1	0.0014907211309526359
ES415	Li-Ion_BESS	2	0.012397620895500797
ES416	HydroPumpStorage	1	0.0
ES416	HydroPumpStorage	2	0.0
ES416	Li-Ion_BESS	1	0.001587872925088327
ES416	Li-Ion_BESS	2	0.37372569920282833
ES417	HydroPumpStorage	1	0.0
ES417	HydroPumpStorage	2	0.0
ES417	Li-Ion_BESS	1	0.001516767908913573
ES417	Li-Ion_BESS	2	0.017592630637181462
ES418	HydroPumpStorage	1	0.0
ES418	HydroPumpStorage	2	0.0
ES418	Li-Ion_BESS	1	0.0015384311830731901
ES418	Li-Ion_BESS	2	0.023049407111275188
ES419	HydroPumpStorage	1	0.0
ES419	HydroPumpStorage	2	0.0
ES419	Li-Ion_BESS	1	0.0015111158043050125
ES419	Li-Ion_BESS	2	0.014982812133788142
ES421	HydroPumpStorage	1	0.0
ES421	HydroPumpStorage	2	0.0
ES421	Li-Ion_BESS	1	0.0015665422445919554
