Node	Storage	Period	storPWInvCap
ES111	HydroPumpStorage	1	0.0
ES111	HydroPumpStorage	2	0.0
ES111	Li-Ion_BESS	1	1.2767508531832885e-05
ES111	Li-Ion_BESS	2	0.00012144138393731627
ES112	HydroPumpStorage	1	0.0
ES112	HydroPumpStorage	2	0.0
ES112	Li-Ion_BESS	1	1.2863483365513192e-05
ES112	Li-Ion_BESS	2	0.00018708415031627891
ES113	HydroPumpStorage	1	1.3554631550505292e-07
ES113	HydroPumpStorage	2	1.539437096981963e-07
ES113	Li-Ion_BESS	1	1.312573405790125e-05
ES113	Li-Ion_BESS	2	0.00012499864090906998
ES114	HydroPumpStorage	1	0.0
ES114	HydroPumpStorage	2	0.0
ES114	Li-Ion_BESS	1	1.286754502795783e-05
ES114	Li-Ion_BESS	2	0.00019139869023964445
ES120	HydroPumpStorage	1	2.6907770234174677e-08
ES120	HydroPumpStorage	2	1.1271974564933912e-07
ES120	Li-Ion_BESS	1	1.2958868797932797e-05
ES120	Li-Ion_BESS	2	0.0002865662386843964
ES130	HydroPumpStorage	1	1.2996906662010588e-07
ES130	HydroPumpStorage	2	1.765504710295815e-07
ES130	Li-Ion_BESS	1	1.2858602924141072e-05
ES130	Li-Ion_BESS	2	0.00017783900023803277
ES211	HydroPumpStorage	1	0.0
ES211	HydroPumpStorage	2	0.0
ES211	Li-Ion_BESS	1	1.2890271456467355e-05
ES211	Li-Ion_BESS	2	0.0001439542597526929
ES212	HydroPumpStorage	1	0.0
ES212	HydroPumpStorage	2	0.0
ES212	Li-Ion_BESS	1	1.2816710762477144e-05
ES212	Li-Ion_BESS	2	0.00013692260079425155
ES213	HydroPumpStorage	1	0.0
ES213	HydroPumpStorage	2	0.0
ES213	Li-Ion_BESS	1	1.283406770711437e-05
ES213	Li-Ion_BESS	2	0.00014624358827949543
ES220	HydroPumpStorage	1	0.0
ES220	HydroPumpStorage	2	0.0
ES220	Li-Ion_BESS	1	1.2911391828875114e-05
ES220	Li-Ion_BESS	2	0.00012991975558149178
ES230	HydroPumpStorage	1	0.0
ES230	HydroPumpStorage	2	0.0
ES230	Li-Ion_BESS	1	1.2962572827535523e-05
ES230	Li-Ion_BESS	2	0.0001481021289364131
ES241	HydroPumpStorage	1	0.0
ES241	HydroPumpStorage	2	0.0
ES241	Li-Ion_BESS	1	1.2753713356240889e-05
ES241	Li-Ion_BESS	2	0.0001457653888624749
ES242	HydroPumpStorage	1	0.0
ES242	HydroPumpStorage	2	0.0
ES242	Li-Ion_BESS	1	1.2888993617140303e-05
ES242	Li-Ion_BESS	2	0.0001977143330582561
ES243	HydroPumpStorage	1	0.0
ES243	HydroPumpStorage	2	0.0
ES243	Li-Ion_BESS	1	1.2891161802830356e-05
ES243	Li-Ion_BESS	2	0.00015420323018623515
ES300	HydroPumpStorage	1	0.0
ES300	HydroPumpStorage	2	0.0
ES300	Li-Ion_BESS	1	1.3188708778057011e-05
ES300	Li-Ion_BESS	2	0.0005015411263339377
ES412	HydroPumpStorage	1	0.0
ES412	HydroPumpStorage	2	0.0
ES412	Li-Ion_BESS	1	1.2794091509606646e-05
ES412	Li-Ion_BESS	2	0.00012308238532751656
ES413	HydroPumpStorage	1	0.0
ES413	HydroPumpStorage	2	0.0
ES413	Li-Ion_BESS	1	1.285843089127795e-05
ES413	Li-Ion_BESS	2	0.0001676600614787473
ES414	HydroPumpStorage	1	0.0
ES414	HydroPumpStorage	2	0.0
ES414	Li-Ion_BESS	1	1.2875151335850079e-05
ES414	Li-Ion_BESS	2	0.0001246341114446359
ES415	HydroPumpStorage	1	7.553353498224169e-10
ES415	HydroPumpStorage	2	2.815952899418878e-07
ES415	Li-Ion_BESS	1	1.273184203580804e-05
ES415	Li-Ion_BESS	2	9.818494366592448e-05
ES416	HydroPumpStorage	1	0.0
ES416	HydroPumpStorage	2	0.0
ES416	Li-Ion_BESS	1	1.3310099295743971e-05
ES416	Li-Ion_BESS	2	9.99398999699567
ES417	HydroPumpStorage	1	0.0
ES417	HydroPumpStorage	2	0.0
ES417	Li-Ion_BESS	1	1.2855799761419799e-05
ES417	Li-Ion_BESS	2	0.00020521826253589234
ES418	HydroPumpStorage	1	0.0
ES418	HydroPumpStorage	2	0.0
ES418	Li-Ion_BESS	1	1.3008015759199374e-05
ES418	Li-Ion_BESS	2	0.00022593504367145097
ES419	HydroPumpStorage	1	0.0
ES419	HydroPumpStorage	2	0.0
ES419	Li-Ion_BESS	1	1.2778059661608724e-05
