FromNode	ToNode	Period	transmisionInvCap
ES111	ES112	1	2.3199900169856846e-06
ES111	ES112	2	8.80369389107083e-08
ES111	ES114	1	1.4956885934225284e-06
ES111	ES114	2	4.479098946315907e-07
ES112	ES113	1	6.156669769552536e-07
ES112	ES113	2	3.7767663892191125e-07
ES112	ES114	1	5.031673966756561e-05
ES112	ES114	2	1.6613013795592014e-05
ES112	ES120	1	5.651781975757331e-07
ES112	ES120	2	5.514336990836912e-07
ES112	ES413	1	1.1262609405093826e-06
ES112	ES413	2	3.3971760789691115e-07
ES113	ES114	1	1.0455914889462292e-06
ES113	ES114	2	1.749616650985664e-06
ES113	ES413	1	9.823570508160628e-07
ES113	ES413	2	6.032845521579478e-07
ES113	ES419	1	2.57041392615065e-07
ES113	ES419	2	4.0767801480302583e-07
ES113	Portugal	1	0.0
ES113	Portugal	2	0.0
ES114	Portugal	1	0.0
ES114	Portugal	2	0.0
ES120	ES130	1	5.34213540959172e-07
ES120	ES130	2	5.235876520798511e-07
ES120	ES413	1	1.117103238357231e-06
ES120	ES413	2	1.5173735727323467e-06
ES130	ES213	1	1.0118546924786642e-06
ES130	ES213	2	1.0779455349105186e-06
ES130	ES412	1	1.669021685302141e-07
ES130	ES412	2	1.0598153310582428e-07
ES130	ES413	1	5.280749064695556e-07
ES130	ES413	2	5.111280228675405e-07
ES130	ES414	1	1.2560005870909663e-06
ES130	ES414	2	1.9881814018703056e-08
ES211	ES212	1	1.284309291804675e-06
ES211	ES212	2	9.472212009426839e-07
ES211	ES213	1	3.565967290342087e-07
ES211	ES213	2	3.658886862357767e-07
ES211	ES220	1	0.00011414670333667808
ES211	ES220	2	1.918860407057265e-07
ES211	ES230	1	4.761931791108509e-07
ES211	ES230	2	3.4914961433024867e-07
ES211	ES412	1	3.0452656574198045e-07
ES211	ES412	2	9.334366030900402e-07
ES211	ES414	1	3.1435956771019846e-07
ES211	ES414	2	4.239563881504581e-07
ES212	ES213	1	9.571340342517942e-07
ES212	ES213	2	1.3240199307083235e-06
ES212	ES220	1	2.110518835252151e-07
ES212	ES220	2	3.3859978262234095e-08
ES212	France	1	0.0
ES212	France	2	0.0
ES213	ES412	1	3.408622433198616e-07
ES213	ES412	2	6.663826728217966e-07
ES220	ES230	1	1.2830587365897372e-06
ES220	ES230	2	2.745281995890382e-07
ES220	ES241	1	4.056810780639353e-07
ES220	ES241	2	2.559948683339288e-07
ES220	ES243	1	8.485112630296499e-07
ES220	ES243	2	4.915710857388758e-07
ES220	France	1	0.0
ES220	France	2	2000.000000000408
ES230	ES243	1	7.841056245180383e-05
ES230	ES243	2	1.3197094469237155e-07
ES230	ES412	1	8.433266884821933e-07
ES230	ES412	2	6.682236306436428e-07
ES230	ES417	1	0.0001098083616047522
ES230	ES417	2	1.4221532367025004e-05
ES241	ES243	1	1.7923971427080687e-06
ES241	ES243	2	3.935776413514033e-07
ES241	ES513	1	3.613643002609024e-07
ES241	ES513	2	7.630083403376885e-07
ES241	France	1	0.0
ES241	France	2	0.0
ES242	ES243	1	1.595906724105589e-06
ES242	ES243	2	1.2769102476155711e-07
ES242	ES423	1	4.773930038626341e-05
ES242	ES423	2	5.935592626613314e-06
ES242	ES424	1	4.3540130266458576e-05
ES242	ES424	2	6.4417503481775396e-06
ES242	ES514	1	4.94314451154253e-05
ES242	ES514	2	1.4066931502208346e-05
ES242	ES522	1	1.1893862392753363e-06
ES242	ES522	2	1.8096053595144623e-06
ES242	ES523	1	4.0185977923101746e-07
ES242	ES523	2	6.681261782723548e-07
ES243	ES417	1	5.160559339856263e-07
ES243	ES417	2	9.052231980510959e-07
ES243	ES424	1	6.483351171482354e-07
ES243	ES424	2	5.465747961405459e-07
ES243	ES513	1	1.1082011042162776e-06
ES243	ES513	2	3.28552081556323e-07
ES243	ES514	1	5.57472048967611e-07
ES243	ES514	2	1.034845637542947e-06
ES300	ES414	1	3.1133754418988246e-07
ES300	ES414	2	5.53638660770113e-07
ES300	ES416	1	1.6290396160911769e-06
ES300	ES416	2	9.367723869049538e-07
ES300	ES418	1	9.639948075346183e-07
ES300	ES418	2	3.6735723476356976e-07
ES300	ES423	1	5.89134288020432e-07
ES300	ES423	2	6.762308407865019e-07
ES300	ES424	1	7.244652806548402e-07
ES300	ES424	2	5.514811576428843e-07
ES300	ES425	1	5.262991180643439e-07
ES300	ES425	2	1.0921079162201418e-06
ES300	ES432	1	5.496767698787153e-07
ES300	ES432	2	3.933414968604748e-07
ES412	ES414	1	1.7518850654596463e-06
ES412	ES414	2	9.67050388153803e-07
ES412	ES416	1	0.000430381211902936
ES412	ES416	2	194.44267333053426
ES412	ES417	1	6.119670129257668e-05
ES412	ES417	2	3.1259356197961724e-05
ES412	ES418	1	5.7728848083765494e-05
ES412	ES418	2	0.0001102370060594398
ES413	ES414	1	9.456134648644365e-07
ES413	ES414	2	1.1169243334168053e-06
ES413	ES418	1	9.486511771683581e-07
ES413	ES418	2	3.281577067868473e-07
ES413	ES419	1	2.863334884750657e-07
ES413	ES419	2	6.579864905777612e-07
ES414	ES415	1	1.0377243597758934e-07
ES414	ES415	2	2.387755954626348e-07
ES414	ES418	1	1.2645214155782014e-06
ES414	ES418	2	6.979492625308185e-07
ES415	ES418	1	5.580744618794182e-05
ES415	ES418	2	2.5249187634488345e-05
ES415	ES419	1	1.2854980013798922e-06
ES415	ES419	2	1.379390681482355e-08
ES415	ES432	1	9.411942301085219e-07
ES415	ES432	2	8.599573845032496e-07
ES415	Portugal	1	0.0
ES415	Portugal	2	0.0
ES416	ES417	1	0.00018671269273159993
ES416	ES417	2	3.9472817880584356e-08
ES416	ES418	1	1.812923073885031e-06
ES416	ES418	2	1.788168319096351e-06
ES416	ES424	1	0.00023246943880898046
ES416	ES424	2	6.378402633744443e-08
ES417	ES418	1	2.866827344405465e-07
ES417	ES418	2	6.571899184205977e-07
ES417	ES424	1	6.173410973663387e-05
ES417	ES424	2	3.4358753333458045e-05
ES418	ES419	1	9.18767909752205e-07
ES418	ES419	2	7.178029917755533e-07
ES419	Portugal	1	0.0
ES419	Portugal	2	0.0
ES421	ES422	1	8.470974535157438e-07
ES421	ES422	2	5.232554571981873e-07
ES421	ES423	1	1.0552057574386708e-06
ES421	ES423	2	3.295914313520805e-07
ES421	ES521	1	7.873109097999986e-08
