FromNode	ToNode	Period	transmissionInstalledCap
ES111	ES112	1	7641.461867258168
ES111	ES112	2	7641.461953576984
ES111	ES114	1	5049.62096665908
ES111	ES114	2	5049.620990242303
ES112	ES113	1	1474.668058424372
ES112	ES113	2	1474.6681759261987
ES112	ES114	1	0.003951408165041363
ES112	ES114	2	0.005029108187781923
ES112	ES120	1	4027.4764651128435
ES112	ES120	2	4027.4764747646877
ES112	ES413	1	4066.508937825597
ES112	ES413	2	4066.50894901239
ES113	ES114	1	6863.733047301843
ES113	ES114	2	6863.733273171509
ES113	ES413	1	2770.588500816126
ES113	ES413	2	2770.5885136358474
ES113	ES419	1	6618.0650336916015
ES113	ES419	2	6618.065034722439
ES113	Portugal	1	8666.90573364432
ES113	Portugal	2	8666.90573364432
ES114	Portugal	1	0.0
ES114	Portugal	2	0.0
ES120	ES130	1	5049.620984528291
ES120	ES130	2	5049.621077484987
ES120	ES413	1	5853.985362991496
ES120	ES413	2	5853.985504189992
ES130	ES213	1	5362.429375771687
ES130	ES213	2	5362.429385074281
ES130	ES412	1	983.1120413074683
ES130	ES412	2	983.1120426598819
ES130	ES413	1	2279.0324645075834
ES130	ES413	2	2279.032470575057
ES130	ES414	1	1787.476435606935
ES130	ES414	2	1787.476437071053
ES211	ES212	1	4558.064932371497
ES211	ES212	2	4558.064943971575
ES211	ES213	1	1474.6680591192685
ES211	ES213	2	1474.6680629738428
ES211	ES220	1	0.006076678482440373
ES211	ES220	2	0.00896740856687979
ES211	ES230	1	491.5560278899804
ES211	ES230	2	491.5560428809147
ES211	ES412	1	3262.1444994236504
ES211	ES412	2	3262.1445016779185
ES211	ES414	1	4867.476435715686
ES211	ES414	2	4867.476475373548
ES212	ES213	1	5049.620938136959
ES212	ES213	2	5049.620946921142
ES212	ES220	1	983.1120458226353
ES212	ES220	2	983.1120488229569
ES212	France	1	2290.20418030794
ES212	France	2	2290.20418030794
ES213	ES412	1	1787.4764345513145
ES213	ES412	2	1787.4764410289076
ES220	ES230	1	8803.321623007014
ES220	ES230	2	8803.321898840297
ES220	ES241	1	491.55602147070215
ES220	ES241	2	491.55602165122184
ES220	ES243	1	4279.032494214427
ES220	ES243	2	4279.0325199113
ES220	France	1	0.0
ES220	France	2	1999.9999203511559
ES230	ES243	1	0.0051901012052393645
ES230	ES243	2	0.005207288761300812
