Source:_EU_EnVis_Scenarios_InputData_v1.3.0.csv	Unnamed:_1	Unnamed:_2
Coal	1	0.4226006846131091
CoalCCS	1	0.3803293652302894
Lignite	1	0.4014613192018949
LigniteCCS	1	0.3613238907356554
GasOCGT	1	0.4250074376301585
GasCCGT	1	0.5600044800358402
GasCCS	1	0.5040068544932211
Nuclear	1	0.33000033000033
Wave	1	1.0
Geo	1	0.1
Bio	1	0.3012138919846983
BioCCS	1	0.2710908696595098
Hydrorun-of-the-river	1	1.0
Hydroregulated	1	1.0
Windonshore	1	1.0
Windoffshorefloating	1	1.0
Windoffshoregrounded	1	1.0
Solar	1	1.0
Oil	1	0.3500052500787511
Waste	1	0.33
Coal	2	0.4351420738871241
CoalCCS	2	0.3916346831675413
Lignite	2	0.413393964448119
LigniteCCS	2	0.3720514919264826
GasOCGT	2	0.4299965600275197
GasCCGT	2	0.5699954400364797
GasCCS	2	0.5130046683424819
Nuclear	2	0.33000033000033
Wave	2	1.0
Geo	2	0.1
Bio	2	0.3020782986950217
BioCCS	2	0.2718721113588168
Hydrorun-of-the-river	2	1.0
Hydroregulated	2	1.0
Windonshore	2	1.0
Windoffshorefloating	2	1.0
Windoffshoregrounded	2	1.0
Solar	2	1.0
Oil	2	0.3500052500787511
Waste	2	0.34
Coal	3	0.4393287057376329
CoalCCS	3	0.3953975722589063
Lignite	3	0.4173622704507512
LigniteCCS	3	0.375629178874615
GasOCGT	3	0.4349906477010744
GasCCGT	3	0.5750100626760968
GasCCS	3	0.517491202649555
Nuclear	3	0.33000033000033
Wave	3	1.0
Geo	3	0.1
Bio	3	0.3027275754548482
BioCCS	3	0.2724572923194289
Hydrorun-of-the-river	3	1.0
Hydroregulated	3	1.0
Windonshore	3	1.0
Windoffshorefloating	3	1.0
Windoffshoregrounded	3	1.0
Solar	3	1.0
Oil	3	0.3500052500787511
Waste	3	0.34
Coal	4	0.4435179846542777
CoalCCS	4	0.3991697269679067
Lignite	4	0.4213364793123788
LigniteCCS	4	0.3792044291077319
GasOCGT	4	0.4400052800633607
GasCCGT	4	0.5800127602807262
GasCCS	4	0.5220024012110456
Nuclear	4	0.33000033000033
Wave	4	1.0
Geo	4	0.1
Bio	4	0.3033796492931254
BioCCS	4	0.273037542662116
Hydrorun-of-the-river	4	1.0
Hydroregulated	4	1.0
Windonshore	4	1.0
Windoffshorefloating	4	1.0
Windoffshoregrounded	4	1.0
Solar	4	1.0
Oil	4	0.3500052500787511
Waste	4	0.34
Coal	5	0.4477077363896848
CoalCCS	5	0.4029333548231122
Lignite	5	0.4253147329023477
LigniteCCS	5	0.3827751196172249
GasOCGT	5	0.4449982200071199
GasCCGT	5	0.5850005850005849
GasCCS	5	0.5265097667561733
Nuclear	5	0.33000033000033
Wave	5	1.0
Geo	5	0.1
Bio	5	0.304025294904536
BioCCS	5	0.273620269789586
Hydrorun-of-the-river	5	1.0
Hydroregulated	5	1.0
Windonshore	5	1.0
Windoffshorefloating	5	1.0
Windoffshoregrounded	5	1.0
Solar	5	1.0
Oil	5	0.3500052500787511
Waste	5	0.34
Coal	6	0.4518752824220515
CoalCCS	6	0.4067024564828371
Lignite	6	0.4292950974499871
LigniteCCS	6	0.3863539775141985
GasOCGT	6	0.4500045000450005
GasCCGT	6	0.5900053100477904
GasCCS	6	0.5310110450297366
Nuclear	6	0.33000033000033
Wave	6	1.0
Geo	6	0.1
Bio	6	0.3046736944732192
BioCCS	6	0.2742054895939017
Hydrorun-of-the-river	6	1.0
Hydroregulated	6	1.0
Windonshore	6	1.0
Windoffshorefloating	6	1.0
Windoffshoregrounded	6	1.0
Solar	6	1.0
Oil	6	0.3500052500787511
Waste	6	0.34
Coal	7	0.4518752824220515
CoalCCS	7	0.4067024564828371
Lignite	7	0.4292950974499871
LigniteCCS	7	0.3863539775141985
GasOCGT	7	0.4500045000450005
GasCCGT	7	0.5900053100477904
GasCCS	7	0.5310110450297366
Nuclear	7	0.33000033000033
Wave	7	1.0
Geo	7	0.1
Bio	7	0.3046736944732192
BioCCS	7	0.2742054895939017
Hydrorun-of-the-river	7	1.0
Hydroregulated	7	1.0
Windonshore	7	1.0
Windoffshorefloating	7	1.0
Windoffshoregrounded	7	1.0
Solar	7	1.0
Oil	7	0.3500052500787511
Waste	7	0.34
