Source:_EU_EnVis_Scenarios_InputData_v1.3.0.csv	Unnamed:_1	Unnamed:_2
Coal	1	1.89498270446036
Coal	2	1.69997503322278
Coal	3	1.50740203856953
Coal	4	1.46235996766413
Coal	5	1.41766706492246
Coal	6	1.41805840974305
Coal	7	1.456867759229
CoalCCS	1	1.89498270446036
CoalCCS	2	1.69997503322278
CoalCCS	3	1.50740203856953
CoalCCS	4	1.46235996766413
CoalCCS	5	1.41766706492246
CoalCCS	6	1.41805840974305
CoalCCS	7	1.456867759229
Lignite	1	1.275590529
Lignite	2	1.211811002
Lignite	3	1.151220452
Lignite	4	1.09365943
Lignite	5	1.038976458
Lignite	6	1.038976458
Lignite	7	1.038976458
LigniteCCS	1	1.275590529
LigniteCCS	2	1.211811002
LigniteCCS	3	1.151220452
LigniteCCS	4	1.09365943
LigniteCCS	5	1.038976458
LigniteCCS	6	1.038976458
LigniteCCS	7	1.038976458
GasOCGT	1	4.06828025386798
GasOCGT	2	4.10317120908442
GasOCGT	3	3.92206044096538
GasOCGT	4	3.87713901251272
GasOCGT	5	4.22053963306327
GasOCGT	6	4.28947404727696
GasOCGT	7	4.29900382960887
GasCCGT	1	4.06828025386798
GasCCGT	2	4.10317120908442
GasCCGT	3	3.92206044096538
GasCCGT	4	3.87713901251272
GasCCGT	5	4.22053963306327
GasCCGT	6	4.28947404727696
GasCCGT	7	4.29900382960887
GasCCS	1	4.06828025386798
GasCCS	2	4.10317120908442
GasCCS	3	3.92206044096538
GasCCS	4	3.87713901251272
GasCCS	5	4.22053963306327
GasCCS	6	4.28947404727696
GasCCS	7	4.29900382960887
Nuclear	1	0.722222222
Nuclear	2	0.722222222
Nuclear	3	0.722222222
Nuclear	4	0.722222222
Nuclear	5	0.722222222
Nuclear	6	0.722222222
Nuclear	7	0.722222222
Wave	1	0.0
Wave	2	0.0
Wave	3	0.0
Wave	4	0.0
Wave	5	0.0
Wave	6	0.0
Wave	7	0.0
Waste	1	0.0
Waste	2	0.0
Waste	3	0.0
Waste	4	0.0
Waste	5	0.0
Waste	6	0.0
Waste	7	0.0
Geo	1	0.0
Geo	2	0.0
Geo	3	0.0
Geo	4	0.0
Geo	5	0.0
Geo	6	0.0
Geo	7	0.0
Bio	1	3.94387488733442
Bio	2	4.15545616313249
Bio	3	4.36703750910002
Bio	4	4.93406476692044
Bio	5	5.16207150248287
Bio	6	6.09712968860128
Bio	7	8.81123090909002
BioCCS	1	3.94387488733442
BioCCS	2	4.15545616313249
BioCCS	3	4.36703750910002
BioCCS	4	4.93406476692044
BioCCS	5	5.16207150248287
BioCCS	6	6.09712968860128
BioCCS	7	8.81123090909002
Hydrorun-of-the-river	1	0.0
Hydrorun-of-the-river	2	0.0
Hydrorun-of-the-river	3	0.0
Hydrorun-of-the-river	4	0.0
Hydrorun-of-the-river	5	0.0
Hydrorun-of-the-river	6	0.0
Hydrorun-of-the-river	7	0.0
Hydroregulated	1	0.0
Hydroregulated	2	0.0
Hydroregulated	3	0.0
Hydroregulated	4	0.0
Hydroregulated	5	0.0
Hydroregulated	6	0.0
Hydroregulated	7	0.0
Windonshore	1	0.0
Windonshore	2	0.0
Windonshore	3	0.0
Windonshore	4	0.0
Windonshore	5	0.0
Windonshore	6	0.0
Windonshore	7	0.0
Windoffshorefloating	1	0.0
Windoffshorefloating	2	0.0
Windoffshorefloating	3	0.0
Windoffshorefloating	4	0.0
Windoffshorefloating	5	0.0
Windoffshorefloating	6	0.0
Windoffshorefloating	7	0.0
Windoffshoregrounded	1	0.0
Windoffshoregrounded	2	0.0
Windoffshoregrounded	3	0.0
Windoffshoregrounded	4	0.0
Windoffshoregrounded	5	0.0
Windoffshoregrounded	6	0.0
Windoffshoregrounded	7	0.0
Solar	1	0.0
Solar	2	0.0
Solar	3	0.0
Solar	4	0.0
Solar	5	0.0
Solar	6	0.0
Solar	7	0.0
Oil	1	10.5419043104502
Oil	2	9.92130123344823
Oil	3	9.26002991433638
Oil	4	8.89299527504315
Oil	5	8.5260678994256
Oil	6	8.5248372288556
Oil	7	8.52472763553119
