Source:_Assumed	Unnamed:_1	Unnamed:_2	Unnamed:_3
EU	CCS	1	995.185
EU	CCS	2	4483.031
EU	CCS	3	9004.033
EU	CCS	4	12899.274
EU	CCS	5	18513.514
EU	CCS	6	22758.54
EU	CCS	7	28308.764
France	CCS	1	56.4
France	CCS	2	358.4
France	CCS	3	691.2
France	CCS	4	1284.3
France	CCS	5	2144.1
France	CCS	6	2087.7
France	CCS	7	3729.6
Italy	CCS	1	19.0
Italy	CCS	2	314.6
Italy	CCS	3	652.1
Italy	CCS	4	1630.2
Italy	CCS	5	3444.0
Italy	CCS	6	4498.2
Italy	CCS	7	4521.5
Portugal	CCS	1	9.7
Portugal	CCS	2	46.3
Portugal	CCS	3	116.8
Portugal	CCS	4	144.0
Portugal	CCS	5	262.3
Portugal	CCS	6	291.1
Portugal	CCS	7	383.0
