Source:_See_reference_Generator.xlsx	Unnamed:_1	Unnamed:_2
France	Bio	200000.0
France	Gas_CCGT	200000.0
France	Gas_OCGT	200000.0
France	Geo	2.0
France	Hydro_reg	8787.1
France	Hydro_ror	11598.1
France	Nuclear	200000.0
France	Oil	200000.0
France	Solar	200000.0
France	Waste	927.1500000000001
France	Wave	450.0
France	Wind_offshr_floating	57936.66667
France	Wind_offshr_grounded	57936.66667
France	Wind_onshr	165403.3333
Italy	Bio	200000.0
Italy	Gas_CCGT	200000.0
Italy	Gas_OCGT	200000.0
Italy	Geo	868.0
Italy	Hydro_reg	4733.0
Italy	Hydro_ror	10826.0
Italy	Nuclear	200000.0
Italy	Oil	200000.0
Italy	Solar	200000.0
Italy	Waste	445.2
Italy	Wave	7.0
Italy	Wind_offshr_floating	33670.0
Italy	Wind_offshr_grounded	33670.0
Italy	Wind_onshr	82420.0
Portugal	Bio	200000.0
Portugal	Gas_CCGT	200000.0
Portugal	Gas_OCGT	200000.0
Portugal	Geo	0.0
Portugal	Hydro_reg	1629.1
Portugal	Hydro_ror	2856.1
Portugal	Nuclear	200000.0
Portugal	Oil	200000.0
Portugal	Solar	200000.0
Portugal	Waste	0.0
Portugal	Wave	300.0
Portugal	Wind_offshr_floating	7236.666667
Portugal	Wind_offshr_grounded	7236.666667
Portugal	Wind_onshr	22100.0
France	Coal	400000.0
Italy	Coal	400000.0
Portugal	Coal	400000.0
France	CCS	800000.0
Italy	CCS	800000.0
Portugal	CCS	800000.0
France	Lignite	200000.0
Italy	Lignite	200000.0
Portugal	Lignite	200000.0
France	Lignite	200000.0
Italy	Lignite	200000.0
Portugal	Lignite	200000.0
EU	Bio	4984000.0
EU	CCS	24800000.0
EU	Coal	9968000.0
EU	Gas_CCGT	4984000.0
EU	Gas_OCGT	4984000.0
EU	Geo	1172.1
EU	Hydro_reg	58870.06
EU	Hydro_ror	47830.59340381
EU	Lignite	12400000.0
EU	Nuclear	4984000.0
EU	Oil	4984000.0
EU	Solar	4984000.0
EU	Waste	4777.5
EU	Wave	1764.0
EU	Wind_offshr_floating	497290.09322792
EU	Wind_offshr_grounded	503365.669674
EU	Wind_onshr	768805.5717309
ES111	CCS	800000.0
ES111	Lignite	200000.0
ES111	Hcoal	0.0
ES111	Coal	400000.0
ES111	Gas_OCGT	200000.0
ES111	Oil	200000.0
ES111	Bio	200000.0
ES111	Geo	0.0
ES111	Nuclear	200000.0
ES111	Hydro_reg	607.703
ES111	Hydro_ror	0.0
ES111	Wave	0.0
ES111	Wind_onshr	3203.649
ES111	Wind_offshr_grounded	0.0
ES111	Wind_offshr_floating	0.0
ES111	Solar	0.0
ES111	Waste	714.0
ES111	Gas_CCGT	200000.0
ES112	CCS	800000.0
ES112	Lignite	200000.0
ES112	Hcoal	0.0
ES112	Coal	400000.0
ES112	Gas_OCGT	200000.0
