Source:_data/IAMC/Spain/Spain_IAMC.xlsx_+_reference	Unnamed:_1	Unnamed:_2
France	1	480376194.444829
France	2	534690777.778206
France	3	563424777.778229
France	4	577322222.222684
France	5	615297444.444937
France	6	602238194.444926
France	7	671567388.889426
Portugal	1	50419611.111151
Portugal	2	52786555.555598
Portugal	3	52733777.77782
Portugal	4	54624777.777821
Portugal	5	59961166.666715
Portugal	6	60926750.000049
Portugal	7	71335472.222279
EU	1	2465522138.613083
EU	2	2724776847.50218
EU	3	3078172701.391351
EU	4	3210483574.169235
EU	5	3549711221.391728
EU	6	3596422945.558433
EU	7	3833773383.614178
ES111	1	7206020.739735
ES111	2	7885782.181668
ES111	3	10905124.180169
ES111	4	10607350.914561
ES111	5	11423683.60094
ES111	6	11222636.817559
ES111	7	13063143.105956
ES112	1	7417847.478136
ES112	2	8117591.050892
ES112	3	11225689.020374
ES112	4	10919162.471655
ES112	5	11759491.90973
ES112	6	11552535.195483
ES112	7	13447144.637084
ES113	1	1754257.825053
ES113	2	1919741.227301
ES113	3	2654779.956537
ES113	4	2582289.035382
ES113	5	2781019.798816
ES113	6	2732076.296474
ES113	7	3180135.311997
ES114	1	4569257.737304
ES114	2	5000286.919742
ES114	3	6914818.15501
ES114	4	6726003.433685
ES114	5	7243630.925774
ES114	6	7116149.392803
ES114	7	8283193.993776
ES120	1	12861457.826521
ES120	2	14074710.38758
ES120	3	19463695.679203
ES120	4	18932223.673251
ES120	5	20389231.472352
ES120	6	20030398.932313
ES120	7	23315373.381128
ES130	1	4497719.70055
ES130	2	4922000.526193
ES130	3	6806557.132376
ES130	4	6620698.56613
ES130	5	7130221.885357
ES130	6	7004736.251746
ES130	7	8153509.158637
ES211	1	3277458.412809
ES211	2	3586629.026804
ES211	3	4959892.88373
ES211	4	4824458.983423
ES211	5	5195745.235191
ES211	6	5104304.689104
ES211	7	5941407.861104
ES212	1	7594231.621619
ES212	2	8310613.939119
ES212	3	11492617.337342
ES212	4	11178802.094307
ES212	5	12039113.176466
ES212	6	11827235.373873
ES212	7	13766895.494202
ES213	1	8366226.832937
ES213	2	9155433.334125
ES213	3	12660904.794454
ES213	4	12315188.514299
ES213	5	13262954.926867
ES213	6	13029538.585928
ES213	7	15166375.774206
ES220	1	6799407.519883
ES220	2	7440812.149004
ES220	3	10289782.118866
ES220	4	10008811.267613
ES220	5	10779080.852862
ES220	6	10589378.51087
ES220	7	12326030.783977
ES230	1	2724366.315664
ES230	2	2981362.408512
ES230	3	4122879.194722
ES230	4	4010300.632457
ES230	5	4318929.951394
ES230	6	4242920.583075
ES230	7	4938757.233701
ES241	1	1689289.967668
ES241	2	1848644.794103
ES241	3	2556461.817013
ES241	4	2486655.552447
ES241	5	2678026.444536
ES241	6	2630895.53464
ES241	7	3062360.960665
ES242	1	853527.876711
ES242	2	934043.234793
ES242	3	1291673.702165
ES242	4	1256403.503492
ES242	5	1353095.246364
ES242	6	1329281.960178
ES242	7	1547283.473238
ES243	1	10046068.812295
ES243	2	10993738.88823
ES243	3	15203068.63905
ES243	4	14787936.512069
ES243	5	15926003.503171
ES243	6	15645719.849642
ES243	7	18211609.331578
ES300	1	41322979.733795
ES300	2	45221076.797815
ES300	3	62535516.031312
ES300	4	60827933.016442
ES300	5	65509198.901407
ES300	6	64356294.621047
ES300	7	74910691.673495
ES412	1	3447019.967636
ES412	2	3772185.735014
ES412	3	5216496.337753
ES412	4	5074055.671891
ES412	5	5464550.672088
ES412	6	5368379.386746
ES412	7	6248790.664454
ES413	1	3409760.339981
ES413	2	3731411.316167
ES413	3	5160110.035081
ES413	4	5019209.042973
ES413	5	5405483.093351
ES413	6	5310351.34544
ES413	7	6181246.056172
ES414	1	1971426.004805
ES414	2	2157395.409015
ES414	3	2983428.187469
ES414	4	2901963.25966
ES414	5	3125295.878955
ES414	6	3070293.42042
ES414	7	3573819.858936
ES415	1	1796493.388664
ES415	2	1965960.97423
ES415	3	2718696.517789
ES415	4	2644460.303059
ES415	5	2847975.714268
ES415	6	2797853.846707
ES415	7	3256700.344424
ES416	1	2045981.955906
ES416	2	2238984.404101
ES416	3	3096256.32584
ES416	4	3011710.534149
ES416	5	3243489.210158
ES416	6	3186406.652954
ES416	7	3708975.597979
ES417	1	899357.043897
ES417	2	984195.578652
ES417	3	1361028.589874
ES417	4	1323864.599708
ES417	5	1425748.091052
ES417	6	1400656.178702
ES417	7	1630363.02449
ES418	1	4412078.361863
ES418	2	4828280.43198
ES418	3	6676953.087776
ES418	4	6494633.465147
ES418	5	6994454.92164
ES418	6	6871358.667172
ES418	7	7998257.723281
ES419	1	902054.158556
ES419	2	987147.118688
ES419	3	1365110.22818
ES419	4	1327834.785567
ES419	5	1430023.819031
ES419	6	1404856.65763
ES419	7	1635252.379661
ES421	1	1618620.945019
ES421	2	1771309.390871
ES421	3	2449515.903933
ES421	4	2382629.884314
ES421	5	2565995.049638
ES421	6	2520835.793752
ES421	7	2934251.482582
ES422	1	4319149.56588
ES422	2	4726585.436921
ES422	3	6536320.678197
ES422	4	6357841.137639
ES422	5	6847135.173187
ES422	6	6726631.616713
ES422	7	7829795.515853
ES423	1	1480949.750143
ES423	2	1620651.337739
ES423	3	2241173.251258
ES423	4	2179976.196846
ES423	5	2347745.307093
ES423	6	2306427.054708
ES423	7	2684679.827824
ES424	1	797218.474353
ES424	2	872422.029718
ES424	3	1206458.70662
ES424	4	1173515.372555
ES424	5	1263828.115511
ES424	6	1241585.85231
ES424	7	1445205.251736
ES425	1	3759995.883676
ES425	2	4114685.429524
ES425	3	5690133.779703
ES425	4	5534760.059117
ES425	5	5960710.476325
ES425	6	5855807.214838
ES425	7	6816156.389257
ES431	1	3230941.772713
ES431	2	3535724.359045
ES431	3	4889497.619129
ES431	4	4755985.91865
ES431	5	5122002.54171
ES431	6	5031859.802165
ES431	7	5857082.052405
ES432	1	1555344.048263
ES432	2	1702063.430726
ES432	3	2353756.754496
ES432	4	2289485.516163
ES432	5	2465682.370297
ES432	6	2422288.529334
ES432	7	2819542.5208
ES511	1	39092284.695687
ES511	2	42779954.877745
ES511	3	59159726.913121
ES511	4	57544322.559687
ES511	5	61972884.582324
ES511	6	60882216.323523
ES511	7	70866866.438873
ES512	1	4501303.270715
ES512	2	4925922.143238
ES512	3	6811980.274921
ES512	4	6625973.625368
ES512	5	7135902.908658
ES512	6	7010317.294033
ES512	7	8160005.488802
ES513	1	4049245.648555
ES513	2	4431220.827398
ES513	3	6127865.604107
ES513	4	5960539.260821
ES513	5	6419257.282526
ES513	6	6306284.000577
ES513	7	7340511.121009
ES514	1	7925937.807573
ES514	2	8673610.775407
ES514	3	11994599.954351
ES514	4	11667077.668584
ES514	5	12564966.022811
ES514	6	12343833.67265
ES514	7	14368215.630897
ES521	1	6354065.861456
ES521	2	6953460.330071
ES521	3	9615830.951758
ES521	4	9353262.884056
ES521	5	10073082.024391
ES521	6	9895804.640801
ES521	7	11518711.179275
ES522	1	5624922.363235
ES522	2	6155534.954357
ES522	3	8512392.496548
ES522	4	8279954.711342
ES522	5	8917172.969421
ES522	6	8760238.568488
ES522	7	10196912.893361
ES523	1	12683690.826904
ES523	2	13880174.19504
ES523	3	19194674.637497
ES523	4	18670548.469408
ES523	5	20107417.967831
ES523	6	19753545.097595
ES523	7	22993115.669225
ES532	1	4323983.291979
ES532	2	4731875.140145
ES532	3	6543635.725609
ES532	4	6364956.441745
ES532	5	6854798.065033
ES532	6	6734159.648403
ES532	7	7838558.140614
ES611	1	3772724.46836
ES611	2	4128614.732524
ES611	3	5709396.393792
ES611	4	5553496.691896
ES611	5	5980889.064394
ES611	6	5875630.677506
ES611	7	6839230.888939
ES612	1	4402392.804954
ES612	2	4817681.212958
ES612	3	6662295.594457
ES612	4	6480376.206578
ES612	5	6979100.436602
ES612	6	6856274.407566
ES612	7	7980699.653365
ES613	1	2496128.168362
ES613	2	2731594.002317
ES613	3	3777478.393243
ES613	4	3674331.280167
ES613	5	3957104.684078
ES613	6	3887463.122211
ES613	7	4525004.944036
ES614	1	4242425.023711
ES614	2	4642623.282302
ES614	3	6420210.734827
ES614	4	6244901.670499
ES614	5	6725503.980908
