Source:_data/IAMC/Spain/Spain_IAMC.xlsx_+_reference	Unnamed:_1
ES111	Bio
ES111	BioCCS
ES111	Coal
ES111	CoalCCS
ES111	GasCCGT
ES111	GasCCS
ES111	GasOCGT
ES111	Hydroregulated
ES111	Hydrorun-of-the-river
ES111	Lignite
ES111	Oil
ES111	Solar
ES111	Waste
ES111	Windonshore
ES112	BioCCS
ES112	CoalCCS
ES112	GasCCS
ES112	GasOCGT
ES112	Hydroregulated
ES112	Hydrorun-of-the-river
ES112	Lignite
ES112	Solar
ES112	Waste
ES112	Windonshore
ES113	BioCCS
ES113	CoalCCS
ES113	GasCCS
ES113	GasOCGT
ES113	Hydroregulated
ES113	Hydrorun-of-the-river
ES113	Lignite
ES113	Solar
ES113	Waste
ES113	Windonshore
ES114	BioCCS
ES114	CoalCCS
ES114	GasCCS
ES114	GasOCGT
ES114	Lignite
ES114	Solar
ES114	Waste
ES114	Windonshore
ES120	Bio
ES120	BioCCS
ES120	Coal
ES120	CoalCCS
ES120	GasCCGT
ES120	GasCCS
ES120	GasOCGT
ES120	Hydroregulated
ES120	Hydrorun-of-the-river
ES120	Lignite
ES120	Solar
ES120	Waste
ES120	Windonshore
ES130	BioCCS
ES130	CoalCCS
ES130	GasCCGT
ES130	GasCCS
ES130	GasOCGT
ES130	Lignite
ES130	Oil
ES130	Solar
ES130	Waste
ES130	Windonshore
ES211	BioCCS
ES211	CoalCCS
ES211	GasCCGT
ES211	GasCCS
ES211	GasOCGT
ES211	Lignite
ES211	Solar
ES211	Waste
ES211	Windonshore
ES212	BioCCS
ES212	CoalCCS
ES212	GasCCGT
ES212	GasCCS
ES212	GasOCGT
ES212	Lignite
ES212	Solar
ES212	Waste
ES212	Windonshore
ES213	Bio
ES213	BioCCS
ES213	CoalCCS
ES213	GasCCGT
ES213	GasCCS
ES213	GasOCGT
ES213	Hydroregulated
ES213	Hydrorun-of-the-river
ES213	Lignite
ES213	Solar
ES213	Waste
ES213	Windonshore
ES220	Bio
ES220	BioCCS
ES220	CoalCCS
ES220	GasCCGT
ES220	GasCCS
ES220	GasOCGT
ES220	Lignite
ES220	Solar
ES220	Waste
ES220	Windonshore
ES230	BioCCS
ES230	CoalCCS
ES230	GasCCGT
ES230	GasCCS
ES230	GasOCGT
ES230	Hydrorun-of-the-river
ES230	Lignite
ES230	Solar
ES230	Waste
ES230	Windonshore
ES241	BioCCS
ES241	CoalCCS
ES241	GasCCS
ES241	GasOCGT
ES241	Hydroregulated
ES241	Hydrorun-of-the-river
ES241	Lignite
ES241	Solar
ES241	Waste
ES241	Windonshore
ES242	BioCCS
ES242	CoalCCS
ES242	GasCCGT
ES242	GasCCS
ES242	GasOCGT
ES242	Lignite
ES242	Solar
ES242	Waste
ES242	Windonshore
ES243	BioCCS
ES243	CoalCCS
ES243	GasCCGT
ES243	GasCCS
ES243	GasOCGT
ES243	Hydroregulated
ES243	Hydrorun-of-the-river
ES243	Lignite
ES243	Solar
ES243	Waste
ES243	Windonshore
ES300	BioCCS
