Source:_M:\Work\codes\Energy_vision_scenarios\data\EMPIRE\Data_handler_REPowerEU++_EU\Transmission.xlsx_+_haversine_from_coords	Unnamed:_1	Unnamed:_2
ES111	ES112	82.7
ES111	ES114	75.4
ES112	ES113	91.8
ES112	ES114	104.5
ES112	ES120	123.2
ES112	ES413	137.5
ES113	ES114	75.8
ES113	ES413	151.7
ES113	ES419	142.6
ES113	Portugal	315.0
ES114	Portugal	337.9
ES120	ES130	157.4
ES120	ES413	75.5
ES130	ES213	95.0
ES130	ES412	98.6
ES130	ES413	159.7
ES130	ES414	100.9
ES211	ES212	52.8
ES211	ES213	46.9
ES211	ES220	89.9
ES211	ES230	64.3
ES211	ES412	88.4
ES211	ES414	158.0
ES212	ES213	54.6
ES212	ES220	69.8
ES212	France	490.2
ES213	ES412	113.4
ES220	ES230	84.2
ES220	ES241	138.8
ES220	ES243	126.9
ES220	France	499.6
ES230	ES243	141.2
ES230	ES412	88.8
ES230	ES417	72.7
ES241	ES243	104.5
ES241	ES513	94.0
ES241	France	483.5
ES242	ES243	108.0
ES242	ES423	143.6
ES242	ES424	152.6
ES242	ES514	146.7
ES242	ES522	73.7
ES242	ES523	144.2
ES243	ES417	128.0
ES243	ES424	158.4
ES243	ES513	181.2
ES243	ES514	167.3
ES300	ES414	219.0
ES300	ES416	80.8
ES300	ES418	159.2
ES300	ES423	145.0
ES300	ES424	98.5
ES300	ES425	86.3
ES300	ES432	225.6
ES412	ES414	77.6
ES412	ES416	139.4
ES412	ES417	116.2
ES412	ES418	132.5
ES413	ES414	111.3
ES413	ES418	137.2
ES413	ES419	100.3
ES414	ES415	214.8
ES414	ES418	84.8
ES415	ES418	137.2
ES415	ES419	103.0
ES415	ES432	121.7
ES415	Portugal	241.2
ES416	ES417	132.2
ES416	ES418	84.1
ES416	ES424	126.5
ES417	ES418	187.1
ES417	ES424	90.5
ES418	ES419	94.8
ES419	Portugal	320.9
ES421	ES422	159.8
ES421	ES423	120.1
ES421	ES521	128.3
ES421	ES523	119.0
ES421	ES614	202.1
ES421	ES616	156.0
ES421	ES620	101.9
ES422	ES423	176.7
ES422	ES425	100.1
ES422	ES431	202.1
ES422	ES613	134.7
ES422	ES616	106.1
ES423	ES424	108.6
ES423	ES425	168.2
ES423	ES523	134.1
ES425	ES431	208.6
ES425	ES432	171.6
ES431	ES432	111.4
ES431	ES613	141.1
ES431	ES615	140.8
ES431	ES618	147.7
ES431	Portugal	195.3
ES432	ES616	301.1
ES432	Portugal	180.1
ES511	ES512	72.5
ES511	ES513	84.9
ES511	ES514	119.8
ES512	ES513	133.8
ES512	France	456.9
ES513	ES514	107.8
ES513	France	474.2
ES514	ES522	125.3
ES521	ES523	98.9
ES521	ES620	96.4
ES522	ES523	111.8
ES523	ES532	322.7
ES611	ES614	82.3
ES611	ES620	116.7
ES612	ES615	148.0
ES612	ES617	96.0
ES612	ES618	98.7
ES613	ES614	155.5
ES613	ES616	119.2
ES613	ES617	131.7
ES613	ES618	99.0
ES614	ES616	80.2
ES614	ES617	141.8
ES614	ES620	174.2
ES615	ES618	102.0
ES615	Portugal	237.1
ES617	ES618	109.3
EU	France	396.0
EU	Italy	402.0
France	Italy	1107.0
ES113	ES111	124.1
ES422	ES432	219.3
ES618	ES422	232.4
ES213	France	520.6
ES511	Italy	877.1
ES523	Italy	1160.1
