Node	Generator	Period	genInstalledCap
ES111	Bio	1	143.50900050505805
ES111	Bio	2	120.47125581440181
ES111	BioCCS	1	9.297193415100396e-05
ES111	BioCCS	2	9.370924002946952e-05
ES111	Coal	1	816.762
ES111	Coal	2	646.9291877357606
ES111	CoalCCS	1	0.0
ES111	CoalCCS	2	2.4384607458499136e-08
ES111	GasCCGT	1	1129.2600000551365
ES111	GasCCGT	2	946.0320186414539
ES111	GasCCS	1	2.113420614376047e-06
ES111	GasCCS	2	2.119820511804023e-06
ES111	GasOCGT	1	214.06000210949475
ES111	GasOCGT	2	183.20732389572981
ES111	Hydroregulated	1	334.09400053183515
ES111	Hydroregulated	2	334.0940006559231
ES111	Hydrorun-of-the-river	1	0.0
ES111	Hydrorun-of-the-river	2	0.0
ES111	Lignite	1	1.2902890016851543e-05
ES111	Lignite	2	1.771446590807355e-05
ES111	Oil	1	249.09700010385495
ES111	Oil	2	196.36181254273652
ES111	Solar	1	0.0
ES111	Solar	2	0.0
ES111	Waste	1	110.73000022028499
ES111	Waste	2	110.73001349055714
ES111	Windonshore	1	3203.6489983326555
ES111	Windonshore	2	3203.648998327042
ES112	BioCCS	1	0.00014237029465898345
ES112	BioCCS	2	0.00014311198862110148
ES112	CoalCCS	1	0.0
ES112	CoalCCS	2	0.0
ES112	GasCCS	1	2.118213615099777e-06
ES112	GasCCS	2	2.1241385878965666e-06
ES112	GasOCGT	1	98.87900064553554
ES112	GasOCGT	2	84.62747343596828
ES112	Hydroregulated	1	461.2390000688915
ES112	Hydroregulated	2	461.2390002202607
ES112	Hydrorun-of-the-river	1	7.650995534852102
ES112	Hydrorun-of-the-river	2	7.650995739352382
ES112	Lignite	1	1.2962610379735415e-05
ES112	Lignite	2	1.7818668579479358e-05
ES112	Solar	1	1.4380002788888622
ES112	Solar	2	1.3853252583971265
ES112	Waste	1	0.00012560792181793505
ES112	Waste	2	0.00017280489869188679
ES112	Windonshore	1	4127.609987669221
ES112	Windonshore	2	4127.609988515103
ES113	BioCCS	1	0.00012266833231297655
ES113	BioCCS	2	0.00012321056308561541
ES113	CoalCCS	1	0.0
ES113	CoalCCS	2	0.0
ES113	GasCCS	1	2.116904462914727e-06
ES113	GasCCS	2	2.123130332713362e-06
ES113	GasOCGT	1	145.0700003976058
ES113	GasOCGT	2	124.16091926030855
ES113	Hydroregulated	1	2625.4110000896367
ES113	Hydroregulated	2	2625.411000097593
ES113	Hydrorun-of-the-river	1	506.93700065378295
ES113	Hydrorun-of-the-river	2	506.93700093295195
ES113	Lignite	1	1.2947965443173389e-05
ES113	Lignite	2	1.780778092812643e-05
ES113	Solar	1	0.0
ES113	Solar	2	0.0
ES113	Waste	1	0.00011359152910774123
ES113	Waste	2	0.0001502430659692465
ES113	Windonshore	1	526.555
ES113	Windonshore	2	421.5036773874219
ES114	BioCCS	1	0.00017363170466120102
ES114	BioCCS	2	0.00017457410524767235
ES114	CoalCCS	1	0.0
ES114	CoalCCS	2	0.0
ES114	GasCCS	1	2.1198593818777457e-06
ES114	GasCCS	2	2.1254421738487787e-06
ES114	GasOCGT	1	28.1170000211115
ES114	GasOCGT	2	24.06446930440701
ES114	Lignite	1	1.2984649713167027e-05
ES114	Lignite	2	1.785607028110542e-05
ES114	Solar	1	8.630000028189178
ES114	Solar	2	8.313862209746189
ES114	Waste	1	0.00014534869212181226
ES114	Waste	2	0.0001985052792100858
ES114	Windonshore	1	519.6140000497002
ES114	Windonshore	2	697.655973771227
ES120	Bio	1	110.50200024303068
ES120	Bio	2	92.76292534205575
ES120	BioCCS	1	0.00035903260384092026
ES120	BioCCS	2	0.00035941124680838717
ES120	Coal	1	1462.394
ES120	Coal	2	1158.3121675198392
ES120	CoalCCS	1	0.0
ES120	CoalCCS	2	2.4732781553458753e-08
ES120	GasCCGT	1	779.474000170877
ES120	GasCCGT	2	653.0005160956172
ES120	GasCCS	1	2.1231976318774146e-06
ES120	GasCCS	2	2.1285824179412043e-06
ES120	GasOCGT	1	162.9320003275343
ES120	GasOCGT	2	139.44845152658192
ES120	Hydroregulated	1	328.6840004798639
ES120	Hydroregulated	2	328.68400064408763
ES120	Hydrorun-of-the-river	1	0.0
ES120	Hydrorun-of-the-river	2	0.0
ES120	Lignite	1	1.2995066612366998e-05
ES120	Lignite	2	1.7909716154539687e-05
ES120	Solar	1	0.00021092010177947379
ES120	Solar	2	0.000302209325001464
ES120	Waste	1	85.26200000550786
ES120	Waste	2	85.2620175928379
ES120	Windonshore	1	587.045
ES120	Windonshore	2	469.9255090417612
ES130	BioCCS	1	0.00017976403049601233
ES130	BioCCS	2	0.00018157431859632222
ES130	CoalCCS	1	0.0
ES130	CoalCCS	2	0.0
ES130	GasCCGT	1	35.51100000169921
ES130	GasCCGT	2	29.74916588419248
ES130	GasCCS	1	2.1206908839345136e-06
ES130	GasCCS	2	2.1261928308415786e-06
ES130	GasOCGT	1	30.0950000026297
ES130	GasOCGT	2	25.757378160586416
ES130	Lignite	1	1.2965026340408484e-05
ES130	Lignite	2	1.7874687599339176e-05
ES130	Oil	1	236.64200009546903
ES130	Oil	2	186.54360368995418
ES130	Solar	1	37.902000606914456
ES130	Solar	2	36.51355668087017
ES130	Waste	1	0.00015003792651819282
ES130	Waste	2	0.00019304067635727158
ES130	Windonshore	1	401.61000015737875
ES130	Windonshore	2	321.48605938109915
ES211	BioCCS	1	0.00013800608165806476
ES211	BioCCS	2	0.00013868224586698289
ES211	CoalCCS	1	0.0
ES211	CoalCCS	2	0.0
ES211	GasCCGT	1	41.72600004289815
ES211	GasCCGT	2	34.95575162382141
ES211	GasCCS	1	2.1192559742539442e-06
ES211	GasCCS	2	2.124960303492357e-06
