Node	Generator	Period	genInvCap
ES111	Bio	1	3.356021191472722e-09
ES111	Bio	2	4.092932593035896e-07
ES111	BioCCS	1	5.980410594995251e-05
ES111	BioCCS	2	3.0258289707414783e-05
ES111	Coal	1	0.0
ES111	Coal	2	3.40883643073959e-10
ES111	CoalCCS	1	0.0
ES111	CoalCCS	2	1.0998057704995834e-08
ES111	GasCCGT	1	3.0518567894531797e-09
ES111	GasCCGT	2	2.2736409463351708e-07
ES111	GasCCS	1	1.0277871156449382e-06
ES111	GasCCS	2	4.4946545314791355e-09
ES111	GasOCGT	1	5.8072597737076994e-08
ES111	GasOCGT	2	9.01230826258696e-08
ES111	Hydroregulated	1	1.870250798674533e-08
ES111	Hydroregulated	2	9.980394667086001e-09
ES111	Hydrorun-of-the-river	1	0.0
ES111	Hydrorun-of-the-river	2	0.0
ES111	Lignite	1	5.9654058649982366e-06
ES111	Lignite	2	2.1459031144373796e-06
ES111	Oil	1	2.442445376126143e-09
ES111	Oil	2	2.4215478956150827e-08
ES111	Solar	1	0.0
ES111	Solar	2	0.0
ES111	Waste	1	1.3875954044369071e-05
ES111	Waste	2	1.1664447220894382e-06
ES111	Windonshore	1	1570.7619996640485
ES111	Windonshore	2	325.77212065766275
ES112	BioCCS	1	0.00011567757391377264
ES112	BioCCS	2	7.47926503316212e-05
ES112	CoalCCS	1	0.0
ES112	CoalCCS	2	0.0
ES112	GasCCS	1	1.0293795033432261e-06
ES112	GasCCS	2	4.452158571912907e-09
ES112	GasOCGT	1	1.1849480552694797e-07
ES112	GasOCGT	2	1.1546529018644282e-07
ES112	Hydroregulated	1	3.6759502108907327e-09
ES112	Hydroregulated	2	3.681587436984644e-08
ES112	Hydrorun-of-the-river	1	2.555998636599563
ES112	Hydrorun-of-the-river	2	2.1576051436593582e-07
ES112	Lignite	1	5.987503098854743e-06
ES112	Lignite	2	2.1538767323307754e-06
ES112	Solar	1	7.191217710200704e-08
ES112	Solar	2	7.153746109065885e-08
ES112	Waste	1	7.721178825079235e-05
ES112	Waste	2	0.00014033157752221372
ES112	Windonshore	1	2601.491990421235
ES112	Windonshore	2	304.47098057259905
ES113	BioCCS	1	9.045520847685324e-05
ES113	BioCCS	2	5.7774704582042835e-05
ES113	CoalCCS	1	0.0
ES113	CoalCCS	2	0.0
ES113	GasCCS	1	1.0278314787213485e-06
ES113	GasCCS	2	4.427258257552059e-09
ES113	GasOCGT	1	1.0386154007472928e-07
ES113	GasOCGT	2	2.856069182750212e-07
ES113	Hydroregulated	1	2.2560925572179258e-08
ES113	Hydroregulated	2	5.17320598643695e-09
ES113	Hydrorun-of-the-river	1	9.584255167283118e-08
ES113	Hydrorun-of-the-river	2	2.4255411212894862e-08
ES113	Lignite	1	5.985552167243076e-06
ES113	Lignite	2	2.1610841388942417e-06
ES113	Solar	1	0.0
ES113	Solar	2	0.0
ES113	Waste	1	6.624662929722344e-05
ES113	Waste	2	0.00010139478366960275
ES113	Windonshore	1	0.0
ES113	Windonshore	2	0.0
ES114	BioCCS	1	0.0001441043355851554
ES114	BioCCS	2	0.00026822409405970443
ES114	CoalCCS	1	0.0
ES114	CoalCCS	2	0.0
ES114	GasCCS	1	1.0299117788320371e-06
ES114	GasCCS	2	4.4538137299660536e-09
ES114	GasOCGT	1	7.000358200067214e-08
ES114	GasOCGT	2	9.41390493027067e-09
ES114	Lignite	1	5.9950684277899416e-06
ES114	Lignite	2	2.1630526085806145e-06
ES114	Solar	1	4.528402399728293e-07
ES114	Solar	2	1.1349719618822958e-07
ES114	Waste	1	8.544913893350155e-05
ES114	Waste	2	0.0003616128708881247
ES114	Windonshore	1	1.9624292235675966e-07
ES114	Windonshore	2	4.575008125902525e-07
ES120	Bio	1	1.3084258578817547e-07
ES120	Bio	2	2.0503396708905532e-07
ES120	BioCCS	1	38.194815367589214
ES120	BioCCS	2	72.97243564146424
ES120	Coal	1	0.0
ES120	Coal	2	8.671029854526603e-10
ES120	CoalCCS	1	0.0
ES120	CoalCCS	2	1.2026345858888815e-08
ES120	GasCCGT	1	7.037017941262604e-08
ES120	GasCCGT	2	2.029941519861831e-07
ES120	GasCCS	1	1.0313945678735579e-06
ES120	GasCCS	2	4.432468418212409e-09
ES120	GasOCGT	1	8.681856597539484e-08
ES120	GasOCGT	2	2.1114847756512028e-07
ES120	Hydroregulated	1	2.37143410686258e-07
ES120	Hydroregulated	2	1.1217019505723623e-08
ES120	Hydrorun-of-the-river	1	0.0
ES120	Hydrorun-of-the-river	2	0.0
ES120	Lignite	1	6.011395724100218e-06
ES120	Lignite	2	2.163031003195985e-06
ES120	Solar	1	0.00015745424836030624
ES120	Solar	2	4.2725410739442495e-07
ES120	Waste	1	7.623377260614832e-05
ES120	Waste	2	168.05667713555835
ES120	Windonshore	1	0.0
ES120	Windonshore	2	2.2769404495193157e-07
ES130	BioCCS	1	0.00016657825119994587
ES130	BioCCS	2	7.177282362451953e-06
ES130	CoalCCS	1	0.0
ES130	CoalCCS	2	0.0
ES130	GasCCGT	1	3.8399956320416165e-08
ES130	GasCCGT	2	8.591559869398353e-09
ES130	GasCCS	1	1.0296717693664991e-06
ES130	GasCCS	2	4.413716894665696e-09
ES130	GasOCGT	1	2.8497549057597876e-08
ES130	GasOCGT	2	9.628027494915773e-09
ES130	Lignite	1	5.992721892292821e-06
ES130	Lignite	2	2.1739631614800495e-06
ES130	Oil	1	5.559043822075544e-10
ES130	Oil	2	3.2331554166042265e-08
ES130	Solar	1	5.907647704361807e-08
ES130	Solar	2	1.191451166737065e-07
ES130	Waste	1	9.642846237985384e-05
ES130	Waste	2	9.401929669928124e-05
ES130	Windonshore	1	4.390713570501248e-07
ES130	Windonshore	2	7.957127670096267e-07
ES211	BioCCS	1	0.00011016345599515691
ES211	BioCCS	2	3.3595463290630464e-06
ES211	CoalCCS	1	0.0
ES211	CoalCCS	2	0.0
ES211	GasCCGT	1	9.093881858981517e-08
ES211	GasCCGT	2	1.1362781505061717e-08
ES211	GasCCS	1	1.0287483277135317e-06
ES211	GasCCS	2	4.4041397810018575e-09
ES211	GasOCGT	1	3.8027230016817976e-09
ES211	GasOCGT	2	9.783735408179422e-09
ES211	Lignite	1	5.9831858024610025e-06
ES211	Lignite	2	2.1832051341108867e-06
ES211	Solar	1	2.734485105015949e-08
ES211	Solar	2	1.209207087710692e-07
ES211	Waste	1	7.85921954297195e-05
ES211	Waste	2	4.8375765485541826e-05
ES211	Windonshore	1	3.1033448522066465e-07
ES211	Windonshore	2	3.4899077671229755e-07
ES212	BioCCS	1	8.130663735612824e-05
ES212	BioCCS	2	4.904934718229655e-06
ES212	CoalCCS	1	0.0
ES212	CoalCCS	2	0.0
ES212	GasCCGT	1	8.853453207400671e-08
ES212	GasCCGT	2	7.432329194541983e-09
ES212	GasCCS	1	1.0280981977728863e-06
ES212	GasCCS	2	4.42385240372061e-09
ES212	GasOCGT	1	1.6746018656081726e-08
