Generator,Period,InvestmentCost_EurperMW
Lignite,1,1204661.1680419852
Lignite,2,664073.0234970851
LigniteCCS,1,2633042.1077654813
LigniteCCS,2,1598275.1671014624
Coal,1,1085692.3126984688
Coal,2,597368.7286119221
CoalCCS,1,2407483.652697943
CoalCCS,2,1433133.2455441658
GasOCGT,1,601626.4678127238
GasOCGT,2,330004.0381460172
GasCCGT,1,769173.6934474595
GasCCGT,2,419065.5135962523
GasCCS,1,2011093.7539035743
GasCCS,2,1157608.4651546692
Oil,1,5009831.396931189
Oil,2,2808096.7260769485
Nuclear,1,3515694.5121112177
Nuclear,2,1959839.4594026962
Wave,1,1729963.515955288
Wave,2,769369.9236517356
Geo,1,1768903.6983151808
Geo,2,978198.223882776
Hydroregulated,1,1106224.6018782114
Hydroregulated,2,620245.7932358991
Hydrorun-of-the-river,1,820994.9808989317
Hydrorun-of-the-river,2,453127.382391377
Bio,1,1284390.1682440687
Bio,2,694489.9116550917
Windonshore,1,766873.4050617424
Windonshore,2,420662.43406813167
Windoffshoregrounded,1,1253254.35901363
Windoffshoregrounded,2,628422.8966228163
Windoffshorefloating,1,2306035.91273092
Windoffshorefloating,2,1154793.5113783053
Solar,1,331536.511200514
Solar,2,169752.68559796788
BioCCS,1,-862725.5426422697
BioCCS,2,-2001090.7933130416
Waste,1,1744742.0267371058
Waste,2,936594.5816108879
