Generator,Period,MarginalCost_EurperMWh
Lignite,1,14.44092641526996
Lignite,2,13.5553349298168
LigniteCCS,1,22.999871014329692
LigniteCCS,2,21.886041306799246
Coal,1,18.54467126483238
Coal,2,16.466085445857377
CoalCCS,1,28.258808477567527
CoalCCS,2,25.848733851610046
GasOCGT,1,40.220123793573485
GasOCGT,2,40.112405869848224
GasCCGT,1,30.833020977595385
GasCCGT,2,30.59497284918374
GasCCS,1,35.03639827967551
GasCCS,2,34.750963819750744
Oil,1,114.81449329939417
Oil,2,108.4312431147058
Nuclear,1,14.27877999837576
Nuclear,2,14.27877999837576
Wave,1,0.104048964
Wave,2,0.104048964
Geo,1,0.1299999996
Geo,2,0.1299999996
Hydroregulated,1,0.320256
Hydroregulated,2,0.320256
Hydrorun-of-the-river,1,0.0036
Hydrorun-of-the-river,2,0.0036
Bio,1,50.69862085846156
Bio,2,53.085247496761674
Windonshore,1,0.18
Windonshore,2,0.18
Windoffshoregrounded,1,0.39312
Windoffshoregrounded,2,0.39312
Windoffshorefloating,1,0.39312
Windoffshorefloating,2,0.39312
Solar,1,0.0036
Solar,2,0.0036
BioCCS,1,19.00270176350907
BioCCS,2,21.76991399377705
Waste,1,2.952
Waste,2,2.952
