Period,Scenario,AnnualCO2emission_Ton,CO2Price_EuroPerTon,CO2Cap_Ton,AnnualGeneration_GWh,AvgCO2factor_TonPerMWh,AvgELPrice_EuroPerMWh,TotAnnualCurtailedRES_GWh,TotAnnualLossesChargeDischarge_GWh,AnnualLossesTransmission_GWh
2020-2025,scenario1,277793516.68461174,-19.507570019675523,277793516.6828219,3400897.795175193,0.08168240665117989,33.10516048000262,15039.750654286318,20524.475347659,12734.177621334731
2020-2025,scenario2,277793516.6842118,-10.118299639243633,277793516.6828219,3321662.019167183,0.08363087968650396,22.57901155197799,21593.62845588413,23778.717503012085,14126.504848119857
2020-2025,scenario3,277793516.6829025,-31.741923109062473,277793516.6828219,3316347.6295618243,0.08376489672150843,37.8962341899785,10655.423318755073,20531.873598532216,13210.06629762238
2020-2025,scenario4,277793516.684619,-28.061842346757828,277793516.6828219,3319110.889060668,0.0836951599297872,29.409113230652768,13817.253653870575,18152.08248863633,14897.060358115841
2020-2025,scenario5,277793516.6843421,-38.88707526166288,277793516.6828219,3291287.6012343164,0.08440268683301135,40.75878261547196,11561.315186569,17053.38793703915,12287.538824607042
2020-2025,scenario6,277793516.684473,-10.118299637207219,277793516.6828219,3324166.131935343,0.08356788008147593,28.661479442432228,19977.845162612586,20457.467762545137,11754.613242528609
2020-2025,scenario7,277793516.68442327,-26.954351092162536,277793516.6828219,3426761.78723884,0.08106589659045048,37.325753860478315,9533.142252371306,18209.761181181962,11650.149329933138
2020-2025,scenario8,277793516.68133694,-377.2131080310035,277793516.6828219,3441959.0097466377,0.08070796772845866,191.86432958407144,10034.432696048561,23323.968492858457,13970.722823450773
2020-2025,scenario9,277793516.6844655,-10.11829963800035,277793516.6828219,3295846.273586883,0.08428594467852527,32.90860247923022,19762.333184749816,19720.880579117496,11336.174899079193
2020-2025,scenario10,277793516.68460566,-17.471979052515184,277793516.6828219,3192977.477183611,0.08700140187948607,26.085936738766037,20925.79498146697,17911.776078335188,13395.537127602765
2025-2030,scenario1,107201247.16212206,-9.442491923427706,107201247.1604745,3617240.1408242295,0.029636198590259538,20.985915383774195,17653.333130713923,26882.7696924744,16512.70995570448
2025-2030,scenario2,107201247.16212049,-9.442491915987828,107201247.1604745,3569649.7061039032,0.030031307267717702,80.5524079323825,22296.628272294784,28059.024740685112,17938.233649120273
2025-2030,scenario3,107201247.16223727,-21.82444762170252,107201247.1604745,3749643.57564284,0.02858971659562447,25.001912731769433,17082.105133482877,25534.998376151874,17871.071228594195
2025-2030,scenario4,107201247.16195144,-16.05353065235561,107201247.1604745,3715154.9243401187,0.028855121615417492,25.560993614987332,14522.140095747083,25664.87746300059,16999.989231536914
2025-2030,scenario5,107201247.16244954,-256.8413247606851,107201247.1604745,3816856.0750608435,0.02808626918444878,211.6288909801115,8032.892267976797,28864.725333201623,17539.857394252027
2025-2030,scenario6,107201247.16205458,-28.658911739884747,107201247.1604745,3823701.6926941187,0.02803598600980621,27.021640678779114,14897.57246449418,20080.355732239364,18008.446421695327
2025-2030,scenario7,107201247.16207883,-9.44249206369398,107201247.1604745,3548508.500892308,0.030210226954542306,22.4563762954608,23718.881858342353,28063.348871159134,17265.46451353769
2025-2030,scenario8,107201247.16198133,-16.05353066378156,107201247.1604745,3740962.317546397,0.02865606174624336,24.88050275586669,37353.626034562745,25215.371754660428,16672.259472792928
2025-2030,scenario9,107201247.16203308,-28.65891174010984,107201247.1604745,3761560.9106402053,0.02849913897679774,28.839104200496656,15493.754952577097,21508.983121067722,17155.298660554345
2025-2030,scenario10,107201247.16201593,-26.629547350930448,107201247.1604745,3538696.2929893164,0.03029399481792181,30.180621484411354,20408.21071834232,23757.665091847266,17064.80461392709
""
GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,TotDiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
Lignite,2020-2025,0.0006130302923705322,52316.56061303029,738.4937880522051,1181.1463059248467
Lignite,2025-2030,0.00023447904982400793,32369.451577249587,122.00380867239281,576.6152941990404
LigniteCCS,2020-2025,1.9900607031813947e-06,1.9900607031813947e-06,5.239913628485995,7.2137430617608705e-06
LigniteCCS,2025-2030,3.007493530806098e-08,2.011040823083068e-06,0.03766255320722524,7.245541979064008e-06
Coal,2020-2025,0.0,61704.909999999996,0.0,19836.27720447194
Coal,2025-2030,3.532804686755245e-08,48874.34443022673,0.016535434704763433,19069.278303997573
CoalCCS,2020-2025,0.0,0.0,0.0,0.0
CoalCCS,2025-2030,1.8666345485324132e-07,1.222999345103393e-07,0.2096039077414099,8.782098347667104e-07
GasOCGT,2020-2025,1.973838537275915e-05,42023.58701973839,11.875135072139418,2229.9610065474085
GasOCGT,2025-2030,2.9908984822018357e-05,35966.68614789574,7.733470464605252,2249.881385604935
GasCCGT,2020-2025,1.2035444202686602e-05,184781.34401203546,9.257347069661268,389032.52531606884
GasCCGT,2025-2030,2.0038800895513253e-05,154799.6633252531,6.579716134645094,347172.3192891306
GasCCS,2020-2025,0.00010812267882582959,0.00010812267882582959,217.4448440419481,0.0003844451613348126
GasCCS,2025-2030,1.3194126729005572e-06,0.00010848957956275847,1.1967290949421932,0.000383713355615127
Oil,2020-2025,5.280721089950086e-06,14774.309005280724,26.45552231486863,7.577833158800749e-05
Oil,2025-2030,7.050631635046361e-06,11646.507522244352,15.512921437465524,18.14021943054355
Nuclear,2020-2025,4.434081074817385e-05,103746.80004434081,155.88874500991687,672369.4702707666
Nuclear,2025-2030,2490.0000162355104,95494.48513147746,3823607916.244348,579514.3619701107
Wave,2020-2025,4.3568689366608164e-05,251.09004356868937,75.37224304222123,1011.7917465297757
Wave,2025-2030,2055.9999439758208,2307.0899874897673,1239400902.1223714,9296.647278413651
Geo,2020-2025,1088.2999970688845,2042.0999970688845,1925097889.69155,15937.851323941712
Geo,2025-2030,9.307200890338367e-08,2042.099997125564,0.0713344738947381,15929.702073745368
Hydroregulated,2020-2025,4.059103645204232e-06,96552.0390040591,4.490280313898448,222400.69312495514
Hydroregulated,2025-2030,3.108622443570808e-06,96552.03900680278,1.5107246316452947,223465.87425996352
Hydrorun-of-the-river,2020-2025,14802.147542143943,74426.90654214394,12152488838.625635,289916.5146492476
Hydrorun-of-the-river,2025-2030,7.545751301771306e-06,74426.90654921542,2.679022118638462,294199.9070605125
Bio,2020-2025,6.458843319308474e-06,32864.97000645884,8.29567485754869,52050.81745036773
Bio,2025-2030,39995.96829805204,67585.06847729777,21763846870.485527,99190.54476693712
Windonshore,2020-2025,248071.83510456403,465495.005104564,190239692886.55206,968482.7199641787
Windonshore,2025-2030,7202.554667955163,429320.1508086247,2373962193.887607,888101.3498546374
Windoffshoregrounded,2020-2025,2.6253703708789544e-06,45085.90000262537,3.29025686132928,140256.4536209575
Windoffshoregrounded,2025-2030,80218.57151273257,125304.47151517545,39498484154.41317,408547.77825621027
Windoffshorefloating,2020-2025,4.011141763504442e-05,4.011141763504442e-05,92.4983695769608,9.804473383945791e-05
Windoffshorefloating,2025-2030,2.426192559317098e-05,6.41908650630682e-05,21.95245553313169,0.00015935059797411854
Solar,2020-2025,199562.79946669497,415716.9584666949,66162354300.59583,498399.5919572136
Solar,2025-2030,156691.89046016397,564490.5879298248,20840910030.019672,699503.6962428982
BioCCS,2020-2025,1118.484890009621,1118.484890009621,-964945483.6707296,8818.133577930514
BioCCS,2025-2030,5414.330963575443,6532.815849430826,-8489167407.494024,51504.71856051185
Waste,2020-2025,129.75620584617084,6961.075205846171,226391105.5697652,51177.713304467536
Waste,2025-2030,168.09478380000292,7129.169988770277,123355745.57368597,49856.59830614807
""
