Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh
ES111,Hydrorun-of-the-river,2020-2025,0.0
ES111,Hydrorun-of-the-river,2025-2030,0.0
ES112,Hydrorun-of-the-river,2020-2025,3.9502821840627522
ES112,Hydrorun-of-the-river,2025-2030,4.116393920667272
ES113,Hydrorun-of-the-river,2020-2025,1634.8310245384378
ES113,Hydrorun-of-the-river,2025-2030,1647.575352320517
ES120,Hydrorun-of-the-river,2020-2025,0.0
ES120,Hydrorun-of-the-river,2025-2030,0.0
ES213,Hydrorun-of-the-river,2020-2025,0.0
ES213,Hydrorun-of-the-river,2025-2030,0.0
ES230,Hydrorun-of-the-river,2020-2025,0.0004201017884711929
ES230,Hydrorun-of-the-river,2025-2030,0.000540304838424908
ES241,Hydrorun-of-the-river,2020-2025,671.0417381706284
ES241,Hydrorun-of-the-river,2025-2030,643.0565470656379
ES243,Hydrorun-of-the-river,2020-2025,45.99514251876373
ES243,Hydrorun-of-the-river,2025-2030,48.19796256047463
ES413,Hydrorun-of-the-river,2020-2025,117.88292779961887
ES413,Hydrorun-of-the-river,2025-2030,119.49151267199326
ES415,Hydrorun-of-the-river,2020-2025,0.0
ES415,Hydrorun-of-the-river,2025-2030,0.0
ES418,Hydrorun-of-the-river,2020-2025,0.0004152678477281337
ES418,Hydrorun-of-the-river,2025-2030,0.0005453271626064987
ES419,Hydrorun-of-the-river,2020-2025,0.0
ES419,Hydrorun-of-the-river,2025-2030,0.0
ES425,Hydrorun-of-the-river,2020-2025,0.0
ES425,Hydrorun-of-the-river,2025-2030,0.0
ES431,Hydrorun-of-the-river,2020-2025,0.0
ES431,Hydrorun-of-the-river,2025-2030,0.0
ES432,Hydrorun-of-the-river,2020-2025,0.0
ES432,Hydrorun-of-the-river,2025-2030,0.0
ES511,Hydrorun-of-the-river,2020-2025,0.0003968169350111275
ES511,Hydrorun-of-the-river,2025-2030,0.0004981467480200817
ES512,Hydrorun-of-the-river,2020-2025,0.0003765734263537503
ES512,Hydrorun-of-the-river,2025-2030,0.00047496338019727136
ES513,Hydrorun-of-the-river,2020-2025,5.579775018868358
ES513,Hydrorun-of-the-river,2025-2030,5.032244847055708
ES514,Hydrorun-of-the-river,2020-2025,0.0
ES514,Hydrorun-of-the-river,2025-2030,0.0
ES523,Hydrorun-of-the-river,2020-2025,0.0
ES523,Hydrorun-of-the-river,2025-2030,0.0
ES613,Hydrorun-of-the-river,2020-2025,0.000479158831903817
ES613,Hydrorun-of-the-river,2025-2030,0.0006606678361529528
ES614,Hydrorun-of-the-river,2020-2025,0.0005295123543050933
ES614,Hydrorun-of-the-river,2025-2030,0.0007352476789543872
ES615,Hydrorun-of-the-river,2020-2025,0.0004647519904757973
ES615,Hydrorun-of-the-river,2025-2030,0.0006262720295173571
ES616,Hydrorun-of-the-river,2020-2025,0.0005202571824619496
ES616,Hydrorun-of-the-river,2025-2030,0.0007134095512431552
ES617,Hydrorun-of-the-river,2020-2025,0.0005101325788103996
ES617,Hydrorun-of-the-river,2025-2030,0.0007016176264992347
ES618,Hydrorun-of-the-river,2020-2025,0.0005198034403699085
ES618,Hydrorun-of-the-river,2025-2030,0.0007140610413937417
EU,Hydrorun-of-the-river,2020-2025,0.0002427818286173276
EU,Hydrorun-of-the-river,2025-2030,0.00044729289645497304
France,Hydrorun-of-the-river,2020-2025,7.856623714192505e-05
France,Hydrorun-of-the-river,2025-2030,0.00014058446488813452
Italy,Hydrorun-of-the-river,2020-2025,5128.520436861657
Italy,Hydrorun-of-the-river,2025-2030,7262.10213340374
Portugal,Hydrorun-of-the-river,2020-2025,0.00043464540517967247
Portugal,Hydrorun-of-the-river,2025-2030,0.0005623926119093759
ES111,Windonshore,2020-2025,278.45161679777345
ES111,Windonshore,2025-2030,334.72754557102866
ES112,Windonshore,2020-2025,113.45164722397368
ES112,Windonshore,2025-2030,126.50780764197911
ES113,Windonshore,2020-2025,7.996909757125713
ES113,Windonshore,2025-2030,18.300869165057385
ES114,Windonshore,2020-2025,3.6146882398185163
ES114,Windonshore,2025-2030,16.73474121986659
ES120,Windonshore,2020-2025,0.005392462099754103
ES120,Windonshore,2025-2030,0.05731894265450828
ES130,Windonshore,2020-2025,0.007578741380556595
ES130,Windonshore,2025-2030,0.029097904090451085
ES211,Windonshore,2020-2025,0.007785134546807333
ES211,Windonshore,2025-2030,0.01978040537909019
ES212,Windonshore,2020-2025,0.0037480665385307083
ES212,Windonshore,2025-2030,0.004415432871822535
ES213,Windonshore,2020-2025,0.006697004176420717
ES213,Windonshore,2025-2030,0.004724755355971864
ES220,Windonshore,2020-2025,0.006506044410752433
ES220,Windonshore,2025-2030,0.4522174432022062
ES230,Windonshore,2020-2025,1.0812320875213381
