Node,StorageType,Period,storPWInvCap_MW,storPWInstalledCap_MW,storENInvCap_MWh,storENInstalledCap_MWh,DiscountedInvestmentCostPWEN_EuroPerMWMWh,ExpectedAnnualDischargeVolume_GWh,ExpectedAnnualLossesChargeDischarge_GWh
ES111,HydroPumpStorage,2020-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES111,HydroPumpStorage,2025-2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES111,Li-Ion_BESS,2020-2025,0.00020625208735570254,0.00020625208735570254,0.00041250417471140507,0.00041250417471140507,92.58082718919354,0.0006100534149497882,2.149114194458151e-05
ES111,Li-Ion_BESS,2025-2030,0.001616323252775711,0.0018225662162233626,0.003232646505551714,0.0036451324324467253,251.74622597766134,0.0035036468084702578,0.00012342786550335086
ES112,HydroPumpStorage,2020-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES112,HydroPumpStorage,2025-2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES112,Li-Ion_BESS,2020-2025,0.0002117411163203511,0.0002117411163203511,0.0004234822326407022,0.0004234822326407022,95.04469966936,0.0006209250604908232,2.1874117778549155e-05
ES112,Li-Ion_BESS,2025-2030,0.002431540733545822,0.002643272725957817,0.004863081467091277,0.005286545451915634,378.7183052213408,0.004685090881571736,0.00016504825307421672
ES113,HydroPumpStorage,2020-2025,7.958523156048614e-07,326.0000007958523,2.054388460237533e-06,61011.399002054386,0.7016783072797697,685.3026513112246,144.67500416350296
ES113,HydroPumpStorage,2025-2030,2.731520243249757e-07,326.00000105988045,1.0305672269492648e-07,61011.399002139195,0.09896475844490397,804.52951763163,169.84512038787685
ES113,Li-Ion_BESS,2020-2025,0.0002042616981269571,0.0002042616981269571,0.0004085233962539142,0.0004085233962539142,91.6873968070422,0.000591679800650183,2.0843822066980776e-05
ES113,Li-Ion_BESS,2025-2030,0.0024082226033376275,0.002612475177556591,0.004816445206675378,0.005224950355113182,375.08645047529586,0.004506067577828324,0.0001587414836909164
ES114,HydroPumpStorage,2020-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES114,HydroPumpStorage,2025-2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES114,Li-Ion_BESS,2020-2025,0.00021301891784244952,0.00021301891784244952,0.00042603783568489903,0.00042603783568489903,95.61826924344854,0.000621954030002624,2.191036047683755e-05
ES114,Li-Ion_BESS,2025-2030,0.0025259808504647665,0.0027389906443988973,0.005051961700929444,0.0054779812887977945,393.4275800983938,0.004721544890675918,0.00016633246051013468
ES120,HydroPumpStorage,2020-2025,5.245982492851908e-08,187.00000005245982,2.2698077373206615e-07,34997.336000226984,0.04861833947353092,384.27851432955504,81.12546413414226
ES120,HydroPumpStorage,2025-2030,7.177182594278111e-07,187.00000076105417,1.225865261509122e-07,34997.33600033132,0.25835155261433973,449.6352481727524,94.92299683574052
ES120,Li-Ion_BESS,2020-2025,0.00021278623993117868,0.00021278623993117868,0.00042557247986235735,0.00042557247986235735,95.51382659867201,0.0006162359212708229,2.1708901153896316e-05
ES120,Li-Ion_BESS,2025-2030,0.0038123095568702407,0.0040250866728933936,0.007624619113740942,0.008050173345786787,593.776363454827,0.00653451114475497,0.00023020040672336466
ES130,HydroPumpStorage,2020-2025,1.1912316040252335e-06,546.0000011912316,1.7578713595867157e-07,102184.73500017579,0.9753510003741163,1113.8186611096432,235.1394951213042
ES130,HydroPumpStorage,2025-2030,1.152769969944082e-06,546.0000023348776,2.0274520577861435e-07,102184.7350003603,0.41502022158715074,1298.2017873083107,274.06482176374897
ES130,Li-Ion_BESS,2020-2025,0.00021258266135799485,0.00021258266135799485,0.0004251653227159897,0.0004251653227159897,95.4224458376577,0.0006210088324458253,2.187705711535194e-05
ES130,Li-Ion_BESS,2025-2030,0.0033510617221839444,0.0035636352596337345,0.006702123444368012,0.007127270519267469,521.9359061556748,0.006036713543615988,0.0002126637676033706
ES211,HydroPumpStorage,2020-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES211,HydroPumpStorage,2025-2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES211,Li-Ion_BESS,2020-2025,0.00021244335947845523,0.00021244335947845523,0.00042488671895691047,0.00042488671895691047,95.35991709721134,0.0006229387910193623,2.1945044885343263e-05
ES211,Li-Ion_BESS,2025-2030,0.003703862504982323,0.0039162967405527325,0.007407725009965064,0.007832593481105465,576.8854748381444,0.006592107772538462,0.00023222943145758857
ES212,HydroPumpStorage,2020-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES212,HydroPumpStorage,2025-2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES212,Li-Ion_BESS,2020-2025,0.00021116486127637136,0.00021116486127637136,0.0004223297225527427,0.0004223297225527427,94.78603480284846,0.0006194592805142498,2.1822468090309957e-05
ES212,Li-Ion_BESS,2025-2030,0.004567632311539098,0.00477878804890714,0.009135264623078386,0.00955757609781428,711.4196953541639,0.0077685166498672326,0.00027367246121125515
ES213,HydroPumpStorage,2020-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES213,HydroPumpStorage,2025-2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
