Node	Storage	Period	storENInstalledCap
ES111	HydroPumpStorage	1	0.0
ES111	HydroPumpStorage	2	0.0
ES111	Li-Ion_BESS	1	0.00041250417471140507
ES111	Li-Ion_BESS	2	0.0036451324324467253
ES112	HydroPumpStorage	1	0.0
ES112	HydroPumpStorage	2	0.0
ES112	Li-Ion_BESS	1	0.0004234822326407022
ES112	Li-Ion_BESS	2	0.005286545451915634
ES113	HydroPumpStorage	1	61011.399002054386
ES113	HydroPumpStorage	2	61011.399002139195
ES113	Li-Ion_BESS	1	0.0004085233962539142
ES113	Li-Ion_BESS	2	0.005224950355113182
ES114	HydroPumpStorage	1	0.0
ES114	HydroPumpStorage	2	0.0
ES114	Li-Ion_BESS	1	0.00042603783568489903
ES114	Li-Ion_BESS	2	0.0054779812887977945
ES120	HydroPumpStorage	1	34997.336000226984
ES120	HydroPumpStorage	2	34997.33600033132
ES120	Li-Ion_BESS	1	0.00042557247986235735
ES120	Li-Ion_BESS	2	0.008050173345786787
ES130	HydroPumpStorage	1	102184.73500017579
ES130	HydroPumpStorage	2	102184.7350003603
ES130	Li-Ion_BESS	1	0.0004251653227159897
ES130	Li-Ion_BESS	2	0.007127270519267469
ES211	HydroPumpStorage	1	0.0
ES211	HydroPumpStorage	2	0.0
ES211	Li-Ion_BESS	1	0.00042488671895691047
ES211	Li-Ion_BESS	2	0.007832593481105465
ES212	HydroPumpStorage	1	0.0
ES212	HydroPumpStorage	2	0.0
ES212	Li-Ion_BESS	1	0.0004223297225527427
ES212	Li-Ion_BESS	2	0.00955757609781428
ES213	HydroPumpStorage	1	0.0
ES213	HydroPumpStorage	2	0.0
ES213	Li-Ion_BESS	1	0.0004229361291824918
ES213	Li-Ion_BESS	2	0.0067520425458562384
ES220	HydroPumpStorage	1	0.0
ES220	HydroPumpStorage	2	0.0
ES220	Li-Ion_BESS	1	0.00042318854632121647
ES220	Li-Ion_BESS	2	0.007723780835467619
ES230	HydroPumpStorage	1	0.0
ES230	HydroPumpStorage	2	0.0
ES230	Li-Ion_BESS	1	0.0004265576975982857
ES230	Li-Ion_BESS	2	0.0076800488279105145
ES241	HydroPumpStorage	1	0.0
ES241	HydroPumpStorage	2	0.0
ES241	Li-Ion_BESS	1	0.0004162458507859639
ES241	Li-Ion_BESS	2	0.0057236140490424066
ES242	HydroPumpStorage	1	0.0
ES242	HydroPumpStorage	2	0.0
ES242	Li-Ion_BESS	1	0.000427709999341082
ES242	Li-Ion_BESS	2	0.010267334799924041
ES243	HydroPumpStorage	1	0.0
ES243	HydroPumpStorage	2	0.0
ES243	Li-Ion_BESS	1	0.00041996985320695443
ES243	Li-Ion_BESS	2	0.006598223719621003
ES300	HydroPumpStorage	1	0.0
ES300	HydroPumpStorage	2	0.0
ES300	Li-Ion_BESS	1	0.0004378837924125735
ES300	Li-Ion_BESS	2	0.03852190023427744
ES412	HydroPumpStorage	1	0.0
ES412	HydroPumpStorage	2	0.0
ES412	Li-Ion_BESS	1	0.00041862220939801505
ES412	Li-Ion_BESS	2	0.0054634188344911275
ES413	HydroPumpStorage	1	0.0
ES413	HydroPumpStorage	2	0.0
ES413	Li-Ion_BESS	1	0.0004246239421001594
ES413	Li-Ion_BESS	2	0.006057591944439926
ES414	HydroPumpStorage	1	0.0
ES414	HydroPumpStorage	2	0.0
ES414	Li-Ion_BESS	1	0.0004164439670002428
ES414	Li-Ion_BESS	2	0.005248587375280188
ES415	HydroPumpStorage	1	352967.786000047
ES415	HydroPumpStorage	2	352967.78600101854
ES415	Li-Ion_BESS	1	0.000414890507022608
ES415	Li-Ion_BESS	2	0.003865499307351297
ES416	HydroPumpStorage	1	0.0
ES416	HydroPumpStorage	2	0.0
ES416	Li-Ion_BESS	1	0.0004391211877800199
ES416	Li-Ion_BESS	2	0.02527654099675022
ES417	HydroPumpStorage	1	0.0
ES417	HydroPumpStorage	2	0.0
ES417	Li-Ion_BESS	1	0.000425292136822382
ES417	Li-Ion_BESS	2	0.007570647251040455
ES418	HydroPumpStorage	1	0.0
ES418	HydroPumpStorage	2	0.0
ES418	Li-Ion_BESS	1	0.0004257884854776075
ES418	Li-Ion_BESS	2	0.00866662042571795
ES419	HydroPumpStorage	1	0.0
ES419	HydroPumpStorage	2	0.0
ES419	Li-Ion_BESS	1	0.00041840569041970795
ES419	Li-Ion_BESS	2	0.0045835244996753795
ES421	HydroPumpStorage	1	0.0
ES421	HydroPumpStorage	2	0.0
ES421	Li-Ion_BESS	1	0.00043668865443082514
