Node	Storage	Period	storENInvCap
ES111	HydroPumpStorage	1	0.0
ES111	HydroPumpStorage	2	0.0
ES111	Li-Ion_BESS	1	0.00041250417471140507
ES111	Li-Ion_BESS	2	0.003232646505551714
ES112	HydroPumpStorage	1	0.0
ES112	HydroPumpStorage	2	0.0
ES112	Li-Ion_BESS	1	0.0004234822326407022
ES112	Li-Ion_BESS	2	0.004863081467091277
ES113	HydroPumpStorage	1	2.054388460237533e-06
ES113	HydroPumpStorage	2	1.0305672269492648e-07
ES113	Li-Ion_BESS	1	0.0004085233962539142
ES113	Li-Ion_BESS	2	0.004816445206675378
ES114	HydroPumpStorage	1	0.0
ES114	HydroPumpStorage	2	0.0
ES114	Li-Ion_BESS	1	0.00042603783568489903
ES114	Li-Ion_BESS	2	0.005051961700929444
ES120	HydroPumpStorage	1	2.2698077373206615e-07
ES120	HydroPumpStorage	2	1.225865261509122e-07
ES120	Li-Ion_BESS	1	0.00042557247986235735
ES120	Li-Ion_BESS	2	0.007624619113740942
ES130	HydroPumpStorage	1	1.7578713595867157e-07
ES130	HydroPumpStorage	2	2.0274520577861435e-07
ES130	Li-Ion_BESS	1	0.0004251653227159897
ES130	Li-Ion_BESS	2	0.006702123444368012
ES211	HydroPumpStorage	1	0.0
ES211	HydroPumpStorage	2	0.0
ES211	Li-Ion_BESS	1	0.00042488671895691047
ES211	Li-Ion_BESS	2	0.007407725009965064
ES212	HydroPumpStorage	1	0.0
ES212	HydroPumpStorage	2	0.0
ES212	Li-Ion_BESS	1	0.0004223297225527427
ES212	Li-Ion_BESS	2	0.009135264623078386
ES213	HydroPumpStorage	1	0.0
ES213	HydroPumpStorage	2	0.0
ES213	Li-Ion_BESS	1	0.0004229361291824918
ES213	Li-Ion_BESS	2	0.006329124664490612
ES220	HydroPumpStorage	1	0.0
ES220	HydroPumpStorage	2	0.0
ES220	Li-Ion_BESS	1	0.00042318854632121647
ES220	Li-Ion_BESS	2	0.007300610536962919
ES230	HydroPumpStorage	1	0.0
ES230	HydroPumpStorage	2	0.0
ES230	Li-Ion_BESS	1	0.0004265576975982857
ES230	Li-Ion_BESS	2	0.007253509378128868
ES241	HydroPumpStorage	1	0.0
ES241	HydroPumpStorage	2	0.0
ES241	Li-Ion_BESS	1	0.0004162458507859639
ES241	Li-Ion_BESS	2	0.0053073864460727455
ES242	HydroPumpStorage	1	0.0
ES242	HydroPumpStorage	2	0.0
ES242	Li-Ion_BESS	1	0.000427709999341082
ES242	Li-Ion_BESS	2	0.009839643048399769
ES243	HydroPumpStorage	1	0.0
ES243	HydroPumpStorage	2	0.0
ES243	Li-Ion_BESS	1	0.00041996985320695443
ES243	Li-Ion_BESS	2	0.006178272114230578
ES300	HydroPumpStorage	1	0.0
ES300	HydroPumpStorage	2	0.0
ES300	Li-Ion_BESS	1	0.0004378837924125735
ES300	Li-Ion_BESS	2	0.038084034689681114
ES412	HydroPumpStorage	1	0.0
ES412	HydroPumpStorage	2	0.0
ES412	Li-Ion_BESS	1	0.00041862220939801505
ES412	Li-Ion_BESS	2	0.005044814872909498
ES413	HydroPumpStorage	1	0.0
ES413	HydroPumpStorage	2	0.0
ES413	Li-Ion_BESS	1	0.0004246239421001594
ES413	Li-Ion_BESS	2	0.005632986250156406
ES414	HydroPumpStorage	1	0.0
ES414	HydroPumpStorage	2	0.0
ES414	Li-Ion_BESS	1	0.0004164439670002428
ES414	Li-Ion_BESS	2	0.004832161656096776
ES415	HydroPumpStorage	1	4.696824695493141e-08
ES415	HydroPumpStorage	2	9.898537879628177e-07
ES415	Li-Ion_BESS	1	0.000414890507022608
ES415	Li-Ion_BESS	2	0.0034506270481450144
ES416	HydroPumpStorage	1	0.0
ES416	HydroPumpStorage	2	0.0
ES416	Li-Ion_BESS	1	0.0004391211877800199
ES416	Li-Ion_BESS	2	0.024837438056786242
ES417	HydroPumpStorage	1	0.0
ES417	HydroPumpStorage	2	0.0
ES417	Li-Ion_BESS	1	0.000425292136822382
ES417	Li-Ion_BESS	2	0.007145373362034348
ES418	HydroPumpStorage	1	0.0
ES418	HydroPumpStorage	2	0.0
ES418	Li-Ion_BESS	1	0.0004257884854776075
ES418	Li-Ion_BESS	2	0.00824085018805664
ES419	HydroPumpStorage	1	0.0
ES419	HydroPumpStorage	2	0.0
ES419	Li-Ion_BESS	1	0.00041840569041970795
ES419	Li-Ion_BESS	2	0.0041651370570719515
ES421	HydroPumpStorage	1	0.0
ES421	HydroPumpStorage	2	0.0
