Node	Storage	Period	storPWInstalledCap
ES111	HydroPumpStorage	1	0.0
ES111	HydroPumpStorage	2	0.0
ES111	Li-Ion_BESS	1	0.00020625208735570254
ES111	Li-Ion_BESS	2	0.0018225662162233626
ES112	HydroPumpStorage	1	0.0
ES112	HydroPumpStorage	2	0.0
ES112	Li-Ion_BESS	1	0.0002117411163203511
ES112	Li-Ion_BESS	2	0.002643272725957817
ES113	HydroPumpStorage	1	326.0000007958523
ES113	HydroPumpStorage	2	326.00000105988045
ES113	Li-Ion_BESS	1	0.0002042616981269571
ES113	Li-Ion_BESS	2	0.002612475177556591
ES114	HydroPumpStorage	1	0.0
ES114	HydroPumpStorage	2	0.0
ES114	Li-Ion_BESS	1	0.00021301891784244952
ES114	Li-Ion_BESS	2	0.0027389906443988973
ES120	HydroPumpStorage	1	187.00000005245982
ES120	HydroPumpStorage	2	187.00000076105417
ES120	Li-Ion_BESS	1	0.00021278623993117868
ES120	Li-Ion_BESS	2	0.0040250866728933936
ES130	HydroPumpStorage	1	546.0000011912316
ES130	HydroPumpStorage	2	546.0000023348776
ES130	Li-Ion_BESS	1	0.00021258266135799485
ES130	Li-Ion_BESS	2	0.0035636352596337345
ES211	HydroPumpStorage	1	0.0
ES211	HydroPumpStorage	2	0.0
ES211	Li-Ion_BESS	1	0.00021244335947845523
ES211	Li-Ion_BESS	2	0.0039162967405527325
ES212	HydroPumpStorage	1	0.0
ES212	HydroPumpStorage	2	0.0
ES212	Li-Ion_BESS	1	0.00021116486127637136
ES212	Li-Ion_BESS	2	0.00477878804890714
ES213	HydroPumpStorage	1	0.0
ES213	HydroPumpStorage	2	0.0
ES213	Li-Ion_BESS	1	0.0002114680645912459
ES213	Li-Ion_BESS	2	0.0033760212729281192
ES220	HydroPumpStorage	1	0.0
ES220	HydroPumpStorage	2	0.0
ES220	Li-Ion_BESS	1	0.00021159427316060824
ES220	Li-Ion_BESS	2	0.0038618904177338096
ES230	HydroPumpStorage	1	0.0
ES230	HydroPumpStorage	2	0.0
ES230	Li-Ion_BESS	1	0.00021327884879914286
ES230	Li-Ion_BESS	2	0.0038400244139552573
ES241	HydroPumpStorage	1	0.0
ES241	HydroPumpStorage	2	0.0
ES241	Li-Ion_BESS	1	0.00020812292539298195
ES241	Li-Ion_BESS	2	0.0028618070245212033
ES242	HydroPumpStorage	1	0.0
ES242	HydroPumpStorage	2	0.0
ES242	Li-Ion_BESS	1	0.000213854999670541
ES242	Li-Ion_BESS	2	0.005133667399962021
ES243	HydroPumpStorage	1	0.0
ES243	HydroPumpStorage	2	0.0
ES243	Li-Ion_BESS	1	0.00020998492660347722
ES243	Li-Ion_BESS	2	0.0032991118598105014
ES300	HydroPumpStorage	1	0.0
ES300	HydroPumpStorage	2	0.0
ES300	Li-Ion_BESS	1	0.00021894189620628676
ES300	Li-Ion_BESS	2	0.01926095011713872
ES412	HydroPumpStorage	1	0.0
ES412	HydroPumpStorage	2	0.0
ES412	Li-Ion_BESS	1	0.00020931110469900752
ES412	Li-Ion_BESS	2	0.0027317094172455638
ES413	HydroPumpStorage	1	0.0
ES413	HydroPumpStorage	2	0.0
ES413	Li-Ion_BESS	1	0.0002123119710500797
ES413	Li-Ion_BESS	2	0.003028795972219963
ES414	HydroPumpStorage	1	0.0
ES414	HydroPumpStorage	2	0.0
ES414	Li-Ion_BESS	1	0.0002082219835001214
ES414	Li-Ion_BESS	2	0.002624293687640094
ES415	HydroPumpStorage	1	1886.0000012029343
ES415	HydroPumpStorage	2	1886.0000046862554
ES415	Li-Ion_BESS	1	0.000207445253511304
ES415	Li-Ion_BESS	2	0.0019327496536756484
ES416	HydroPumpStorage	1	0.0
ES416	HydroPumpStorage	2	0.0
ES416	Li-Ion_BESS	1	0.00021956059389000994
ES416	Li-Ion_BESS	2	0.01263827049837511
ES417	HydroPumpStorage	1	0.0
ES417	HydroPumpStorage	2	0.0
ES417	Li-Ion_BESS	1	0.000212646068411191
ES417	Li-Ion_BESS	2	0.0037853236255202274
ES418	HydroPumpStorage	1	0.0
ES418	HydroPumpStorage	2	0.0
ES418	Li-Ion_BESS	1	0.00021289424273880376
ES418	Li-Ion_BESS	2	0.004333310212858975
ES419	HydroPumpStorage	1	0.0
ES419	HydroPumpStorage	2	0.0
ES419	Li-Ion_BESS	1	0.00020920284520985398
ES419	Li-Ion_BESS	2	0.0022917622498376897
ES421	HydroPumpStorage	1	0.0
ES421	HydroPumpStorage	2	0.0
