Node	Storage	Period	storPWInvCap
ES111	HydroPumpStorage	1	0.0
ES111	HydroPumpStorage	2	0.0
ES111	Li-Ion_BESS	1	9.206732527445144e-05
ES111	Li-Ion_BESS	2	0.0009289150438710671
ES112	HydroPumpStorage	1	0.0
ES112	HydroPumpStorage	2	0.0
ES112	Li-Ion_BESS	1	9.375548587079634e-05
ES112	Li-Ion_BESS	2	0.0014129740099597028
ES113	HydroPumpStorage	1	1.1887675555044552e-07
ES113	HydroPumpStorage	2	6.992661450988724e-07
ES113	Li-Ion_BESS	1	9.457283991836983e-05
ES113	Li-Ion_BESS	2	0.0010505808654137565
ES114	HydroPumpStorage	1	0.0
ES114	HydroPumpStorage	2	0.0
ES114	Li-Ion_BESS	1	9.456136697855169e-05
ES114	Li-Ion_BESS	2	0.001436065007130524
ES120	HydroPumpStorage	1	5.599725625415886e-07
ES120	HydroPumpStorage	2	2.1952396835151236e-08
ES120	Li-Ion_BESS	1	9.279009583113594e-05
ES120	Li-Ion_BESS	2	0.0019572902286796503
ES130	HydroPumpStorage	1	6.035065780451987e-09
ES130	HydroPumpStorage	2	1.706780839489668e-06
ES130	Li-Ion_BESS	1	9.292055719282286e-05
ES130	Li-Ion_BESS	2	0.001632343873162395
ES211	HydroPumpStorage	1	0.0
ES211	HydroPumpStorage	2	0.0
ES211	Li-Ion_BESS	1	9.294258043747335e-05
ES211	Li-Ion_BESS	2	0.001684097163131931
ES212	HydroPumpStorage	1	0.0
ES212	HydroPumpStorage	2	0.0
ES212	Li-Ion_BESS	1	9.1780759060683e-05
ES212	Li-Ion_BESS	2	0.0015801507323318304
ES213	HydroPumpStorage	1	0.0
ES213	HydroPumpStorage	2	0.0
ES213	Li-Ion_BESS	1	9.247397804770822e-05
ES213	Li-Ion_BESS	2	0.001409088130292595
ES220	HydroPumpStorage	1	0.0
ES220	HydroPumpStorage	2	0.0
ES220	Li-Ion_BESS	1	9.330253273973908e-05
ES220	Li-Ion_BESS	2	0.0014907600676529835
ES230	HydroPumpStorage	1	0.0
ES230	HydroPumpStorage	2	0.0
ES230	Li-Ion_BESS	1	9.350867550500076e-05
ES230	Li-Ion_BESS	2	0.0017036654670556917
ES241	HydroPumpStorage	1	0.0
ES241	HydroPumpStorage	2	0.0
ES241	Li-Ion_BESS	1	9.022179797598157e-05
ES241	Li-Ion_BESS	2	0.0017312571719071855
ES242	HydroPumpStorage	1	0.0
ES242	HydroPumpStorage	2	0.0
ES242	Li-Ion_BESS	1	9.185229389132591e-05
ES242	Li-Ion_BESS	2	0.0022022437223280103
ES243	HydroPumpStorage	1	0.0
ES243	HydroPumpStorage	2	0.0
ES243	Li-Ion_BESS	1	9.228322523602614e-05
ES243	Li-Ion_BESS	2	0.0017581595414867019
ES300	HydroPumpStorage	1	0.0
ES300	HydroPumpStorage	2	0.0
ES300	Li-Ion_BESS	1	9.59106191574676e-05
ES300	Li-Ion_BESS	2	0.024853466963437848
ES412	HydroPumpStorage	1	0.0
ES412	HydroPumpStorage	2	0.0
ES412	Li-Ion_BESS	1	9.254901690338911e-05
ES412	Li-Ion_BESS	2	0.0012797904829544267
ES413	HydroPumpStorage	1	0.0
ES413	HydroPumpStorage	2	0.0
ES413	Li-Ion_BESS	1	9.307467371618822e-05
ES413	Li-Ion_BESS	2	0.0015512811461011727
ES414	HydroPumpStorage	1	0.0
ES414	HydroPumpStorage	2	0.0
ES414	Li-Ion_BESS	1	9.341091016522983e-05
ES414	Li-Ion_BESS	2	0.0014378962286894323
ES415	HydroPumpStorage	1	1.1530034953466384e-06
ES415	HydroPumpStorage	2	1.8065717079726285e-08
ES415	Li-Ion_BESS	1	9.210469876158486e-05
ES415	Li-Ion_BESS	2	0.0009301033226018842
ES416	HydroPumpStorage	1	0.0
ES416	HydroPumpStorage	2	0.0
ES416	Li-Ion_BESS	1	9.723007579007214e-05
ES416	Li-Ion_BESS	2	0.024800833166641285
ES417	HydroPumpStorage	1	0.0
ES417	HydroPumpStorage	2	0.0
ES417	Li-Ion_BESS	1	9.343883702037494e-05
ES417	Li-Ion_BESS	2	0.002110590137766255
ES418	HydroPumpStorage	1	0.0
ES418	HydroPumpStorage	2	0.0
ES418	Li-Ion_BESS	1	9.488966867687131e-05
ES418	Li-Ion_BESS	2	0.0025551427736520446
ES419	HydroPumpStorage	1	0.0
ES419	HydroPumpStorage	2	0.0
ES419	Li-Ion_BESS	1	9.300432143075626e-05
ES419	Li-Ion_BESS	2	0.0011424485984962074
