FromNode	ToNode	Period	transmisionInvCap
ES111	ES112	1	8.393672032980248e-07
ES111	ES112	2	1.1238173722910325e-05
ES111	ES114	1	8.945457011577673e-06
ES111	ES114	2	5.839570191284202e-06
ES112	ES113	1	1.6860658433870412e-06
ES112	ES113	2	3.523478391317652e-07
ES112	ES114	1	0.00046471011106582783
ES112	ES114	2	0.00022419169908895266
ES112	ES120	1	1.3495325674739433e-05
ES112	ES120	2	1.841513192180105e-07
ES112	ES413	1	3.1767444852448534e-06
ES112	ES413	2	7.824546599908364e-06
ES113	ES114	1	2.2639806957158726e-05
ES113	ES114	2	1.0933305412678437e-07
ES113	ES413	1	4.655448265111772e-06
ES113	ES413	2	3.2780273791620528e-06
ES113	ES419	1	7.527484740421642e-06
ES113	ES419	2	8.232118681149934e-07
ES113	Portugal	1	0.0
ES113	Portugal	2	0.0
ES114	Portugal	1	0.0
ES114	Portugal	2	0.0
ES120	ES130	1	2.152731212845538e-06
ES120	ES130	2	8.272243485178945e-06
ES120	ES413	1	9.433280865778215e-06
ES120	ES413	2	5.877478517856711e-06
ES130	ES213	1	4.976347554475069e-06
ES130	ES213	2	9.316687270457e-06
ES130	ES412	1	1.159681460194406e-06
ES130	ES412	2	3.3917383709788856e-07
ES130	ES413	1	4.065740085934522e-06
ES130	ES413	2	1.8431135982669763e-06
ES130	ES414	1	1.2856903595093172e-06
ES130	ES414	2	2.791505773421158e-06
ES211	ES212	1	6.50044694339158e-06
ES211	ES212	2	2.1956557134879305e-06
ES211	ES213	1	2.2364406504493672e-07
ES211	ES213	2	5.212171815218591e-07
ES211	ES220	1	0.0040822820279009485
ES211	ES220	2	1.4412277674963843e-06
ES211	ES230	1	1.6251655665655562e-06
ES211	ES230	2	1.3487970477724857e-06
ES211	ES412	1	1.406796400260646e-06
ES211	ES412	2	8.580573136057425e-06
ES211	ES414	1	3.490622475510463e-07
ES211	ES414	2	4.924329708554575e-06
ES212	ES213	1	4.842450834985357e-06
ES212	ES213	2	9.945224993178064e-06
ES212	ES220	1	1.1126855952170445e-06
ES212	ES220	2	1.71611778190863e-06
ES212	France	1	0.0
ES212	France	2	0.0
ES213	ES412	1	2.414367145320284e-06
ES213	ES412	2	9.966529682497282e-07
ES220	ES230	1	7.233833457576111e-06
ES220	ES230	2	2.49083563750604e-06
ES220	ES241	1	1.1068107141909422e-07
ES220	ES241	2	1.9283024762860963e-07
ES220	ES243	1	2.4520986698917113e-06
ES220	ES243	2	6.545779580658883e-06
ES220	France	1	0.0
ES220	France	2	1999.9999999847075
ES230	ES243	1	0.0030098528874598607
ES230	ES243	2	9.518110500544083e-07
ES230	ES412	1	1.4699244275107048e-06
ES230	ES412	2	5.631624760116012e-06
ES230	ES417	1	0.0014893037456632748
ES230	ES417	2	0.0009652903038919237
ES241	ES243	1	4.9678101277095266e-06
ES241	ES243	2	4.092773160120596e-06
ES241	ES513	1	2.946945187431993e-06
ES241	ES513	2	1.236031956438905e-06
ES241	France	1	0.0
ES241	France	2	0.0
ES242	ES243	1	7.844064384698868e-06
ES242	ES243	2	1.354372793919757e-05
ES242	ES423	1	0.000500018605054035
