FromNode	ToNode	Period	transmissionInstalledCap
ES111	ES112	1	7641.461757924551
ES111	ES112	2	7641.461794505434
ES111	ES114	1	5049.620961559603
ES111	ES114	2	5049.620970888511
ES112	ES113	1	1474.6680612757855
ES112	ES113	2	1474.668064824273
ES112	ES114	1	0.0011951349855441895
ES112	ES114	2	0.0014664591438522314
ES112	ES120	1	4027.476437726022
ES112	ES120	2	4027.4764468425456
ES112	ES413	1	4066.5088961938905
ES112	ES413	2	4066.508918677353
ES113	ES114	1	6863.732977557307
ES113	ES114	2	6863.733000501049
ES113	ES413	1	2770.5885161166675
ES113	ES413	2	2770.588531648153
ES113	ES419	1	6618.064911327606
ES113	ES419	2	6618.0649122542345
ES113	Portugal	1	8666.90573364432
ES113	Portugal	2	8666.90573364432
ES114	Portugal	1	0.0
ES114	Portugal	2	0.0
ES120	ES130	1	5049.620925236877
ES120	ES130	2	5049.620942701849
ES120	ES413	1	5853.985335262579
ES120	ES413	2	5853.985352825579
ES130	ES213	1	5362.429320697154
ES130	ES213	2	5362.429331191928
ES130	ES412	1	983.112038542744
ES130	ES412	2	983.112038734636
ES130	ES413	1	2279.0324655937025
ES130	ES413	2	2279.0324660165484
ES130	ES414	1	1787.4764345095282
ES130	ES414	2	1787.476435451828
ES211	ES212	1	4558.064906129254
ES211	ES212	2	4558.064908786291
ES211	ES213	1	1474.6680595125536
ES211	ES213	2	1474.6680597788638
ES211	ES220	1	0.00314094786481603
ES211	ES220	2	0.0031756129640806673
ES211	ES230	1	491.55602007063817
ES211	ES230	2	491.5560202528195
ES211	ES412	1	3262.144491104054
ES211	ES412	2	3262.1444917256968
ES211	ES414	1	4867.476434628244
ES211	ES414	2	4867.476436820047
ES212	ES213	1	5049.620926212277
ES212	ES213	2	5049.620932899048
ES212	ES220	1	983.1120387917183
ES212	ES220	2	983.1120391565806
ES212	France	1	2290.20418030794
ES212	France	2	2290.20418030794
ES213	ES412	1	1787.47643487187
ES213	ES412	2	1787.4764369870936
ES220	ES230	1	8803.321435705891
ES220	ES230	2	8803.32146243547
ES220	ES241	1	491.5560191979966
ES220	ES241	2	491.5560192828284
ES220	ES243	1	4279.032456925143
ES220	ES243	2	4279.0324635561055
ES220	France	1	0.0
ES220	France	2	1999.9999882644036
ES230	ES243	1	0.0044303551003796035
ES230	ES243	2	0.004430806295139192
ES230	ES412	1	2279.0324544703394
ES230	ES412	2	2279.032455568294
ES230	ES417	1	0.002914927282728316
ES230	ES417	2	0.004004143556766111
ES241	ES243	1	3440.8921410442913
ES241	ES243	2	3440.8921427881223
ES241	ES513	1	1873.112039476495
ES241	ES513	2	1873.1120409789455
ES241	France	1	502.727746896866
ES241	France	2	502.727746896866
ES242	ES243	1	12691.082698232469
ES242	ES243	2	12691.08270534508
ES242	ES423	1	0.0011540421021891195
ES242	ES423	2	0.0013601644079019447
ES242	ES424	1	0.0010621855775816069
ES242	ES424	2	0.0013229896977464814
ES242	ES514	1	0.0015156263128935537
ES242	ES514	2	0.0018889945374789157
ES242	ES522	1	8937.382172945172
ES242	ES522	2	8937.382192840245
ES242	ES523	1	2030.0000012268017
ES242	ES523	2	2030.0000024317249
ES243	ES417	1	2770.5884789422066
ES243	ES417	2	2770.5884794167587
ES243	ES424	1	3574.9528953652184
ES243	ES424	2	3574.9528955456803
ES243	ES513	1	3108.961930051611
ES243	ES513	2	3108.961938453377
ES243	ES514	1	5049.620925191597
ES243	ES514	2	5049.620941917929
ES300	ES414	1	1787.476434191971
ES300	ES414	2	1787.4764347098635
ES300	ES416	1	5362.429310745003
ES300	ES416	2	5362.429324176878
ES300	ES418	1	3574.952878123258
ES300	ES418	2	3574.952899030408
ES300	ES423	1	6036.508887670455
ES300	ES423	2	6036.508891440987
ES300	ES424	1	4558.064925935123
ES300	ES424	2	4558.0649324091955
ES300	ES425	1	3579.336120863178
ES300	ES425	2	3579.3361235566535
ES300	ES432	1	10724.858612357992
ES300	ES432	2	10724.858614454051
ES412	ES414	1	5541.176952546589
ES412	ES414	2	5541.176966035347
ES412	ES416	1	280.52292074573876
ES412	ES416	2	381.3970506595606
ES412	ES417	1	0.0023466357431415853
ES412	ES417	2	0.004452664046138785
ES412	ES418	1	0.03430091294361668
ES412	ES418	2	323.1669429452736
ES413	ES414	1	6345.541342431455
ES413	ES414	2	6345.541352099522
ES413	ES418	1	8133.017778600565
ES413	ES418	2	8133.017784727073
ES413	ES419	1	3574.9528756700724
ES413	ES419	2	3574.9528794044945
ES414	ES415	1	5817.476434467596
ES414	ES415	2	5817.476435592298
ES414	ES418	1	5049.620933961732
ES414	ES418	2	5049.620946536157
ES415	ES418	1	0.00215083577307672
ES415	ES418	2	0.0021530959186190834
ES415	ES419	1	7820.20939991854
ES415	ES419	2	7820.2094175388
ES415	ES432	1	3574.952876831652
ES415	ES432	2	3574.952878528481
ES415	Portugal	1	491.556019188047
ES415	Portugal	2	491.556019188047
ES416	ES417	1	0.0028322417877625523
ES416	ES417	2	0.002832681331208762
ES416	ES418	1	5853.98533413683
ES416	ES418	2	5853.985350413238
ES416	ES424	1	0.0035825852219371398
ES416	ES424	2	0.0035830884920135062
ES417	ES418	1	1787.476433687466
ES417	ES418	2	1787.4764357005147
ES417	ES424	1	0.0016167910723592237
ES417	ES424	2	0.002508448714590761
ES418	ES419	1	15953.22717332385
ES418	ES419	2	15953.227182327593
ES419	Portugal	1	0.0
ES419	Portugal	2	0.0
ES421	ES422	1	1970.0000024230255
ES421	ES422	2	1970.0000047009312
ES421	ES423	1	5514.952867916263
ES421	ES423	2	5514.952872541913
ES421	ES521	1	1440.0000003705766
ES421	ES521	2	1440.0000009767195
ES421	ES523	1	1787.4764401267264
ES421	ES523	2	1787.4764409680895
ES421	ES614	1	0.004664861174575721
ES421	ES614	2	0.004665468969846588
ES421	ES616	1	0.001148886829562429
ES421	ES616	2	0.0012270684220962499
ES421	ES620	1	3574.95287350965
ES421	ES620	2	3574.9528743862575
ES422	ES423	1	0.00100812655550466
ES422	ES423	2	0.001163986765806316
ES422	ES425	1	1966.224077891704
ES422	ES425	2	1966.224079659724
ES422	ES431	1	3574.9528748493544
ES422	ES431	2	3574.9528824700014
ES422	ES613	1	983.1120390961485
ES422	ES613	2	983.1120412063057
ES422	ES616	1	4066.5089117209736
ES422	ES616	2	4066.5089161842025
ES423	ES424	1	4066.5088948410803
ES423	ES424	2	4066.508905484598
ES423	ES425	1	0.0009580344055642254
ES423	ES425	2	0.0010555831606077468
ES423	ES523	1	3574.952875378172
ES423	ES523	2	3574.9528841396077
ES425	ES431	1	0.0007219359407760135
ES425	ES431	2	0.0008783482365075765
ES425	ES432	1	1613.1120392168236
ES425	ES432	2	1613.1120408171814
ES431	ES432	1	11330.494210664436
ES431	ES432	2	11330.49422124814
ES431	ES613	1	0.0015344041545485526
ES431	ES613	2	0.0015351447065659295
ES431	ES615	1	0.0011168574771238948
ES431	ES615	2	0.002346883911963587
ES431	ES618	1	14158.938193182008
ES431	ES618	2	14158.938208369653
ES431	Portugal	1	1787.47643341108
ES431	Portugal	2	1787.47643341108
ES432	ES616	1	1787.4764376699572
ES432	ES616	2	1787.4764415104348
ES432	Portugal	1	1787.47643341108
ES432	Portugal	2	1787.47643341108
ES511	ES512	1	7392.429322271376
ES511	ES512	2	7392.429326373116
ES511	ES513	1	8094.653378602439
ES511	ES513	2	8094.653407101204
ES511	ES514	1	15953.227233716834
ES511	ES514	2	15953.227233803906
ES512	ES513	1	0.0043936009534332795
ES512	ES513	2	0.00439474583936129
ES512	France	1	2859.96229345773
ES512	France	2	2859.96229345773
ES513	ES514	1	983.1120395740605
ES513	ES514	2	983.1120442229548
ES513	France	1	0.0
ES513	France	2	0.0
ES514	ES522	1	1787.4764334957717
ES514	ES522	2	1787.4764353478522
ES521	ES523	1	4066.5088928410064
ES521	ES523	2	4066.5088960986172
ES521	ES620	1	14478.559110688862
ES521	ES620	2	14478.559119667932
ES522	ES523	1	4896.438399811629
ES522	ES523	2	4896.438506417924
ES523	ES532	1	1900.0
ES523	ES532	2	1900.0
ES611	ES614	1	2770.588472523126
ES611	ES614	2	2770.5884754935632
ES611	ES620	1	5362.429311869283
ES611	ES620	2	5362.429329262285
ES612	ES615	1	0.0014932570769644604
ES612	ES615	2	0.0018355705371468447
ES612	ES617	1	6524.289014823811
ES612	ES617	2	6524.289017638766
ES612	ES618	1	9116.12982268817
ES612	ES618	2	9116.129831109864
ES613	ES614	1	0.0010246532043757428
ES613	ES614	2	0.0011610947663364094
ES613	ES616	1	6345.541340905593
ES613	ES616	2	6345.541364100505
ES613	ES617	1	1787.4764343499653
ES613	ES617	2	1787.4764356618614
ES613	ES618	1	4066.508887355436
ES613	ES618	2	4066.508897726143
ES614	ES616	1	491.5560195500989
ES614	ES616	2	491.5560204548546
ES614	ES617	1	2770.5884801288166
ES614	ES617	2	2770.5884864637483
ES614	ES620	1	0.0022579053067559537
ES614	ES620	2	0.0022592805153294417
ES615	ES618	1	9466.129835680906
ES615	ES618	2	9466.129837956854
ES615	Portugal	1	1787.47643341108
ES615	Portugal	2	1787.47643341108
ES617	ES618	1	983.1120388153685
ES617	ES618	2	983.1120431633927
EU	France	1	12200.0
EU	France	2	13900.0
EU	Italy	1	6300.0
EU	Italy	2	7899.9999922643665
France	Italy	1	5100.0
France	Italy	2	6300.0
ES113	ES111	1	1513.0000031940417
ES113	ES111	2	1513.0000040572372
ES422	ES432	1	2140.000008476451
ES422	ES432	2	2140.0000101513137
ES618	ES422	1	1920.0000156158662
ES618	ES422	2	1920.0000176173357
ES213	France	1	0.0
ES213	France	2	2000.0
ES511	Italy	1	0.0
ES511	Italy	2	2000.0
ES523	Italy	1	0.0
