Source:_EU_EnVis_Scenarios_InputData_v1.3.0.csv	Unnamed:_1	Unnamed:_2
Coal	1	2.01773516138059
Coal	2	2.0320800506883
Coal	3	2.03396939772726
Coal	4	1.97296840125211
Coal	5	1.89984354945503
Coal	6	1.88445316622448
Coal	7	1.95004028205621
CoalCCS	1	2.01773516138059
CoalCCS	2	2.0320800506883
CoalCCS	3	2.03396939772726
CoalCCS	4	1.97296840125211
CoalCCS	5	1.89984354945503
CoalCCS	6	1.88445316622448
CoalCCS	7	1.95004028205621
Lignite	1	1.275590529
Lignite	2	1.211811002
Lignite	3	1.151220452
Lignite	4	1.09365943
Lignite	5	1.038976458
Lignite	6	1.038976458
Lignite	7	1.038976458
LigniteCCS	1	1.275590529
LigniteCCS	2	1.211811002
LigniteCCS	3	1.151220452
LigniteCCS	4	1.09365943
LigniteCCS	5	1.038976458
LigniteCCS	6	1.038976458
LigniteCCS	7	1.038976458
GasOCGT	1	5.21485591445607
GasOCGT	2	5.35251710641839
GasOCGT	3	5.48912639122771
GasOCGT	4	5.48071597012106
GasOCGT	5	4.9107283119858
GasOCGT	6	4.40323001037056
GasOCGT	7	2.20345499918717
GasCCGT	1	5.21485591445607
GasCCGT	2	5.35251710641839
GasCCGT	3	5.48912639122771
GasCCGT	4	5.48071597012106
GasCCGT	5	4.9107283119858
GasCCGT	6	4.40323001037056
GasCCGT	7	2.20345499918717
GasCCS	1	5.21485591445607
GasCCS	2	5.35251710641839
GasCCS	3	5.48912639122771
GasCCS	4	5.48071597012106
GasCCS	5	4.9107283119858
GasCCS	6	4.40323001037056
GasCCS	7	2.20345499918717
Nuclear	1	0.722222222
Nuclear	2	0.722222222
Nuclear	3	0.722222222
Nuclear	4	0.722222222
Nuclear	5	0.722222222
Nuclear	6	0.722222222
Nuclear	7	0.722222222
Wave	1	0.0
Wave	2	0.0
Wave	3	0.0
Wave	4	0.0
Wave	5	0.0
Wave	6	0.0
Wave	7	0.0
Waste	1	0.0
Waste	2	0.0
Waste	3	0.0
Waste	4	0.0
Waste	5	0.0
Waste	6	0.0
Waste	7	0.0
Geo	1	0.0
Geo	2	0.0
Geo	3	0.0
Geo	4	0.0
Geo	5	0.0
Geo	6	0.0
Geo	7	0.0
Bio	1	3.94387493620046
Bio	2	4.15545621733091
Bio	3	4.36703751826706
Bio	4	4.57861884225558
Bio	5	4.79020016104099
Bio	6	4.79020024926988
Bio	7	5.16207414869581
BioCCS	1	3.94387493620046
BioCCS	2	4.15545621733091
BioCCS	3	4.36703751826706
BioCCS	4	4.57861884225558
BioCCS	5	4.79020016104099
BioCCS	6	4.79020024926988
BioCCS	7	5.16207414869581
Hydrorun-of-the-river	1	0.0
Hydrorun-of-the-river	2	0.0
Hydrorun-of-the-river	3	0.0
Hydrorun-of-the-river	4	0.0
Hydrorun-of-the-river	5	0.0
Hydrorun-of-the-river	6	0.0
Hydrorun-of-the-river	7	0.0
Hydroregulated	1	0.0
Hydroregulated	2	0.0
Hydroregulated	3	0.0
Hydroregulated	4	0.0
Hydroregulated	5	0.0
Hydroregulated	6	0.0
Hydroregulated	7	0.0
Windonshore	1	0.0
Windonshore	2	0.0
Windonshore	3	0.0
Windonshore	4	0.0
Windonshore	5	0.0
Windonshore	6	0.0
Windonshore	7	0.0
Windoffshorefloating	1	0.0
Windoffshorefloating	2	0.0
Windoffshorefloating	3	0.0
Windoffshorefloating	4	0.0
Windoffshorefloating	5	0.0
Windoffshorefloating	6	0.0
Windoffshorefloating	7	0.0
Windoffshoregrounded	1	0.0
Windoffshoregrounded	2	0.0
Windoffshoregrounded	3	0.0
Windoffshoregrounded	4	0.0
Windoffshoregrounded	5	0.0
Windoffshoregrounded	6	0.0
Windoffshoregrounded	7	0.0
Solar	1	0.0
Solar	2	0.0
Solar	3	0.0
Solar	4	0.0
Solar	5	0.0
Solar	6	0.0
Solar	7	0.0
Oil	1	11.5692762019668
Oil	2	11.452932278827
Oil	3	11.3060287438361
Oil	4	11.1597976701245
Oil	5	11.0134620186098
Oil	6	11.0150099361823
Oil	7	11.0232628692914
