Source:_data\IAMC\Spain\Spain_IAMC.xlsx_+_reference	Unnamed:_1	Unnamed:_2
France	1	562786416.666667
France	2	575675750.0
France	3	591852861.111111
France	4	639246055.555556
France	5	674956250.0
France	6	753799055.555555
France	7	815804083.333333
Portugal	1	46046750.0
Portugal	2	48505388.888889
Portugal	3	53836222.222222
Portugal	4	58898361.111111
Portugal	5	60825694.444444
Portugal	6	67120583.333333
Portugal	7	71954138.888889
EU	1	2372145583.333333
EU	2	2522664111.111111
EU	3	2715883000.0
EU	4	3015848277.777777
EU	5	3234611972.222222
EU	6	3567209361.111111
EU	7	3952044222.222222
ES111	1	5963360.348764
ES111	2	6250795.367635
ES111	3	7293226.464353
ES111	4	8454714.741701
ES111	5	9484464.075358
ES111	6	10584198.454424
ES111	7	11145583.481941
ES112	1	6138658.091889
ES112	2	6434542.492846
ES112	3	7507616.684721
ES112	4	8703247.838195
ES112	5	9763267.476448
ES112	6	10895329.42645
ES112	7	11473216.815486
ES113	1	1451740.417252
ES113	2	1521714.560994
ES113	3	1775487.478745
ES113	4	2058244.075324
ES113	5	2308929.702198
ES113	6	2576652.722938
ES113	7	2713318.174366
ES114	1	3781300.581564
ES114	2	3963559.935427
ES114	3	4624553.918975
ES114	4	5361040.738781
ES114	5	6013993.357186
ES114	6	6711322.715791
ES114	7	7067290.728267
ES120	1	10643531.346928
ES120	2	11156551.43202
ES120	3	13017104.443416
ES120	4	15090153.222298
ES120	5	16928071.555461
ES120	6	18890900.674
ES120	7	19892872.51347
ES130	1	3722099.101688
ES130	2	3901504.933797
ES130	3	4552150.144172
ES130	4	5277106.246252
ES130	5	5919835.990156
ES130	6	6606247.695138
ES130	7	6956642.537042
ES211	1	2712268.844287
ES211	2	2843000.680172
ES211	3	3317121.514834
ES211	4	3845392.201731
ES211	5	4313745.088653
ES211	6	4813928.729904
ES211	7	5069259.11927
ES212	1	6284625.22762
ES212	2	6587545.270222
ES212	3	7686135.391453
ES212	4	8910196.676114
ES212	5	9995421.828031
ES212	6	11154402.338708
ES212	7	11746030.933997
ES213	1	6923491.780866
ES213	2	7257205.303829
ES213	3	8467473.124009
ES213	4	9815966.938148
ES213	5	11011511.166731
ES213	6	12288308.389991
ES213	7	12940079.270267
ES220	1	5626866.569447
ES220	2	5898082.528904
ES220	3	6881692.498121
ES220	4	7977641.623511
ES220	5	8949285.421904
ES220	6	9986965.228412
ES220	7	10516673.054064
ES230	1	2254556.106501
ES230	2	2363226.107828
ES230	3	2757336.015206
ES230	4	3196457.64046
ES230	5	3585772.978219
ES230	6	4001547.426659
ES230	7	4213789.177595
ES241	1	1397976.105621
ES241	2	1465358.800075
ES241	3	1709733.39422
ES241	4	1982018.27451
ES241	5	2223419.913693
ES241	6	2481227.977361
ES241	7	2612832.108022
ES242	1	706339.112859
ES242	2	740384.782474
ES242	3	863857.08886
ES242	4	1001431.30062
ES242	5	1123401.496661
ES242	6	1253661.175811
ES242	7	1320155.262889
ES243	1	8313649.180311
ES243	2	8714368.534714
ES243	3	10167644.192382
ES243	4	11786900.031401
ES243	5	13222495.769877
ES243	6	14755659.168427
ES243	7	15538298.133858
ES300	1	34196934.443788
ES300	2	35845232.705559
ES300	3	41823061.612718
ES300	4	48483624.811103
ES300	5	54388730.053299
ES300	6	60695165.060925
ES300	7	63914431.692647
ES412	1	2852589.929842
ES412	2	2990085.26676
ES412	3	3488735.067399
ES412	4	4044336.199952
ES412	5	4536919.644127
ES412	6	5062980.628497
ES412	7	5331520.710364
ES413	1	2821755.632496
ES413	2	2957764.750852
ES413	3	3451024.531684
ES413	4	4000620.044449
ES413	5	4487879.041452
ES413	6	5008253.712257
ES413	7	5273891.082926
ES414	1	1631458.483425
ES414	2	1710095.069602
ES414	3	1995283.781446
ES414	4	2313044.203868
ES414	5	2594763.433957
ES414	6	2895629.200456
ES414	7	3049213.138378
ES415	1	1486692.562748
ES415	2	1558351.406058
ES415	3	1818234.16813
ES415	4	2107798.420944
ES415	5	2364519.562433
ES415	6	2638688.290589
ES415	7	2778644.103492
ES416	1	1693157.445809
ES416	2	1774767.932837
ES416	3	2070741.992751
ES416	4	2400519.569486
ES416	5	2692892.937793
ES416	6	3005136.931687
ES416	7	3164529.150791
ES417	1	744265.153913
ES417	2	780138.865385
ES417	3	910240.870843
ES417	4	1055201.966761
ES417	5	1183721.20784
ES417	6	1320975.025995
ES417	7	1391039.434226
ES418	1	3651226.399293
ES418	2	3827216.154666
ES418	3	4465472.392288
ES418	4	5176624.563664
ES418	5	5807116.053664
ES418	6	6480457.754018
ES418	7	6824180.707648
ES419	1	746497.157843
ES419	2	782478.452298
ES419	3	912970.625408
ES419	4	1058366.450446
ES419	5	1187271.112567
ES419	6	1324936.546206
ES419	7	1395211.073148
ES421	1	1339493.780524
ES421	2	1404057.616611
ES421	3	1638209.150145
ES421	4	1899103.383039
ES421	5	2130406.330917
ES421	6	2377429.364046
ES421	7	2503528.024677
ES422	1	3574322.943525
ES422	2	3746605.938789
ES422	3	4371418.991855
ES422	4	5067592.618059
ES422	5	5684804.467437
ES422	6	6343964.000484
ES422	7	6680447.336498
ES423	1	1225563.6415
ES423	2	1284636.024824
ES423	3	1498871.88786
ES423	4	1737575.860032
ES423	5	1949205.422792
ES423	6	2175218.004871
ES423	7	2290591.391413
ES424	1	659740.127175
ES424	2	691539.717475
ES424	3	806866.242136
ES424	4	935364.333647
ES424	5	1049287.845997
ES424	6	1170953.963198
ES424	7	1233061.266428
ES425	1	3111593.925978
ES425	2	3261573.301116
ES425	3	3805498.551159
ES425	4	4411546.091056
ES425	5	4948854.183221
ES425	6	5522679.445148
ES425	7	5815601.914963
ES431	1	2673773.883319
ES431	2	2802650.255308
ES431	3	3270041.94029
ES431	4	3790814.93406
ES431	5	4252520.535209
ES431	6	4745605.119968
ES431	7	4997311.630606
ES432	1	1287128.827558
ES432	2	1349168.663691
ES432	3	1574166.489893
ES432	4	1824861.56066
ES432	5	2047122.161226
ES432	6	2284488.300311
ES432	7	2405657.374459
ES511	1	32350917.228339
ES511	2	33910237.135268
ES511	3	39565371.179477
ES511	4	45866384.186338
ES511	5	51452720.330852
ES511	6	57418721.677346
ES511	7	60464206.017762
ES512	1	3725064.694073
ES512	2	3904613.468257
ES512	3	4555777.081939
ES512	4	5281310.794726
ES512	5	5924552.635267
ES512	6	6611511.240606
ES512	7	6962185.260535
ES513	1	3350963.286831
ES513	2	3512480.307312
ES513	3	4098248.754943
ES513	4	4750918.449184
ES513	5	5329560.692803
ES513	6	5947529.306805
ES513	7	6262985.778822
ES514	1	6559129.505113
ES514	2	6875280.702226
ES514	3	8021855.814855
ES514	4	9299382.508571
ES514	5	10432008.887364
ES514	6	11641612.163312
ES514	7	12259082.328179
ES521	1	5258322.974663
ES521	2	5511775.067955
ES521	3	6430961.410017
ES521	4	7455129.016263
ES521	5	8363132.937313
ES521	6	9332847.697662
ES521	7	9827861.182539
ES522	1	4654918.46295
ES522	2	4879286.352527
ES522	3	5692993.972841
ES522	4	6599636.018688
ES522	5	7403444.426214
ES522	6	8261882.213983
ES522	7	8700091.776474
ES523	1	10496419.825171
ES523	2	11002349.10901
ES523	3	12837186.14552
ES523	4	14881581.90027
ES523	5	16694097.107906
ES523	6	18629796.623575
ES523	7	19617919.525388
ES532	1	3578323.105556
ES532	2	3750798.909334
ES532	3	4376311.214675
ES532	4	5073263.955511
ES532	5	5691166.550366
ES532	6	6351063.774153
ES532	7	6687923.681586
ES611	1	3122127.497826
ES611	2	3272614.592982
ES611	3	3818381.174458
ES611	4	4426480.346238
ES611	5	4965607.368999
ES611	6	5541375.18184
ES611	7	5835289.272012
ES612	1	3643211.092633
ES612	2	3818814.508814
ES612	3	4455669.622837
ES612	4	5165260.646775
ES612	5	5794368.058637
ES612	6	6466231.614492
ES612	7	6809200.014836
ES613	1	2065677.061206
ES613	2	2165243.059291
ES613	3	2526335.778571
ES613	4	2928669.287039
ES613	5	3285369.109441
ES613	6	3666311.38819
ES613	7	3860772.246838
ES614	1	3510829.35822
ES614	2	3680051.951492
ES614	3	4293765.945656
ES614	4	4977572.877462
ES614	5	5583820.694259
ES614	6	6231271.044139
ES614	7	6561777.154889
ES615	1	2712611.965201
ES615	2	2843360.339575
ES615	3	3317541.153827
ES615	4	3845878.670647
ES615	5	4314290.807474
ES615	6	4814537.725442
ES615	7	5069900.415882
ES616	1	2122249.808123
ES616	2	2224542.622571
ES616	3	2595524.596762
ES616	4	3008876.822617
ES616	5	3375345.591558
ES616	6	3766720.745576
ES616	7	3966507.308395
ES617	1	4406233.120159
ES617	2	4618614.332424
ES617	3	5388850.265725
ES617	4	6247055.676268
ES617	5	7007921.254408
ES617	6	7820497.681292
ES617	7	8235296.243971
ES618	1	6320272.863198
ES618	2	6624911.128112
ES618	3	7729732.669495
ES618	4	8960737.071529
ES618	5	10052117.834853
ES618	6	11217672.311899
ES618	7	11812656.741434
ES620	1	5126820.996408
ES620	2	5373934.671193
ES620	3	6270133.680041
ES620	4	7268688.544938
ES620	5	8153984.786665
ES620	6	9099448.58146
ES620	7	9582082.596146
