Source:_EU_EnVis_Scenarios_InputData_v1.3.0.csv	Unnamed:_1	Unnamed:_2
HydroPumpStorage	1	58.18642617485905
Li-Ion_BESS	1	186.9998503841197
HydroPumpStorage	2	58.18642617485905
Li-Ion_BESS	2	141.9998863840909
HydroPumpStorage	3	58.18642617485905
Li-Ion_BESS	3	117.9999056080755
HydroPumpStorage	4	58.18642617485905
Li-Ion_BESS	4	93.99992479606016
HydroPumpStorage	5	58.18642617485905
Li-Ion_BESS	5	84.49993239205408
HydroPumpStorage	6	58.18642617485905
Li-Ion_BESS	6	74.99993998804801
HydroPumpStorage	7	58.18642617485905
Li-Ion_BESS	7	74.99993998804801
